energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,6.04376919,0.00664518,1.23760000,1.93091137,3.28524551,0.01059057,1.20231134
-5.99399700,6.06941240,0.00661511,1.24486014,1.94245494,3.29909854,0.01046712,1.20844825
-5.98799400,6.08544521,0.00657822,1.25029405,1.94923619,3.30844783,0.01031618,1.21232569
-5.98199100,6.09237271,0.00653140,1.25413094,1.95131314,3.31364433,0.01014308,1.21379421
-5.97598799,6.09100199,0.00647213,1.25664910,1.94890350,3.31517037,0.00995372,1.21279052
-5.96998499,6.08241717,0.00639859,1.25816701,1.94238178,3.31362301,0.00975443,1.20934013
-5.96398199,6.06794069,0.00630968,1.25903245,1.93226991,3.30969139,0.00955176,1.20355571
-5.95797899,6.04908254,0.00620508,1.25961011,1.91922140,3.30412895,0.00935224,1.19563115
-5.95197599,6.02747969,0.00608520,1.26026815,1.90399983,3.29772174,0.00916222,1.18583175
-5.94597299,6.00482841,0.00595113,1.26136431,1.88745249,3.29125444,0.00898762,1.17448096
-5.93996998,5.98281256,0.00580462,1.26323217,1.87048013,3.28547546,0.00883381,1.16194445
-5.93396698,5.96303127,0.00564789,1.26616802,1.85400425,3.28106293,0.00870539,1.14861219
-5.92796398,5.94692927,0.00548358,1.27041919,1.83893322,3.27859320,0.00860606,1.13487956
-5.92196098,5.93573336,0.00531459,1.27617405,1.82612889,3.27851332,0.00853859,1.12112834
-5.91595798,5.93039791,0.00514395,1.28355441,1.81637499,3.28111895,0.00850465,1.10770854
-5.90995498,5.93156225,0.00497469,1.29261059,1.81034880,3.28653879,0.00850491,1.09492203
-5.90395198,5.93952193,0.00480968,1.30331939,1.80859743,3.29472650,0.00853894,1.08300859
-5.89794897,5.95421526,0.00465156,1.31558510,1.81151954,3.30546037,0.00860538,1.07213525
-5.89194597,5.97522610,0.00450263,1.32924356,1.81935344,3.31835112,0.00870194,1.06238923
-5.88594297,6.00180241,0.00436474,1.34406912,1.83217184,3.33285733,0.00882560,1.05377486
-5.87993997,6.03289002,0.00423927,1.35978407,1.84988342,3.34830802,0.00897272,1.04621457
-5.87393697,6.06717967,0.00412710,1.37607023,1.87224095,3.36393113,0.00913926,1.03955382
-5.86793397,6.10316511,0.00402858,1.39258202,1.89885518,3.37888687,0.00932090,1.03356962
-5.86193097,6.13920927,0.00394355,1.40896050,1.92921390,3.39230395,0.00951331,1.02798226
-5.85592796,6.17361520,0.00387140,1.42484752,1.96270477,3.40331735,0.00971227,1.02246946
-5.84992496,6.20469821,0.00381113,1.43989950,1.99864079,3.41110551,0.00991389,1.01668231
