energy_ev,total_up,Au_p_up,Au_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,4.49603481,0.60734567,4.22243302,0.04103265,0.14264608,0.16487572,0.00133749
-5.99399700,4.66735018,0.64813977,4.37157739,0.04414561,0.15296512,0.17503926,0.00134770
-5.98799400,4.84554303,0.68945661,4.52695075,0.04737943,0.16368753,0.18531962,0.00136001
-5.98199100,5.02734430,0.73058964,4.68566596,0.05068456,0.17463609,0.19552159,0.00137392
-5.97598799,5.20930466,0.77081133,4.84467063,0.05400752,0.18562454,0.20544627,0.00138889
-5.96998499,5.38784924,0.80938772,5.00079514,0.05729183,0.19646047,0.21489526,0.00140433
-5.96398199,5.55934211,0.84559413,5.15080935,0.06047922,0.20694862,0.22367519,0.00141960
-5.95797899,5.72015886,0.87873175,5.29148691,0.06351094,0.21689461,0.23160227,0.00143402
-5.95197599,5.86676542,0.90814430,5.41967532,0.06632914,0.22610906,0.23850669,0.00144690
-5.94597299,5.99580035,0.93323443,5.53236939,0.06887832,0.23441174,0.24423694,0.00145752
-5.93996998,6.10415766,0.95347909,5.62678543,0.07110676,0.24163591,0.24866360,0.00146519
-5.93396698,6.18906691,0.96844335,5.70043323,0.07296790,0.24763244,0.25168267,0.00146923
-5.92796398,6.24816723,0.97779207,5.75118276,0.07442167,0.25227366,0.25321823,0.00146905
-5.92196098,6.27957198,0.98129887,5.77732281,0.07543558,0.25545684,0.25322433,0.00146409
-5.91595798,6.28192130,0.97885218,5.77760879,0.07598570,0.25710696,0.25168593,0.00145391
-5.90995498,6.25442001,0.97045784,5.75129766,0.07605730,0.25717880,0.24861914,0.00143818
-5.90395198,6.19685924,0.95623836,5.69816828,0.07564530,0.25565826,0.24407030,0.00141668
-5.89794897,6.10962063,0.93642867,5.61852631,0.07475439,0.25256267,0.23811439,0.00138934
-5.89194597,5.99366297,0.91136862,5.51319337,0.07339885,0.24794023,0.23085251,0.00135621
-5.88594297,5.85049189,0.88149242,5.38348110,0.07160205,0.24186852,0.22240866,0.00131750
-5.87993997,5.68211389,0.84731557,5.23115114,0.06939571,0.23445214,0.21292593,0.00127353
-5.87393697,5.49097684,0.80941970,5.05836299,0.06681887,0.22581955,0.20256226,0.00122473
-5.86793397,5.27989947,0.76843602,4.86761204,0.06391670,0.21611925,0.19148591,0.00117166
-5.86193097,5.05199290,0.72502790,4.66166030,0.06073911,0.20551551,0.17987083,0.00111495
-5.85592796,4.81057744,0.67987340,4.44346283,0.05733927,0.19418370,0.16789210,0.00105530
-5.84992496,4.55909787,0.63364830,4.21609274,0.05377209,0.18230551,0.15572156,0.00099345
-5.84392196,4.30104030,0.58701019,3.98266734,0.05009273,0.17006424,0.14352390,0.00093015
-5.83791896,4.03985364,0.54058433,3.74627827,0.04635517,0.15764025,0.13145311,0.00086618
-5.83191596,3.77887785,0.49495138,3.50992738,0.04261091,0.14520683,0.11964964,0.00080227
-5.82591296,3.52128110,0.45063768,3.27647041,0.03890782,0.13292659,0.10823811,0.00073913
-5.81990995,3.27000709,0.40810797,3.04856937,0.03528922,0.12094846,0.09732581,0.00067741
-5.81390695,3.02773346,0.36776077,2.82865450,0.03179316,0.10940544,0.08700173,0.00061770
-5.80790395,2.79684139,0.32992631,2.61889596,0.02845191,0.09841299,0.07733642,0.00056050
-5.80190095,2.57939622,0.29486691,2.42118507,0.02529174,0.08806826,0.06838229,0.00050625
-5.79589795,2.37713845,0.26277952,2.23712449,0.02233282,0.07845000,0.06017458,0.00045531
-5.78989495,2.19148402,0.23380015,2.06802647,0.01958945,0.06961908,0.05273268,0.00040794
-5.78389195,2.02353268,0.20800974,1.91491823,0.01707033,0.06161964,0.04606187,0.00036434
-5.77788894,1.87408313,0.18544127,1.77855315,0.01477904,0.05448063,0.04015523,0.00032463
-5.77188594,1.74365331,0.16608748,1.65942674,0.01271466,0.04821779,0.03499582,0.00028889
-5.76588294,1.63250466,0.14990900,1.55779613,0.01087236,0.04283571,0.03055881,0.00025711
-5.75987994,1.54066879,0.13684243,1.47370195,0.00924414,0.03833014,0.02681364,0.00022926
-5.75387694,1.46797547,0.12680802,1.40699177,0.00781947,0.03469017,0.02372611,0.00020525
-5.74787394,1.41408081,0.11971678,1.35734403,0.00658605,0.03190036,0.02126020,0.00018500
-5.74187094,1.37849461,0.11547662,1.32429185,0.00553039,0.02994254,0.01937983,0.00016836
-5.73586793,1.36060617,0.11399741,1.30724584,0.00463838,0.02879744,0.01805021,0.00015520
-5.72986493,1.35970776,0.11519481,1.30551566,0.00389586,0.02844584,0.01723911,0.00014538
-5.72386193,1.37501518,0.11899274,1.31832944,0.00328900,0.02886936,0.01691763,0.00013873
-5.71785893,1.40568503,0.12532452,1.34485095,0.00280467,0.03005082,0.01706087,0.00013513
-5.71185593,1.45082827,0.13413253,1.38419402,0.00243072,0.03197416,0.01764818,0.00013440
-5.70585293,1.50951974,0.14536662,1.43543386,0.00215616,0.03462397,0.01866321,0.00013641
-5.69984992,1.58080379,0.15898119,1.49761528,0.00197129,0.03798456,0.02009369,0.00014101
