energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.01533401,1.33039057,0.35488028,0.00212784,0.06121737,0.02223649,1.28527155,0.77461853,0.17653996
-5.99399700,1.97495665,1.29541837,0.34104854,0.00212084,0.06058375,0.02288262,1.25929341,0.75307272,0.17467162
-5.98799400,1.93150265,1.25871934,0.32681809,0.00210945,0.05975323,0.02348226,1.23142763,0.72928447,0.17265835
-5.98199100,1.88497250,1.22040200,0.31229807,0.00209224,0.05872421,0.02401749,1.20167700,0.70344735,0.17046965
-5.97598799,1.83539550,1.18058235,0.29759250,0.00206806,0.05749929,0.02447198,1.17005874,0.67578326,0.16807448
-5.96998499,1.78283034,1.13938257,0.28279857,0.00203606,0.05608499,0.02483128,1.13660539,0.64653719,0.16544225
-5.96398199,1.72736654,1.09693076,0.26800558,0.00199569,0.05449132,0.02508309,1.10136632,0.61597189,0.16254378
-5.95797899,1.66912647,1.05336159,0.25329436,0.00194670,0.05273138,0.02521756,1.06440972,0.58436246,0.15935262
-5.95197599,1.60826771,1.00881775,0.23873717,0.00188915,0.05082085,0.02522737,1.02582489,0.55199095,0.15584619
-5.94597299,1.54498543,0.96345179,0.22439801,0.00182334,0.04877751,0.02510792,0.98572451,0.51914125,0.15200713
-5.93996998,1.47951447,0.91742825,0.21033327,0.00174987,0.04662074,0.02485734,0.94424668,0.48609413,0.14782441
-5.93396698,1.41213059,0.87092560,0.19659253,0.00166951,0.04437104,0.02447649,0.90155639,0.45312277,0.14329442
-5.92796398,1.34315064,0.82413777,0.18321951,0.00158325,0.04204955,0.02396888,0.85784623,0.42048870,0.13842169
-5.92196098,1.27293149,0.77727504,0.17025302,0.00149217,0.03967766,0.02334051,0.81333611,0.38843812,0.13321951
-5.91595798,1.20186730,0.73056401,0.15772787,0.00139749,0.03727660,0.02259966,0.76827194,0.35719890,0.12771007
-5.90995498,1.13038529,0.68424669,0.14567562,0.00130046,0.03486714,0.02175665,0.72292307,0.32697804,0.12192438
-5.90395198,1.05893999,0.63857852,0.13412518,0.00120232,0.03246929,0.02082349,0.67757874,0.29795972,0.11590179
-5.89794897,0.98800607,0.59382549,0.12310330,0.00110431,0.03010203,0.01981357,0.63254348,0.27030397,0.10968921
-5.89194597,0.91807010,0.55026034,0.11263473,0.00100758,0.02778318,0.01874124,0.58813168,0.24414586,0.10334004
-5.88594297,0.84962148,0.50815819,0.10274233,0.00091319,0.02552923,0.01762148,0.54466153,0.21959531,0.09691284
-5.87993997,0.78314293,0.46779157,0.09344698,0.00082210,0.02335524,0.01646949,0.50244872,0.19673736,0.09046991
-5.87393697,0.71910095,0.42942525,0.08476736,0.00073509,0.02127482,0.01530027,0.46179987,0.17563298,0.08407560
-5.86793397,0.65793662,0.39331100,0.07671963,0.00065283,0.01930012,0.01412837,0.42300625,0.15632020,0.07779479
-5.86193097,0.60005704,0.35968250,0.06931713,0.00057582,0.01744189,0.01296749,0.38633782,0.13881565,0.07169122
-5.85592796,0.54582773,0.32875050,0.06256994,0.00050442,0.01570960,0.01183024,0.35203783,0.12311634,0.06582604
-5.84992496,0.49556622,0.30069848,0.05648455,0.00043884,0.01411156,0.01072792,0.32031821,0.10920156,0.06025650
-5.84392196,0.44953698,0.27567881,0.05106351,0.00037916,0.01265513,0.00967036,0.29135572,0.09703489,0.05503477
-5.83791896,0.40794774,0.25380948,0.04630514,0.00032533,0.01134697,0.00866580,0.26528902,0.08656624,0.05020706
-5.83191596,0.37094730,0.23517147,0.04220324,0.00027721,0.01019331,0.00772082,0.24221665,0.07773377,0.04581299
-5.82591296,0.33862455,0.21980666,0.03874696,0.00023457,0.00920024,0.00684036,0.22219579,0.07046566,0.04188518
-5.81990995,0.31100898,0.20771642,0.03592067,0.00019712,0.00837408,0.00602775,0.20524197,0.06468174,0.03844910
-5.81390695,0.28807214,0.19886067,0.03370384,0.00016449,0.00772169,0.00528480,0.19132939,0.06029494,0.03552315
-5.80790395,0.26973024,0.19315759,0.03207116,0.00013631,0.00725084,0.00461190,0.18039208,0.05721240,0.03311895
-5.80190095,0.25584756,0.19048381,0.03099252,0.00011217,0.00697055,0.00400822,0.17232550,0.05533654,0.03124182
-5.79589795,0.24624057,0.19067526,0.03043322,0.00009166,0.00689138,0.00347182,0.16698882,0.05456586,0.02989132
-5.78989495,0.24068281,0.19352862,0.03035417,0.00007438,0.00702572,0.00299986,0.16420770,0.05479565,0.02906202
-5.78389195,0.23891009,0.19880342,0.03071225,0.00005994,0.00738801,0.00258877,0.16377751,0.05591861,0.02874419
-5.77788894,0.24062640,0.20622493,0.03146070,0.00004797,0.00799481,0.00223444,0.16546706,0.05782554,0.02892463
-5.77188594,0.24551006,0.21548790,0.03254967,0.00003813,0.00886491,0.00193238,0.16902288,0.06040594,0.02958747
-5.76588294,0.25322033,0.22626108,0.03392687,0.00003011,0.01001919,0.00167791,0.17417386,0.06354893,0.03071488
-5.75987994,0.26340437,0.23819267,0.03553836,0.00002362,0.01148047,0.00146629,0.18063644,0.06714412,0.03228782
-5.75387694,0.27570448,0.25091676,0.03732945,0.00001842,0.01327316,0.00129283,0.18812032,0.07108286,0.03428668
-5.74787394,0.28976559,0.26406042,0.03924570,0.00001429,0.01542279,0.00115304,0.19633443,0.07525957,0.03669177
-5.74187094,0.30524283,0.27725166,0.04123408,0.00001105,0.01795547,0.00104275,0.20499337,0.07957336,0.03948381
-5.73586793,0.32180921,0.29012788,0.04324419,0.00000853,0.02089710,0.00095810,0.21382404,0.08392975,0.04264424
-5.72986493,0.33916306,0.30234467,0.04522949,0.00000661,0.02427261,0.00089570,0.22257228,0.08824265,0.04615546
-5.72386193,0.35703522,0.31358457,0.04714860,0.00000517,0.02810507,0.00085264,0.23100957,0.09243623,0.05000090
-5.71785893,0.37519565,0.32356572,0.04896658,0.00000413,0.03241469,0.00082652,0.23893921,0.09644693,0.05416506
-5.71185593,0.39345924,0.33204973,0.05065606,0.00000342,0.03721790,0.00081548,0.24620216,0.10022526,0.05863339
-5.70585293,0.41169072,0.33884869,0.05219830,0.00000298,0.04252645,0.00081822,0.25268192,0.10373744,0.06339210
-5.69984992,0.42980827,0.34383086,0.05358406,0.00000279,0.04834652,0.00083400,0.25830855,0.10696671,0.06842797
