energy_ev,total_up,Ga_p_up,Ga_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,3.44015665,0.42469404,0.00000000,1.59845779,1.60197075,1.73735999,0.00000000
-5.99399700,3.52027815,0.42998647,0.00000000,1.64855644,1.63773042,1.77643395,0.00000000
-5.98799400,3.59056749,0.43334054,0.00000000,1.69607752,1.66850822,1.81107974,0.00000000
-5.98199100,3.64951373,0.43468441,0.00000000,1.73990451,1.69363195,1.84048784,0.00000000
-5.97598799,3.69574843,0.43398527,0.00000000,1.77896410,1.71248616,1.86390807,0.00000000
-5.96998499,3.72809315,0.43125226,0.00000000,1.81225565,1.72453445,1.88067669,0.00000000
-5.96398199,3.74560317,0.42653809,0.00000000,1.83887954,1.72934044,1.89024202,0.00000000
-5.95797899,3.74760551,0.41993927,0.00000000,1.85806366,1.72658621,1.89218722,0.00000000
-5.95197599,3.73372909,0.41159486,0.00000000,1.86918664,1.71608752,1.88624923,0.00000000
-5.94597299,3.70392558,0.40168371,0.00000000,1.87179703,1.69780472,1.87233263,0.00000000
-5.93996998,3.65847961,0.39042025,0.00000000,1.86562746,1.67184894,1.85051772,0.00000000
-5.93396698,3.59800748,0.37804891,0.00000000,1.85060306,1.63848299,1.82106222,0.00000000
-5.92796398,3.52344410,0.36483743,0.00000000,1.82684367,1.59811697,1.78439632,0.00000000
-5.92196098,3.43601843,0.35106918,0.00000000,1.79465977,1.55129852,1.74111121,0.00000000
-5.91595798,3.33721825,0.33703479,0.00000000,1.75454196,1.49869827,1.69194131,0.00000000
-5.90995498,3.22874542,0.32302352,0.00000000,1.70714455,1.44109090,1.63774115,0.00000000
-5.90395198,3.11246356,0.30931444,0.00000000,1.65326386,1.37933282,1.57945771,0.00000000
-5.89794897,2.99034014,0.29616801,0.00000000,1.59381210,1.31433716,1.51809934,0.00000000
-5.89194597,2.86438547,0.28381817,0.00000000,1.52978782,1.24704738,1.45470286,0.00000000
-5.88594297,2.73659104,0.27246537,0.00000000,1.46224431,1.17841051,1.39030003,0.00000000
-5.87993997,2.60886971,0.26227073,0.00000000,1.39225719,1.10935102,1.32588492,0.00000000
-5.87393697,2.48300038,0.25335161,0.00000000,1.32089243,1.04074652,1.26238363,0.00000000
-5.86793397,2.36057912,0.24577867,0.00000000,1.24917618,0.97340612,1.20062752,0.00000000
-5.86193097,2.24297876,0.23957461,0.00000000,1.17806749,0.90805224,1.14133104,0.00000000
-5.85592796,2.13131849,0.23471460,0.00000000,1.10843495,0.84530637,1.08507494,0.00000000
-5.84992496,2.02644422,0.23112840,0.00000000,1.04103796,0.78567927,1.03229555,0.00000000
-5.84392196,1.92892047,0.22870403,0.00000000,0.97651317,0.72956577,0.98328019,0.00000000
