energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,5.69515092,0.00793027,1.35414656,0.19903571,1.96271862,2.59301083,0.02301522,1.44525193
-5.99399700,5.80271266,0.00870088,1.37426300,0.20894873,1.99680930,2.66645969,0.02201059,1.48315797
-5.98799400,5.92861198,0.00950455,1.39336886,0.22065745,2.03881088,2.74097426,0.02126675,1.53205093
-5.98199100,6.06879256,0.01033195,1.41066434,0.23398404,2.08790964,2.81451747,0.02076791,1.59065096
-5.97598799,6.21889160,0.01117274,1.42535918,0.24871867,2.14309262,2.88503913,0.02049475,1.65751495
-5.96998499,6.37436163,0.01201584,1.43670288,0.26462331,2.20317489,2.95053890,0.02042513,1.73106613
-5.96398199,6.53059552,0.01284969,1.44401351,0.28143640,2.26683211,3.00912733,0.02053475,1.80962649
-5.95797899,6.68305020,0.01366248,1.44670365,0.29887823,2.33263696,3.05908243,0.02079787,1.89145153
-5.95197599,6.82736508,0.01444257,1.44430219,0.31665695,2.39909841,3.09889947,0.02118801,1.97476655
-5.94597299,6.95947088,0.01517872,1.43647091,0.33447510,2.46470224,3.12733196,0.02167862,2.05780367
-5.93996998,7.07568567,0.01586047,1.42301525,0.35203633,2.52795153,3.14342232,0.02224371,2.13883871
-5.93396698,7.17279512,0.01647842,1.40388874,0.36905233,2.58740583,3.14652136,0.02285844,2.21622691
-5.92796398,7.24811502,0.01702455,1.37919124,0.38524949,2.64171774,3.13629599,0.02349965,2.28843647
-5.92196098,7.29953474,0.01749240,1.34916121,0.40037521,2.68966586,3.11272560,0.02414627,2.35407911
-5.91595798,7.32554154,0.01787729,1.31416280,0.41420360,2.73018335,3.07608772,0.02477967,2.41193653
-5.90995498,7.32522600,0.01817641,1.27466862,0.42654026,2.76238138,3.02693435,0.02538393,2.46098222
-5.90395198,7.29827012,0.01838889,1.23123940,0.43722616,2.78556702,2.96606061,0.02594600,2.50039798
-5.89794897,7.24491989,0.01851577,1.18450175,0.44614022,2.79925554,2.89446774,0.02645573,2.52958470
-5.89194597,7.16594494,0.01855988,1.13512539,0.45320072,2.80317698,2.81332261,0.02690586,2.54816724
-5.88594297,7.06258812,0.01852570,1.08380101,0.45836547,2.79727741,2.72391592,0.02729189,2.55599359
-5.87993997,6.93650798,0.01841915,1.03122003,0.46163065,2.78171516,2.62762122,0.02761187,2.55312833
-5.87393697,6.78971722,0.01824729,0.97805705,0.46302859,2.75685259,2.52585659,0.02786613,2.53984113
-5.86793397,6.62452010,0.01801803,0.92495584,0.46262447,2.72324418,2.42005065,0.02805699,2.51659076
-5.86193097,6.44345128,0.01773984,0.87251927,0.46051225,2.68162158,2.31161405,0.02818839,2.48400546
-5.85592796,6.24921843,0.01742137,0.82130342,0.45680996,2.63287634,2.20191724,0.02826556,2.44286056
-5.84992496,6.04465030,0.01707117,0.77181570,0.45165468,2.57804124,2.09227496,0.02829463,2.39405437
-5.84392196,5.83265160,0.01669741,0.72451691,0.44519731,2.51827077,1.98393735,0.02828236,2.33858310
-5.83791896,5.61616524,0.01630760,0.67982647,0.43759749,2.45482146,1.87808737,0.02823584,2.27751587
-5.83191596,5.39814230,0.01590841,0.63813038,0.42901890,2.38903248,1.77584362,0.02816224,2.21197064
-5.82591296,5.18151926,0.01550551,0.59979101,0.41962492,2.32230705,1.67826779,0.02806870,2.14309154
-5.81990995,4.96920185,0.01510347,0.56515802,0.40957509,2.25609459,1.58637533,0.02796221,2.07202842
-5.81390695,4.76405435,0.01470578,0.53457937,0.39902213,2.19187394,1.50114821,0.02784960,1.99991876
-5.80790395,4.56889284,0.01431480,0.50841176,0.38810988,2.13113724,1.42354828,0.02773762,1.92787223
-5.80190095,4.38648078,0.01393189,0.48702967,0.37697186,2.07537443,1.35452985,0.02763300,1.85695787
-5.79589795,4.21952509,0.01355753,0.47083219,0.36573064,2.02605786,1.29505034,0.02754266,1.78819382
-5.78989495,4.07067086,0.01319143,0.46024718,0.35449775,1.98462651,1.24607752,0.02747388,1.72253914
-5.78389195,3.94249287,0.01283276,0.45573222,0.34337405,1.95246936,1.20859264,0.02743450,1.66088755
-5.77788894,3.83748225,0.01248031,0.45777193,0.33245049,1.93090749,1.18358823,0.02743312,1.60406239
-5.77188594,3.75802694,0.01213267,0.46687151,0.32180895,1.92117439,1.17206020,0.02747925,1.55281260
-5.76588294,3.70638488,0.01178844,0.48354649,0.31152322,1.92439432,1.17499374,0.02758344,1.50780892
-5.75987994,3.68464937,0.01144633,0.50830860,0.30165974,1.94155874,1.19334285,0.02775735,1.46964031
-5.75387694,3.69470653,0.01110535,0.54164821,0.29227816,1.97350090,1.22800389,0.02801368,1.43880993
-5.74787394,3.73818547,0.01076486,0.58401365,0.28343164,2.02086929,1.27978349,0.02836610,1.41573076
-5.74187094,3.81640240,0.01042469,0.63578807,0.27516669,2.08410048,1.34936177,0.02882905,1.40072077
-5.73586793,3.93030038,0.01008510,0.69726455,0.26752276,2.16339283,1.43725206,0.02941745,1.39399778
-5.72986493,4.08038736,0.00974683,0.76862048,0.26053144,2.25868190,1.54375874,0.03014631,1.39567423
-5.72386193,4.26667526,0.00941106,0.84989221,0.25421549,2.36961954,1.66893480,0.03103034,1.40575239
-5.71785893,4.48862357,0.00907934,0.94095112,0.24858769,2.49555785,1.81254138,0.03208345,1.42412035
-5.71185593,4.74509106,0.00875357,1.04148247,0.24364972,2.63553984,1.97401145,0.03331821,1.45054951
-5.70585293,5.03429916,0.00843586,1.15096820,0.23939107,2.78829801,2.15241982,0.03474539,1.48469384
-5.69984992,5.35381040,0.00812853,1.26867490,0.23578839,2.95226221,2.34646177,0.03637340,1.52609169
-5.69384692,5.70052514,0.00783397,1.39364809,0.23280503,3.12557747,2.55444234,0.03820785,1.57417034
-5.68784392,6.07069872,0.00755465,1.52471371,0.23039115,3.30613217,2.77427796,0.04025114,1.62825351
-5.68184092,6.45998074,0.00729302,1.66048742,0.22848443,3.49159646,3.00351179,0.04250215,1.68757216
-5.67583792,6.86347696,0.00705154,1.79939217,0.22701119,3.67947019,3.23934339,0.04495599,1.75127810
-5.66983492,7.27583327,0.00683262,1.93968390,0.22588828,3.86713898,3.47867289,0.04760388,1.81846044
-5.66383192,7.69134012,0.00663865,2.07948505,0.22502533,4.05193689,3.71815901,0.05043317,1.88816424
-5.65782891,8.10405439,0.00647202,2.21682502,0.22432755,4.23121324,3.95428963,0.05342745,1.95941077
-5.65182591,8.50793512,0.00633512,2.34968639,0.22369876,4.40240119,4.18346274,0.05656676,2.03121866
-5.64582291,8.89698832,0.00623040,2.47605538,0.22304473,4.56308548,4.40207532,0.05982795,2.10262516
-5.63981991,9.26541563,0.00616035,2.59397470,0.22227639,4.71106636,4.60661673,0.06318515,2.17270674
-5.63381691,9.60776115,0.00612753,2.70159683,0.22131310,4.84441749,4.79376324,0.06661026,2.24059818
-5.62781391,9.91905105,0.00613455,2.79723563,0.22008557,4.96153528,4.96046989,0.07007362,2.30550966
-5.62181091,10.19492034,0.00618405,2.87941417,0.21853832,5.06117785,5.10405595,0.07354464,2.36674112
-5.61580790,10.43172214,0.00627863,2.94690684,0.21663179,5.14249254,5.22228055,0.07699254,2.42369366
-5.60980490,10.62661548,0.00642080,2.99877416,0.21434369,5.20503085,5.31340537,0.08038711,2.47587772
-5.60380190,10.77762860,0.00661284,3.03438872,0.21166984,5.24875108,5.37624178,0.08369940,2.52291800
-5.59779890,10.88369583,0.00685673,3.05345140,0.20862423,5.27400886,5.41018073,0.08690249,2.56455519
-5.59179590,10.94466743,0.00715400,3.05599738,0.20523853,5.28153684,5.41520434,0.08997213,2.60064484
-5.58579290,10.96129287,0.00750557,3.04239170,0.20156085,5.27241476,5.39187896,0.09288741,2.63115362
-5.57978989,10.93517900,0.00791164,3.01331494,0.19765407,5.24803190,5.34133024,0.09563125,2.65615341
-5.57378689,10.86872566,0.00837156,2.96973964,0.19359358,5.21004377,5.26520185,0.09819084,2.67581360
-5.56778389,10.76504186,0.00888370,2.91289880,0.18946466,5.16032507,5.16559952,0.10055797,2.69039210
-5.56178089,10.62784635,0.00944539,2.84424765,0.18535959,5.10092100,5.04502324,0.10272920,2.70022524
-5.55577789,10.46135656,0.01005286,2.76542054,0.18137447,5.03399855,4.90629039,0.10470586,2.70571709
-5.54977489,10.27017000,0.01070123,2.67818446,0.17760604,4.96179932,4.75245289,0.10649395,2.70732829
-5.54377189,10.05914222,0.01138458,2.58439109,0.17414840,4.88659512,4.58671162,0.10810382,2.70556464
