energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
-6.00000000,2.95606248,0.75773233,2.05410082,0.02673978,0.10306613,0.67447275,0.00000000,0.61725633,0.00000000
-5.99399700,3.06154634,0.78397777,2.14585508,0.02812239,0.10682784,0.67973239,0.00000000,0.62753880,0.00000000
-5.98799400,3.16232063,0.80928388,2.23321701,0.02952138,0.11015452,0.68435309,0.00000000,0.63828120,0.00000000
-5.98199100,3.25695425,0.83322952,2.31509768,0.03091144,0.11300309,0.68813322,0.00000000,0.64921272,0.00000000
-5.97598799,3.34405544,0.85539970,2.39045364,0.03226631,0.11533963,0.69087457,0.00000000,0.66004125,0.00000000
-5.96998499,3.42230271,0.87539527,2.45830802,0.03355940,0.11714010,0.69238837,0.00000000,0.67046131,0.00000000
-5.96398199,3.49047423,0.89284230,2.51777028,0.03476434,0.11839087,0.69250102,0.00000000,0.68016238,0.00000000
-5.95797899,3.54747523,0.90740085,2.56805433,0.03585561,0.11908875,0.69105948,0.00000000,0.68883734,0.00000000
-5.95197599,3.59236281,0.91877306,2.60849476,0.03680919,0.11924085,0.68793610,0.00000000,0.69619099,0.00000000
-5.94597299,3.62436780,0.92671030,2.63856084,0.03760310,0.11886410,0.68303287,0.00000000,0.70194827,0.00000000
-5.93996998,3.64291328,0.93101937,2.65786819,0.03821803,0.11798452,0.67628501,0.00000000,0.70586205,0.00000000
-5.93396698,3.64762945,0.93156749,2.66618787,0.03863778,0.11663634,0.66766369,0.00000000,0.70772024,0.00000000
-5.92796398,3.63836460,0.92828610,2.66345275,0.03884981,0.11486090,0.65717797,0.00000000,0.70735209,0.00000000
-5.92196098,3.61519194,0.92117334,2.64976112,0.03884548,0.11270559,0.64487584,0.00000000,0.70463330,0.00000000
-5.91595798,3.57841215,0.91029514,2.62537736,0.03862040,0.11022263,0.63084430,0.00000000,0.69949006,0.00000000
-5.90995498,3.52855140,0.89578487,2.59072955,0.03817452,0.10746801,0.61520850,0.00000000,0.69190153,0.00000000
-5.90395198,3.46635490,0.87784158,2.54640413,0.03751216,0.10450033,0.59812994,0.00000000,0.68190099,0.00000000
-5.89794897,3.39277579,0.85672671,2.49313738,0.03664189,0.10137986,0.57980375,0.00000000,0.66957530,0.00000000
-5.89194597,3.30895964,0.83275939,2.43180400,0.03557629,0.09816764,0.56045508,0.00000000,0.65506286,0.00000000
-5.88594297,3.21622455,0.80631043,2.36340269,0.03433162,0.09492467,0.54033465,0.00000000,0.63855004,0.00000000
-5.87993997,3.11603729,0.77779499,2.28903905,0.03292729,0.09171119,0.51971374,0.00000000,0.62026617,0.00000000
-5.87393697,3.00998585,0.74766410,2.20990615,0.03138537,0.08858612,0.49887842,0.00000000,0.60047719,0.00000000
-5.86793397,2.89974895,0.71639535,2.12726294,0.02972993,0.08560648,0.47812343,0.00000000,0.57947834,0.00000000
-5.86193097,2.78706328,0.68448270,2.04241113,0.02798637,0.08282682,0.45774575,0.00000000,0.55758591,0.00000000
-5.85592796,2.67368910,0.65242593,1.95667109,0.02618074,0.08029879,0.43803804,0.00000000,0.53512853,0.00000000
-5.84992496,2.56137520,0.62071988,1.87135716,0.02433903,0.07807052,0.41928207,0.00000000,0.51243819,0.00000000
-5.84392196,2.45182407,0.58984368,1.78775327,0.02248656,0.07618609,0.40174233,0.00000000,0.48984130,0.00000000
-5.83791896,2.34665822,0.56025045,1.70708930,0.02064737,0.07468487,0.38566004,0.00000000,0.46765024,0.00000000
-5.83191596,2.24738841,0.53235763,1.63051880,0.01884368,0.07360083,0.37124753,0.00000000,0.44615540,0.00000000
-5.82591296,2.15538487,0.50653816,1.55909877,0.01709547,0.07296181,0.35868331,0.00000000,0.42561833,0.00000000
-5.81990995,2.07185194,0.48311295,1.49377182,0.01542018,0.07278872,0.34810779,0.00000000,0.40626584,0.00000000
-5.81390695,1.99780691,0.46234454,1.43535126,0.01383242,0.07309471,0.33961981,0.00000000,0.38828549,0.00000000
-5.80790395,1.93406347,0.44443246,1.38450922,0.01234393,0.07388446,0.33327411,0.00000000,0.37182245,0.00000000
-5.80190095,1.88122007,0.42951000,1.34176820,0.01096347,0.07515337,0.32907968,0.00000000,0.35697773,0.00000000
-5.79589795,1.83965331,0.41764288,1.30749596,0.00969700,0.07688706,0.32699917,0.00000000,0.34380786,0.00000000
-5.78989495,1.80951647,0.40882943,1.28190368,0.00854771,0.07906086,0.32694931,0.00000000,0.33232597,0.00000000
-5.78389195,1.79074284,0.40300252,1.26504746,0.00751634,0.08163966,0.32880243,0.00000000,0.32250401,0.00000000
-5.77788894,1.78305382,0.40003304,1.25683267,0.00660141,0.08457794,0.33238904,0.00000000,0.31427619,0.00000000
-5.77188594,1.78597123,0.39973478,1.25702099,0.00579951,0.08782019,0.33750146,0.00000000,0.30754322,0.00000000
-5.76588294,1.79883348,0.40187067,1.26523989,0.00510564,0.09130157,0.34389854,0.00000000,0.30217737,0.00000000
-5.75987994,1.82081496,0.40616000,1.28099401,0.00451354,0.09494907,0.35131127,0.00000000,0.29802799,0.00000000
-5.75387694,1.85094827,0.41228658,1.30367816,0.00401597,0.09868290,0.35944932,0.00000000,0.29492736,0.00000000
-5.74787394,1.88814841,0.41990750,1.33259161,0.00360508,0.10241828,0.36800828,0.00000000,0.29269659,0.00000000
-5.74187094,1.93123854,0.42866227,1.36695323,0.00327263,0.10606756,0.37667754,0.00000000,0.29115149,0.00000000
-5.73586793,1.97897658,0.43818207,1.40591724,0.00301023,0.10954249,0.38514844,0.00000000,0.29010808,0.00000000
-5.72986493,2.03008203,0.44809888,1.44858928,0.00280958,0.11275675,0.39312268,0.00000000,0.28938773,0.00000000
-5.72386193,2.08326252,0.45805426,1.49404251,0.00266261,0.11562851,0.40032055,0.00000000,0.28882169,0.00000000
-5.71785893,2.13723949,0.46770756,1.54133352,0.00256161,0.11808293,0.40648876,0.00000000,0.28825501,0.00000000
-5.71185593,2.19077251,0.47674322,1.58951804,0.00249937,0.12005462,0.41140768,0.00000000,0.28754966,0.00000000
-5.70585293,2.24268188,0.48487728,1.63766603,0.00246918,0.12148974,0.41489758,0.00000000,0.28658696,0.00000000
