energy_ev,total_up,Bi_p_up,Bi_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,4.37473296,1.02497734,0.00983197,1.70038873,0.50305761,0.16722743,1.75049965
-5.99399700,4.46961775,1.04907095,0.01026053,1.73615990,0.50897067,0.16921107,1.77304750
-5.98799400,4.55004957,1.07031626,0.01065140,1.76565018,0.51340042,0.17056133,1.78873720
-5.98199100,4.61480364,1.08832453,0.01099814,1.78841444,0.51630954,0.17125490,1.79743852
-5.97598799,4.66283678,1.10274563,0.01129476,1.80409391,0.51767098,0.17127763,1.79911421
-5.96998499,4.69332174,1.11328151,0.01153601,1.81242818,0.51746875,0.17062499,1.79382055
-5.96398199,4.70567988,1.11969886,0.01171748,1.81326607,0.51569923,0.16930247,1.78170695
-5.95797899,4.69961047,1.12184042,0.01183575,1.80657451,0.51237278,0.16732582,1.76301450
-5.95197599,4.67511479,1.11963422,0.01188856,1.79244499,0.50751561,0.16472101,1.73807350
-5.94597299,4.63251347,1.11310019,0.01187485,1.77109707,0.50117169,0.16152409,1.70729973
-5.93996998,4.57245529,1.10235369,0.01179483,1.74287828,0.49340454,0.15778067,1.67118936
-5.93396698,4.49591631,1.08760556,0.01165002,1.70826033,0.48429855,0.15354531,1.63031233
-5.92796398,4.40418824,1.06915850,0.01144320,1.66783116,0.47395985,0.14888049,1.58530392
-5.92196098,4.29885562,1.04739985,0.01117837,1.62228309,0.46251625,0.14385540,1.53685463
-5.91595798,4.18176184,1.02279074,0.01086060,1.57239694,0.45011632,0.13854451,1.48569809
-5.90995498,4.05496470,0.99585217,0.01049593,1.51902283,0.43692744,0.13302587,1.43259720
-5.90395198,3.92068266,0.96714846,0.01009119,1.46305801,0.42313278,0.12737928,1.37832872
-5.89794897,3.78123367,0.93726864,0.00965375,1.40542257,0.40892730,0.12168440,1.32366650
-5.89194597,3.63896874,0.90680671,0.00919141,1.34703390,0.39451279,0.11601869,1.26936391
-5.88594297,3.49620290,0.87634152,0.00871205,1.28878092,0.38009237,0.11045553,1.21613597
-5.87993997,3.35514653,0.84641722,0.00822354,1.23149914,0.36586443,0.10506237,1.16464184
-5.87393697,3.21783992,0.81752508,0.00773341,1.17594751,0.35201641,0.09989899,1.11546841
-5.86793397,3.08609387,0.79008752,0.00724875,1.12278813,0.33871889,0.09501619,1.06911563
-5.86193097,2.96143922,0.76444507,0.00677599,1.07256963,0.32611999,0.09045456,1.02598441
-5.85592796,2.84508733,0.74084683,0.00632078,1.02571490,0.31434070,0.08624379,0.98636752
-5.84992496,2.73790333,0.71944472,0.00588789,0.98251377,0.30347114,0.08240226,0.95044424
-5.84392196,2.64039336,0.70029191,0.00548114,0.94312072,0.29356820,0.07893706,0.91827890
-5.83791896,2.55270611,0.68334524,0.00510337,0.90755794,0.28465449,0.07584441,0.88982354
-5.83191596,2.47464852,0.66847166,0.00475646,0.87572316,0.27671881,0.07311044,0.86492481
-5.82591296,2.40571466,0.65545807,0.00444135,0.84740217,0.26971803,0.07071237,0.84333458
-5.81990995,2.34512631,0.64402435,0.00415814,0.82228513,0.26358041,0.06861986,0.82472417
-5.81390695,2.29188292,0.63383854,0.00390616,0.79998596,0.25820997,0.06679671,0.80870128
-5.80790395,2.24481878,0.62453382,0.00368411,0.78006384,0.25349195,0.06520265,0.79482902
-5.80190095,2.20266418,0.61572613,0.00349016,0.76204584,0.24929890,0.06379514,0.78264620
-5.79589795,2.16410792,0.60703188,0.00332211,0.74544955,0.24549705,0.06253129,0.77168778
-5.78989495,2.12785812,0.59808472,0.00317750,0.72980483,0.24195282,0.06136958,0.76150473
-5.78389195,2.09269855,0.58855089,0.00305376,0.71467354,0.23853900,0.06027141,0.75168218
-5.77788894,2.05753810,0.57814227,0.00294829,0.69966675,0.23514027,0.05920253,0.74185530
-5.77188594,2.02145140,0.56662688,0.00285861,0.68445839,0.23165795,0.05813404,0.73172201
-5.76588294,1.98370894,0.55383624,0.00278240,0.66879526,0.22801364,0.05704320,0.72105206
-5.75987994,1.94379608,0.53966962,0.00271757,0.65250285,0.22415167,0.05591388,0.70969229
-5.75387694,1.90142031,0.52409500,0.00266232,0.63548708,0.22004020,0.05473659,0.69756780
-5.74787394,1.85650738,0.50714697,0.00261515,0.61773204,0.21567113,0.05350834,0.68467922
-5.74187094,1.80918687,0.48892175,0.00257483,0.59929412,0.21105871,0.05223206,0.67109637
-5.73586793,1.75976886,0.46956981,0.00254045,0.58029296,0.20623705,0.05091590,0.65694884
-5.72986493,1.70871324,0.44928652,0.00251133,0.56090001,0.20125676,0.04957226,0.64241406
-5.72386193,1.65659380,0.42830143,0.00248699,0.54132517,0.19618089,0.04821671,0.62770370
-5.71785893,1.60405938,0.40686672,0.00246713,0.52180259,0.19108042,0.04686688,0.61304913
-5.71185593,1.55179430,0.38524545,0.00245156,0.50257619,0.18602962,0.04554129,0.59868691
-5.70585293,1.50048019,0.36370015,0.00244015,0.48388580,0.18110151,0.04425827,0.58484503
-5.69984992,1.45076143,0.34248227,0.00243280,0.46595451,0.17636369,0.04303503,0.57173063
-5.69384692,1.40321566,0.32182292,0.00242936,0.44897796,0.17187475,0.04188688,0.55952005
-5.68784392,1.35833086,0.30192518,0.00242968,0.43311586,0.16768145,0.04082660,0.54835138
-5.68184092,1.31648981,0.28295839,0.00243349,0.41848629,0.16381682,0.03986411,0.53832014
-5.67583792,1.27796237,0.26505430,0.00244052,0.40516268,0.16029924,0.03900632,0.52947807
