energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.28520198,0.00469708,0.01813959,0.44261339,0.52033819,0.01924739,0.54884062
-5.99399700,1.23936231,0.00456107,0.01627880,0.42823056,0.50720015,0.01856963,0.52525254
-5.98799400,1.19101733,0.00441140,0.01455035,0.41292193,0.49317466,0.01784434,0.50034193
-5.98199100,1.14066541,0.00424891,0.01296108,0.39682978,0.47835312,0.01708225,0.47443128
-5.97598799,1.08883937,0.00407483,0.01151619,0.38010314,0.46284043,0.01629430,0.44786144
-5.96998499,1.03609530,0.00389069,0.01021944,0.36289487,0.44675321,0.01549145,0.42098394
-5.96398199,0.98300204,0.00369829,0.00907326,0.34535915,0.43021840,0.01468447,0.39415346
-5.95797899,0.93013162,0.00349957,0.00807906,0.32764929,0.41337195,0.01388385,0.36772088
-5.95197599,0.87805069,0.00329661,0.00723748,0.30991592,0.39635781,0.01309968,0.34202687
-5.94597299,0.82731295,0.00309152,0.00654864,0.29230549,0.37932692,0.01234157,0.31739618
-5.93996998,0.77845255,0.00288640,0.00601243,0.27495909,0.36243613,0.01161857,0.29413279
-5.93396698,0.73197828,0.00268325,0.00562875,0.25801146,0.34584706,0.01093916,0.27251576
-5.92796398,0.68836839,0.00248398,0.00539762,0.24159015,0.32972463,0.01031122,0.25279594
-5.92196098,0.64806579,0.00229032,0.00531939,0.22581483,0.31423520,0.00974197,0.23519328
-5.91595798,0.61147349,0.00210383,0.00539472,0.21079658,0.29954429,0.00923798,0.21989481
-5.90995498,0.57895003,0.00192585,0.00562459,0.19663711,0.28581389,0.00880510,0.20705307
-5.90395198,0.55080488,0.00175750,0.00601022,0.18342801,0.27319918,0.00844843,0.19678495
-5.89794897,0.52729367,0.00159968,0.00655286,0.17124982,0.26184503,0.00817225,0.18917086
-5.89194597,0.50861336,0.00145304,0.00725363,0.16017112,0.25188205,0.00797997,0.18425409
-5.88594297,0.49489740,0.00131803,0.00811317,0.15024750,0.24342266,0.00787397,0.18204037
-5.87993997,0.48621122,0.00119488,0.00913140,0.14152057,0.23655716,0.00785561,0.18249769
-5.87393697,0.48254812,0.00108360,0.01030713,0.13401702,0.23135006,0.00792504,0.18555628
-5.86793397,0.48382621,0.00098405,0.01163774,0.12774780,0.22783698,0.00808116,0.19110899
-5.86193097,0.48988639,0.00089590,0.01311891,0.12270757,0.22602222,0.00832150,0.19901204
-5.85592796,0.50049217,0.00081870,0.01474428,0.11887439,0.22587730,0.00864222,0.20908632
-5.84992496,0.51533132,0.00075184,0.01650529,0.11620985,0.22734060,0.00903804,0.22111945
-5.84392196,0.53401991,0.00069466,0.01839106,0.11465959,0.23031824,0.00950225,0.23486859
-5.83791896,0.55610885,0.00064640,0.02038830,0.11415433,0.23468625,0.01002681,0.25006415
-5.83191596,0.58109302,0.00060625,0.02248146,0.11461145,0.24029414,0.01060244,0.26641459
-5.82591296,0.60842299,0.00057336,0.02465289,0.11593706,0.24696964,0.01121877,0.28361209
-5.81990995,0.63751912,0.00054691,0.02688315,0.11802856,0.25452465,0.01186459,0.30133925
-5.81390695,0.66778770,0.00052607,0.02915142,0.12077765,0.26276203,0.01252811,0.31927657
-5.80790395,0.69863860,0.00051005,0.03143602,0.12407370,0.27148319,0.01319727,0.33711059
-5.80190095,0.72950375,0.00049812,0.03371499,0.12780726,0.28049585,0.01386008,0.35454236
-5.79589795,0.75985584,0.00048962,0.03596670,0.13187383,0.28962195,0.01450501,0.37129597
-5.78989495,0.78922610,0.00048399,0.03817052,0.13617735,0.29870501,0.01512131,0.38712676
-5.78389195,0.81722064,0.00048074,0.04030743,0.14063364,0.30761687,0.01569944,0.40182885
-5.77788894,0.84353418,0.00047950,0.04236056,0.14517332,0.31626310,0.01623135,0.41524152
-5.77188594,0.86796059,0.00048003,0.04431574,0.14974421,0.32458712,0.01671077,0.42725418
-5.76588294,0.89039943,0.00048216,0.04616183,0.15431299,0.33257244,0.01713343,0.43780956
-5.75987994,0.91085812,0.00048585,0.04789097,0.15886604,0.34024308,0.01749723,0.44690491
-5.75387694,0.92944931,0.00049116,0.04949868,0.16340938,0.34766194,0.01780225,0.45459100
-5.74787394,0.94638363,0.00049825,0.05098379,0.16796764,0.35492718,0.01805075,0.46096904
-5.74187094,0.96195783,0.00050734,0.05234826,0.17258211,0.36216678,0.01824701,0.46618540
-5.73586793,0.97653895,0.00051875,0.05359681,0.17730792,0.36953142,0.01839715,0.47042457
-5.72986493,0.99054523,0.00053283,0.05473655,0.18221049,0.37718613,0.01850878,0.47390050
-5.72386193,1.00442469,0.00054999,0.05577643,0.18736143,0.38530104,0.01859066,0.47684684
-5.71785893,1.01863259,0.00057067,0.05672679,0.19283398,0.39404179,0.01865227,0.47950658
-5.71185593,1.03360887,0.00059534,0.05759880,0.19869848,0.40356002,0.01870338,0.48212156
-5.70585293,1.04975696,0.00062449,0.05840407,0.20501790,0.41398469,0.01875357,0.48492258
-5.69984992,1.06742516,0.00065863,0.05915430,0.21184378,0.42541443,0.01881181,0.48812047
-5.69384692,1.08689156,0.00069831,0.05986111,0.21921289,0.43791172,0.01888605,0.49189872
-5.68784392,1.10835360,0.00074411,0.06053596,0.22714473,0.45149894,0.01898295,0.49640809
-5.68184092,1.13192271,0.00079667,0.06119034,0.23564013,0.46615685,0.01910754,0.50176342
-5.67583792,1.15762448,0.00085672,0.06183595,0.24468100,0.48182537,0.01926315,0.50804281
-5.66983492,1.18540425,0.00092509,0.06248524,0.25423127,0.49840681,0.01945127,0.51528923
-5.66383192,1.21513779,0.00100279,0.06315184,0.26423908,0.51577129,0.01967166,0.52351429
-5.65782891,1.24664634,0.00109097,0.06385123,0.27463997,0.53376401,0.01992247,0.53270396
-5.65182591,1.27971498,0.00119106,0.06460130,0.28536096,0.55221401,0.02020043,0.54282579
-5.64582291,1.31411307,0.00130472,0.06542292,0.29632524,0.57094379,0.02050115,0.55383704
-5.63981991,1.34961534,0.00143390,0.06634039,0.30745722,0.58977915,0.02081949,0.56569313
-5.63381691,1.38602208,0.00158091,0.06738174,0.31868751,0.60855866,0.02114986,0.57835587
-5.62781391,1.42317706,0.00174837,0.06857876,0.32995753,0.62714207,0.02148659,0.59180065
-5.62181091,1.46098168,0.00193926,0.06996684,0.34122350,0.64541708,0.02182427,0.60602216
-5.61580790,1.49940436,0.00215690,0.07158448,0.35245938,0.66330394,0.02215801,0.62103813
-5.60980490,1.53848419,0.00240487,0.07347251,0.36365861,0.68075763,0.02248367,0.63689075
-5.60380190,1.57832856,0.00268703,0.07567303,0.37483446,0.69776729,0.02279796,0.65364544
-5.59779890,1.61910446,0.00300738,0.07822808,0.38601902,0.71435298,0.02309852,0.67138720
-5.59179590,1.66102408,0.00336999,0.08117806,0.39726064,0.73055991,0.02338387,0.69021442
-5.58579290,1.70432522,0.00377882,0.08456004,0.40862014,0.74645048,0.02365329,0.71023061
-5.57978989,1.74924773,0.00423763,0.08840585,0.42016595,0.76209467,0.02390663,0.73153449
-5.57378689,1.79600740,0.00474979,0.09274028,0.43196833,0.77755931,0.02414407,0.75420903
