energy_ev,total_up,Ge_p_up,Ge_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,0.06298285,0.02281689,0.00000000,0.03452190,0.02162674,0.01595280,0.00000000
-5.99399700,0.05832760,0.02169616,0.00000000,0.02893573,0.02112871,0.01347731,0.00000000
-5.98799400,0.05553339,0.02115358,0.00000000,0.02459290,0.02118103,0.01162559,0.00000000
-5.98199100,0.05445488,0.02112708,0.00000000,0.02139462,0.02173893,0.01036541,0.00000000
-5.97598799,0.05497124,0.02155781,0.00000000,0.01926557,0.02276206,0.00967917,0.00000000
-5.96998499,0.05698964,0.02239059,0.00000000,0.01815700,0.02421528,0.00956587,0.00000000
-5.96398199,0.06044854,0.02357442,0.00000000,0.01804952,0.02606935,0.01004285,0.00000000
-5.95797899,0.06532085,0.02506292,0.00000000,0.01895567,0.02830180,0.01114755,0.00000000
-5.95197599,0.07161721,0.02681487,0.00000000,0.02092221,0.03089787,0.01293920,0.00000000
-5.94597299,0.07938924,0.02879478,0.00000000,0.02403234,0.03385158,0.01550035,0.00000000
-5.93996998,0.08873296,0.03097366,0.00000000,0.02840775,0.03716692,0.01893838,0.00000000
-5.93396698,0.09979212,0.03332983,0.00000000,0.03421043,0.04085913,0.02338679,0.00000000
-5.92796398,0.11276139,0.03584993,0.00000000,0.04164420,0.04495606,0.02900624,0.00000000
-5.92196098,0.12788912,0.03852987,0.00000000,0.05095582,0.04949949,0.03598523,0.00000000
-5.91595798,0.14547943,0.04137590,0.00000000,0.06243546,0.05454632,0.04454025,0.00000000
-5.90995498,0.16589323,0.04440562,0.00000000,0.07641635,0.06016954,0.05491535,0.00000000
-5.90395198,0.18954778,0.04764873,0.00000000,0.09327325,0.06645885,0.06738072,0.00000000
-5.89794897,0.21691437,0.05114765,0.00000000,0.11341965,0.07352076,0.08223041,0.00000000
-5.89194597,0.24851378,0.05495773,0.00000000,0.13730322,0.08147806,0.09977877,0.00000000
-5.88594297,0.28490893,0.05914699,0.00000000,0.16539935,0.09046849,0.12035554,0.00000000
-5.87993997,0.32669459,0.06379535,0.00000000,0.19820253,0.10064259,0.14429943,0.00000000
-5.87393697,0.37448383,0.06899317,0.00000000,0.23621535,0.11216049,0.17195019,0.00000000
-5.86793397,0.42889098,0.07483916,0.00000000,0.27993507,0.12518771,0.20363899,0.00000000
-5.86193097,0.49051137,0.08143755,0.00000000,0.32983770,0.13988993,0.23967723,0.00000000
-5.85592796,0.55989781,0.08889449,0.00000000,0.38635983,0.15642676,0.28034397,0.00000000
-5.84992496,0.63753437,0.09731391,0.00000000,0.44987838,0.17494460,0.32587205,0.00000000
-5.84392196,0.72380815,0.10679265,0.00000000,0.52068874,0.19556883,0.37643346,0.00000000
-5.83791896,0.81897969,0.11741531,0.00000000,0.59898202,0.21839550,0.43212411,0.00000000
