energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.64420684,0.02116897,0.06872900,0.56238259,0.75410200,0.43078386,0.30489646,0.59601552,0.00000000
-5.99399700,1.68822193,0.02010264,0.07396122,0.59411226,0.77117075,0.45476551,0.30931860,0.61829907,0.00000000
-5.98799400,1.73478174,0.01906553,0.07934134,0.62724175,0.78928485,0.47995861,0.31405474,0.64198164,0.00000000
-5.98199100,1.78353379,0.01807489,0.08481097,0.66148763,0.80824279,0.50617787,0.31911526,0.66688249,0.00000000
-5.97598799,1.83400182,0.01714625,0.09030468,0.69650757,0.82779459,0.53319800,0.32448490,0.69277245,0.00000000
-5.96998499,1.88558449,0.01629306,0.09575101,0.73190340,0.84764188,0.56075580,0.33012087,0.71937404,0.00000000
-5.96398199,1.93756197,0.01552642,0.10107380,0.76722724,0.86744148,0.58855418,0.33595245,0.74636441,0.00000000
-5.95797899,1.98911024,0.01485484,0.10619397,0.80199059,0.88681241,0.61626811,0.34188212,0.77338098,0.00000000
-5.95197599,2.03932250,0.01428416,0.11103151,0.83567593,0.90534614,0.64355212,0.34778818,0.80002975,0.00000000
-5.94597299,2.08723675,0.01381751,0.11550776,0.86775063,0.92261943,0.67004915,0.35352876,0.82589562,0.00000000
-5.93996998,2.13186807,0.01345536,0.11954770,0.89768237,0.93820935,0.69540025,0.35894697,0.85055456,0.00000000
-5.93396698,2.17224416,0.01319571,0.12308235,0.92495555,0.95170936,0.71925476,0.36387695,0.87358676,0.00000000
-5.92796398,2.20744204,0.01303424,0.12605102,0.94908795,0.96274594,0.74128046,0.36815050,0.89459032,0.00000000
-5.92196098,2.23662438,0.01296461,0.12840333,0.96964672,0.97099468,0.76117327,0.37160405,0.91319481,0.00000000
-5.91595798,2.25907344,0.01297880,0.13010095,0.98626327,0.97619511,0.77866608,0.37408547,0.92907391,0.00000000
-5.90995498,2.27422103,0.01306740,0.13111899,0.99864606,0.97816337,0.79353625,0.37546053,0.94195677,0.00000000
-5.90395198,2.28167312,0.01322006,0.13144685,1.00659102,0.97680239,0.80561171,0.37561868,0.95163740,0.00000000
-5.89794897,2.28122805,0.01342580,0.13108866,1.00998890,0.97210877,0.81477518,0.37447783,0.95798183,0.00000000
-5.89194597,2.27288745,0.01367343,0.13006318,1.00882946,0.96417633,0.82096662,0.37198803,0.96093266,0.00000000
-5.88594297,2.25685969,0.01395192,0.12840320,1.00320220,0.95319613,0.82418382,0.36813380,0.96051105,0.00000000
-5.87993997,2.23355588,0.01425071,0.12615449,0.99329379,0.93945307,0.82448113,0.36293511,0.95681582,0.00000000
-5.87393697,2.20357854,0.01456002,0.12337429,0.97938221,0.92331918,0.82196656,0.35644694,0.95002012,0.00000000
-5.86793397,2.16770399,0.01487116,0.12012955,0.96182800,0.90524418,0.81679739,0.34875757,0.94036555,0.00000000
-5.86193097,2.12685890,0.01517665,0.11649478,0.94106304,0.88574355,0.80917450,0.33998551,0.92815429,0.00000000
-5.85592796,2.08209245,0.01547048,0.11254983,0.91757719,0.86538471,0.79933571,0.33027546,0.91373936,0.00000000
-5.84992496,2.03454495,0.01574813,0.10837755,0.89190358,0.84477181,0.78754838,0.31979335,0.89751350,0.00000000
-5.84392196,1.98541426,0.01600663,0.10406141,0.86460283,0.82452978,0.77410140,0.30872069,0.87989713,0.00000000
-5.83791896,1.93592112,0.01624452,0.09968327,0.83624697,0.80528789,0.75929704,0.29724848,0.86132561,0.00000000
-5.83191596,1.88727442,0.01646177,0.09532126,0.80740350,0.78766352,0.74344261,0.28557098,0.84223640,0.00000000
-5.82591296,1.84063752,0.01665961,0.09104788,0.77862014,0.77224634,0.72684230,0.27387947,0.82305633,0.00000000
-5.81990995,1.79709643,0.01684035,0.08692836,0.75041058,0.75958335,0.70978935,0.26235635,0.80418949,0.00000000
-5.81390695,1.75763048,0.01700712,0.08301931,0.72324183,0.75016486,0.69255862,0.25116960,0.78600583,0.00000000
-5.80790395,1.72308645,0.01716355,0.07936773,0.69752322,0.74441188,0.67539985,0.24046805,0.76883103,0.00000000
-5.80190095,1.69415631,0.01731357,0.07601023,0.67359751,0.74266483,0.65853170,0.23037734,0.75293770,0.00000000
-5.79589795,1.67135924,0.01746098,0.07297270,0.65173412,0.74517396,0.64213668,0.22099682,0.73853824,0.00000000
-5.78989495,1.65502829,0.01760924,0.07027023,0.63212473,0.75209138,0.62635718,0.21239748,0.72577949,0.00000000
-5.78389195,1.64530177,0.01776116,0.06790730,0.61488111,0.76346508,0.61129276,0.20462089,0.71473940,0.00000000
-5.77788894,1.64211976,0.01791867,0.06587829,0.60003545,0.77923496,0.59699867,0.19767920,0.70542584,0.00000000
-5.77188594,1.64522574,0.01808261,0.06416826,0.58754275,0.79923100,0.58348593,0.19155614,0.69777746,0.00000000
-5.76588294,1.65417343,0.01825262,0.06275385,0.57728558,0.82317379,0.57072278,0.18620902,0.69166693,0.00000000
-5.75987994,1.66833869,0.01842709,0.06160451,0.56908064,0.85067757,0.55863768,0.18157148,0.68690614,0.00000000
-5.75387694,1.68693633,0.01860316,0.06068372,0.56268721,0.88125570,0.54712377,0.17755711,0.68325348,0.00000000
-5.74787394,1.70904157,0.01877681,0.05995047,0.55781701,0.91432889,0.53604459,0.17406358,0.68042302,0.00000000
-5.74187094,1.73361555,0.01894304,0.05936069,0.55414531,0.94923598,0.52524108,0.17097718,0.67809506,0.00000000
-5.73586793,1.75953439,0.01909608,0.05886883,0.55132290,0.98524722,0.51453936,0.16817766,0.67592805,0.00000000
-5.72986493,1.78562102,0.01922971,0.05842927,0.54898853,1.02157990,0.50375924,0.16554314,0.67357124,0.00000000
-5.72386193,1.81067894,0.01933757,0.05799785,0.54678146,1.05741608,0.49272300,0.16295480,0.67067772,0.00000000
-5.71785893,1.83352694,0.01941354,0.05753319,0.54435380,1.09192194,0.48126402,0.16030147,0.66691741,0.00000000
-5.71185593,1.85303373,0.01945212,0.05699791,0.54138212,1.12426835,0.46923512,0.15748359,0.66198944,0.00000000
-5.70585293,1.86815147,0.01944884,0.05635966,0.53757821,1.15365207,0.45651597,0.15441673,0.65563362,0.00000000
-5.69984992,1.87794713,0.01940057,0.05559204,0.53269843,1.17931700,0.44301953,0.15103438,0.64764045,0.00000000
-5.69384692,1.88163077,0.01930593,0.05467519,0.52655168,1.20057474,0.42869705,0.14729002,0.63785944,0.00000000
-5.68784392,1.87857971,0.01916554,0.05359624,0.51900554,1.21682389,0.41354161,0.14315837,0.62620542,0.00000000
-5.68184092,1.86835812,0.01898226,0.05234951,0.50999062,1.22756730,0.39758998,0.13863588,0.61266275,0.00000000
-5.67583792,1.85073125,0.01876137,0.05093645,0.49950310,1.23242684,0.38092285,0.13374049,0.59728721,0.00000000
-5.66983492,1.82567396,0.01851062,0.04936546,0.48760530,1.23115504,0.36366347,0.12851065,0.58020578,0.00000000
-5.66383192,1.79337362,0.01824033,0.04765141,0.47442462,1.22364320,0.34597483,0.12300379,0.56161430,0.00000000
-5.65782891,1.75422707,0.01796321,0.04581508,0.46015072,1.20992578,0.32805563,0.11729425,0.54177315,0.00000000
-5.65182591,1.70883220,0.01769429,0.04388245,0.44503140,1.19018074,0.31013519,0.11147090,0.52100142,0.00000000
-5.64582291,1.65797438,0.01745062,0.04188388,0.42936708,1.16472602,0.29246769,0.10563438,0.49966957,0.00000000
-5.63981991,1.60260831,0.01725100,0.03985322,0.41350446,1.13401216,0.27532592,0.09989438,0.47819112,0.00000000
-5.63381691,1.54383602,0.01711550,0.03782692,0.39782923,1.09861142,0.25899488,0.09436674,0.45701354,0.00000000
-5.62781391,1.48288172,0.01706510,0.03584313,0.38275829,1.05920379,0.24376544,0.08917069,0.43660874,0.00000000
-5.62181091,1.42106421,0.01712103,0.03394079,0.36873158,1.01656030,0.22992820,0.08442624,0.41746328,0.00000000
-5.61580790,1.35976774,0.01730428,0.03215881,0.35620363,0.97152438,0.21776784,0.08025171,0.40006869,0.00000000
-5.60980490,1.30041197,0.01763490,0.03053527,0.34563504,0.92499171,0.20755790,0.07676150,0.38491193,0.00000000
-5.60380190,1.24442174,0.01813136,0.02910669,0.33748394,0.87788933,0.19955617,0.07406413,0.37246622,0.00000000
-5.59779890,1.19319730,0.01880987,0.02790740,0.33219746,0.83115454,0.19400050,0.07226045,0.36318223,0.00000000
-5.59179590,1.14808553,0.01968371,0.02696892,0.33020330,0.78571425,0.19110524,0.07144203,0.35747970,0.00000000
-5.58579290,1.11035253,0.02076257,0.02631946,0.33190142,0.74246519,0.19105798,0.07168975,0.35573963,0.00000000
-5.57978989,1.08115807,0.02205200,0.02598341,0.33765580,0.70225557,0.19401667,0.07307249,0.35829679,0.00000000
-5.57378689,1.06153210,0.02355282,0.02598095,0.34778641,0.66586844,0.20010696,0.07564594,0.36543280,0.00000000
-5.56778389,1.05235356,0.02526078,0.02632768,0.36256132,0.63400695,0.20941972,0.07945140,0.37736963,0.00000000
-5.56178089,1.05433179,0.02716621,0.02703425,0.38218913,0.60728193,0.22200863,0.08451471,0.39426365,0.00000000
-5.55577789,1.06799048,0.02925390,0.02810607,0.40681169,0.58620154,0.23788785,0.09084516,0.41620015,0.00000000
-5.54977489,1.09365457,0.03150311,0.02954309,0.43649741,0.57116329,0.25702979,0.09843450,0.44318861,0.00000000
-5.54377189,1.13144005,0.03388779,0.03133956,0.47123513,0.56244828,0.27936294,0.10725598,0.47515864,0.00000000
-5.53776888,1.18124681,0.03637692,0.03348393,0.51092892,0.56021752,0.30477002,0.11726358,0.51195684,0.00000000
-5.53176588,1.24275490,0.03893512,0.03595875,0.55539398,0.56451041,0.33308629,0.12839135,0.55334472,0.00000000
-5.52576288,1.31542408,0.04152336,0.03874069,0.60435378,0.57524511,0.36409844,0.14055311,0.59899788,0.00000000
