energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up
4.18709355,0.74166297,0.63984133,0.01247458,0.01945153,0.11079837,0.65575926,0.10032967,0.00000000
4.19309655,0.74504957,0.62092359,0.01265923,0.01794500,0.11405753,0.67122389,0.10007943,0.00000000
4.19909955,0.75205075,0.60588393,0.01288535,0.01666380,0.11730830,0.68912269,0.10009925,0.00000000
4.20510255,0.76203003,0.59428018,0.01314199,0.01559841,0.12042371,0.70872899,0.10030815,0.00000000
4.21110555,0.77433333,0.58565622,0.01341849,0.01473609,0.12328383,0.72933986,0.10062978,0.00000000
4.21710855,0.78831251,0.57956330,0.01370485,0.01406175,0.12577888,0.75029559,0.10099546,0.00000000
4.22311156,0.80334756,0.57557963,0.01399204,0.01355866,0.12781200,0.77099691,0.10134673,0.00000000
4.22911456,0.81886672,0.57332717,0.01427226,0.01320925,0.12930162,0.79091933,0.10163742,0.00000000
4.23511756,0.83436373,0.57248528,0.01453914,0.01299577,0.13018320,0.80962426,0.10183513,0.00000000
4.24112056,0.84941181,0.57280066,0.01478787,0.01290094,0.13041050,0.82676669,0.10192208,0.00000000
4.24712356,0.86367382,0.57409327,0.01501530,0.01290842,0.12995616,0.84209905,0.10189533,0.00000000
4.25312656,0.87690824,0.57625820,0.01521988,0.01300329,0.12881179,0.85547143,0.10176635,0.00000000
4.25912956,0.88897097,0.57926336,0.01540167,0.01317230,0.12698737,0.86682797,0.10155992,0.00000000
4.26513257,0.89981275,0.58314330,0.01556215,0.01340405,0.12451021,0.87619976,0.10131257,0.00000000
4.27113557,0.90947264,0.58798947,0.01570407,0.01368911,0.12142331,0.88369460,0.10107043,0.00000000
4.27713857,0.91806772,0.59393737,0.01583122,0.01401992,0.11778341,0.88948406,0.10088675,0.00000000
4.28314157,0.92577967,0.60115137,0.01594812,0.01439067,0.11365863,0.89378841,0.10081916,0.00000000
4.28914457,0.93283891,0.60980777,0.01605983,0.01479710,0.10912594,0.89686024,0.10092669,0.00000000
4.29514757,0.93950702,0.62007712,0.01617155,0.01523616,0.10426843,0.89896740,0.10126686,0.00000000
4.30115058,0.94605839,0.63210647,0.01628843,0.01570572,0.09917262,0.90037622,0.10189280,0.00000000
4.30715358,0.95276201,0.64600271,0.01641528,0.01620424,0.09392582,0.90133567,0.10285066,0.00000000
4.31315658,0.95986427,0.66181757,0.01655632,0.01673037,0.08861363,0.90206333,0.10417722,0.00000000
4.31915958,0.96757358,0.67953539,0.01671500,0.01728274,0.08331774,0.90273373,0.10589811,0.00000000
4.32516258,0.97604764,0.69906404,0.01689388,0.01785963,0.07811400,0.90346967,0.10802632,0.00000000
4.33116558,0.98538388,0.72022978,0.01709451,0.01845890,0.07307085,0.90433682,0.11056139,0.00000000
4.33716858,0.99561344,0.74277625,0.01731741,0.01907786,0.06824816,0.90534189,0.11348912,0.00000000
4.34317159,1.00669900,0.76636789,0.01756206,0.01971337,0.06369649,0.90643422,0.11678181,0.00000000
4.34917459,1.01853633,0.79059756,0.01782694,0.02036197,0.05945668,0.90751068,0.12039903,0.00000000
4.35517759,1.03095944,0.81499820,0.01810964,0.02102017,0.05555988,0.90842358,0.12428890,0.00000000
4.36118059,1.04374887,0.83905797,0.01840693,0.02168483,0.05202792,0.90899083,0.12838974,0.00000000
4.36718359,1.05664260,0.86223824,0.01871492,0.02235360,0.04887388,0.90900796,0.13263203,0.00000000
4.37318659,1.06934873,0.88399351,0.01902916,0.02302543,0.04610302,0.90826106,0.13694059,0.00000000
4.37918959,1.08155946,0.90379230,0.01934480,0.02370114,0.04371380,0.90654001,0.14123687,0.00000000
4.38519260,1.09296519,0.92113806,0.01965667,0.02438389,0.04169899,0.90365112,0.14544125,0.00000000
4.39119560,1.10326832,0.93558896,0.01995943,0.02507966,0.04004693,0.89942863,0.14947524,0.00000000
4.39719860,1.11219574,0.94677567,0.02024762,0.02579766,0.03874263,0.89374435,0.15326356,0.00000000
4.40320160,1.11950958,0.95441617,0.02051578,0.02655054,0.03776891,0.88651506,0.15673593,0.00000000
4.40920460,1.12501575,0.95832687,0.02075846,0.02735446,0.03710740,0.87770717,0.15982862,0.00000000
4.41520760,1.12856980,0.95842954,0.02097030,0.02822901,0.03673934,0.86733884,0.16248563,0.00000000
4.42121061,1.13008013,0.95475370,0.02114606,0.02919680,0.03664627,0.85547909,0.16465964,0.00000000
4.42721361,1.12950847,0.94743432,0.02128069,0.03028298,0.03681046,0.84224451,0.16631250,0.00000000
