energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,5.22043029,0.05115553,0.93063452,0.80551925,0.34881484,2.01476701,0.00000000,2.86666227,1.59239803
-5.99399700,5.05465295,0.05016386,0.88807007,0.79398653,0.33778123,1.97171325,0.00000000,2.84351580,1.51799403
-5.98799400,4.91011961,0.04936188,0.85201190,0.78445873,0.32732170,1.93317990,0.00000000,2.83402076,1.45323933
-5.98199100,4.78761419,0.04874853,0.82252213,0.77707320,0.31756656,1.89951636,0.00000000,2.83782276,1.39833951
-5.97598799,4.68744720,0.04831642,0.79952671,0.77192095,0.30862515,1.87096495,0.00000000,2.85424036,1.35331040
-5.96998499,4.60948192,0.04805218,0.78282598,0.76904395,0.30058575,1.84766307,0.00000000,2.88229349,1.31799213
-5.96398199,4.55316887,0.04793705,0.77210677,0.76843405,0.29351610,1.82964825,0.00000000,2.92073842,1.29206490
-5.95797899,4.51758688,0.04794766,0.76695569,0.77003351,0.28746483,1.81686539,0.00000000,2.96810798,1.27506603
-5.95197599,4.50148883,0.04805692,0.76687311,0.77373693,0.28246330,1.80917594,0.00000000,3.02275548,1.26640765
-5.94597299,4.50335061,0.04823505,0.77128753,0.77939457,0.27852796,1.80636839,0.00000000,3.08290097,1.26539477
-5.93996998,4.52142175,0.04845063,0.77957014,0.78681682,0.27566284,1.80816949,0.00000000,3.14667850,1.27124355
-5.93396698,4.55377648,0.04867182,0.79104942,0.79577964,0.27386219,1.81425573,0.00000000,3.21218325,1.28309941
-5.92796398,4.59836404,0.04886737,0.80502559,0.80603062,0.27311293,1.82426467,0.00000000,3.27751726,1.30005521
-5.92196098,4.65305731,0.04900775,0.82078492,0.81729574,0.27339686,1.83780556,0.00000000,3.34083294,1.32116915
-5.91595798,4.71569897,0.04906609,0.83761371,0.82928621,0.27469247,1.85446902,0.00000000,3.40037333,1.34548242
-5.90995498,4.78414428,0.04901904,0.85481203,0.84170551,0.27697617,1.87383537,0.00000000,3.45450865,1.37203660
-5.90395198,4.85630012,0.04884746,0.87170683,0.85425630,0.28022303,1.89548165,0.00000000,3.50176811,1.39989043
-5.89794897,4.93015951,0.04853690,0.88766453,0.86664693,0.28440685,1.91898688,0.00000000,3.54086690,1.42813586
-5.89194597,5.00383140,0.04807796,0.90210275,0.87859762,0.28949968,1.94393592,0.00000000,3.57072764,1.45591312
-5.88594297,5.07556525,0.04746636,0.91450095,0.88984592,0.29547081,1.96992176,0.00000000,3.59049620,1.48242446
-5.87993997,5.14377040,0.04670288,0.92440981,0.90015156,0.30228535,1.99654650,0.00000000,3.59955160,1.50694614
-5.87393697,5.20703014,0.04579309,0.93145895,0.90930049,0.30990251,2.02342137,0.00000000,3.59751013,1.52883865
-5.86793397,5.26411068,0.04474689,0.93536296,0.91710809,0.31827387,2.05016597,0.00000000,3.58422369,1.54755456
-5.86193097,5.31396549,0.04357794,0.93592525,0.92342158,0.32734156,2.07640731,0.00000000,3.55977273,1.56264407
-5.85592796,5.35573544,0.04230302,0.93303988,0.92812162,0.33703687,2.10177894,0.00000000,3.52445413,1.57375810
-5.84992496,5.38874561,0.04094124,0.92669105,0.93112313,0.34727922,2.12592062,0.00000000,3.47876474,1.58064885
-5.84392196,5.41249941,0.03951327,0.91695035,0.93237544,0.35797569,2.14847906,0.00000000,3.42338120,1.58316812
-5.83791896,5.42667121,0.03804057,0.90397187,0.93186185,0.36902138,2.16910991,0.00000000,3.35913686,1.58126352
