energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.74615831,-3.35327170,0.00594222,-0.03834127,0.33336025,-0.38408220,0.79362631,-0.39477464,0.46007734,-0.34566731,0.22267375,-0.34429694,0.14505694,-0.31898298,0.09700761,-0.11719823,1.01625843,-1.44456465
-5.99399700,2.79766802,-3.24326648,0.00611142,-0.03575034,0.34875036,-0.37773475,0.83920160,-0.40494519,0.47101488,-0.33195402,0.23944353,-0.32882673,0.14468415,-0.30878753,0.09346640,-0.11316161,1.02573422,-1.39052665
-5.98799400,2.85495350,-3.13853227,0.00634036,-0.03321750,0.36419889,-0.37167349,0.88618115,-0.41823161,0.48212641,-0.31837695,0.25726551,-0.31504178,0.14491120,-0.29870605,0.08998553,-0.10888104,1.03870907,-1.33949717
-5.98199100,2.91762073,-3.03995394,0.00662807,-0.03076066,0.37955654,-0.36599763,0.93425826,-0.43464847,0.49329712,-0.30503556,0.27608299,-0.30304551,0.14574129,-0.28887474,0.08658690,-0.10438291,1.05519462,-1.29185950
-5.97598799,2.98532818,-2.94831916,0.00697446,-0.02839590,0.39469728,-0.36079907,0.98314318,-0.45415177,0.50444542,-0.29202947,0.29584430,-0.29290670,0.14717479,-0.27942245,0.08329174,-0.09969843,1.07519158,-1.24794272
-5.96998499,3.05780405,-2.86430506,0.00738025,-0.02613734,0.40952331,-0.35615980,1.03257352,-0.47663593,0.51552731,-0.27945692,0.31650415,-0.28465973,0.14920933,-0.27046802,0.08012070,-0.09486339,1.09869203,-1.20801740
-5.96398199,3.13485985,-2.78846553,0.00784696,-0.02399718,0.42396886,-0.35214965,1.08232345,-0.50193248,0.52653950,-0.26741308,0.33802454,-0.27830535,0.15183992,-0.26211788,0.07709383,-0.08991764,1.12568101,-1.17229168
-5.95797899,3.21639939,-2.72122016,0.00837685,-0.02198563,0.43800307,-0.34882438,1.13221109,-0.52981095,0.53752095,-0.25598835,0.36037510,-0.27381200,0.15505893,-0.25446372,0.07423057,-0.08490443,1.15613756,-1.14090776
-5.95197599,3.30242206,-2.66284572,0.00897282,-0.02011099,0.45163121,-0.34622449,1.18210335,-0.55998213,0.54855289,-0.24526668,0.38353275,-0.27111761,0.15885596,-0.24758062,0.07154969,-0.07986959,1.19003460,-1.11393923
-5.94597299,3.39301994,-2.61347142,0.00963833,-0.01837975,0.46489463,-0.34437483,1.23191802,-0.59210376,0.55975700,-0.23532415,0.40748059,-0.27013188,0.16321775,-0.24152564,0.06906919,-0.07486052,1.22733770,-1.09138978
-5.93996998,3.48836819,-2.57307901,0.01037721,-0.01679674,0.47786892,-0.34328509,1.28162248,-0.62578896,0.57129199,-0.22622784,0.43220606,-0.27073928,0.16812789,-0.23633706,0.06680603,-0.06992527,1.26800248,-1.07319354
-5.93396698,3.58870882,-2.54150862,0.01119354,-0.01536526,0.49066056,-0.34295131,1.33122917,-0.66061713,0.58334840,-0.21803518,0.45769822,-0.27280243,0.17356652,-0.23203421,0.06477597,-0.06511146,1.31197073,-1.05921773
-5.92796398,3.69432821,-2.51847113,0.01209147,-0.01408728,0.50340209,-0.34335849,1.38078768,-0.69614732,0.59614200,-0.21079376,0.48394447,-0.27616632,0.17951003,-0.22861824,0.06299315,-0.06046538,1.35916521,-1.04926771
-5.92196098,3.80552909,-2.50356699,0.01307502,-0.01296366,0.51624586,-0.34448399,1.43037382,-0.73193363,0.60990577,-0.20454175,0.51092652,-0.28066298,0.18593069,-0.22607351,0.06146977,-0.05603107,1.40948332,-1.04309485
-5.91595798,3.92259807,-2.49631158,0.01414788,-0.01199436,0.52935665,-0.34630182,1.48007615,-0.76754213,0.62488092,-0.19930885,0.53861611,-0.28611683,0.19279630,-0.22436977,0.06021560,-0.05184961,1.46279007,-1.04040696
-5.90995498,4.04577019,-2.49616594,0.01531323,-0.01117863,0.54290351,-0.34878755,1.52998057,-0.80256869,0.64130705,-0.19511770,0.56697028,-0.29235047,0.20006998,-0.22346502,0.05923761,-0.04795847,1.51891053,-1.04088135
-5.90395198,4.17519220,-2.50257188,0.01657348,-0.01051520,0.55705097,-0.35192335,1.58015380,-0.83665690,0.65941203,-0.19198570,0.59592688,-0.29919082,0.20770998,-0.22330884,0.05853947,-0.04439112,1.57762238,-1.04417989
-5.89794897,4.31088612,-2.51498939,0.01793013,-0.01000251,0.57195020,-0.35570311,1.63062668,-0.86951517,0.67940167,-0.18992710,0.62540022,-0.30647543,0.21566962,-0.22384606,0.05812121,-0.04117667,1.63864901,-1.04996543
-5.89194597,4.45271526,-2.53293445,0.01938354,-0.00963875,0.58773028,-0.36013703,1.68137812,-0.90093206,0.70144978,-0.18895511,0.65527729,-0.31405875,0.22389745,-0.22502054,0.05797888,-0.03833975,1.70165370,-1.05791898
-5.88594297,4.60035422,-2.55601464,0.02093277,-0.00942201,0.60449003,-0.36525542,1.73232089,-0.93078894,0.72568876,-0.18908394,0.68541487,-0.32181792,0.23233750,-0.22677891,0.05810435,-0.03590040,1.76623543,-1.06775642
-5.87993997,4.75326466,-2.58396030,0.02257539,-0.00935030,0.62229072,-0.37111128,1.78328985,-0.95906907,0.75220112,-0.19033046,0.71563767,-0.32965808,0.24092977,-0.22907387,0.05848512,-0.03387415,1.83192677,-1.07924395
-5.87393697,4.91067828,-2.61664872,0.02430737,-0.00942152,0.64114997,-0.37778137,1.83403364,-0.98586233,0.78101216,-0.19271539,0.74573776,-0.33751667,0.24961088,-0.23186701,0.05910444,-0.03227206,1.89819431,-1.09221124
-5.86793397,5.07158800,-2.65411942,0.02612293,-0.00963339,0.66103707,-0.38536560,1.88421033,-1.01136504,0.81208407,-0.19626383,0.77547548,-0.34536652,0.25831485,-0.23513092,0.05994137,-0.03110081,1.96444180,-1.10656133
-5.86193097,5.23474829,-2.69657891,0.02801443,-0.00998330,0.68186984,-0.39398441,1.93338745,-1.03587453,0.84531162,-0.20100494,0.80458191,-0.35321757,0.26697404,-0.23885030,0.06097114,-0.03036278,2.03001627,-1.12227648
-5.85592796,5.39868484,-2.74439391,0.02997231,-0.01046816,0.70351332,-0.40377431,1.98104664,-1.05977838,0.88051961,-0.20697078,0.83276286,-0.36111694,0.27552019,-0.24302223,0.06216551,-0.03005610,2.09421709,-1.13941957
-5.84992496,5.56171371,-2.79807275,0.03198504,-0.01108417,0.72578025,-0.41488158,2.02659293,-1.08353854,0.91746210,-0.21419432,0.85970450,-0.36914740,0.28388546,-0.24765535,0.06349337,-0.03017463,2.15630781,-1.15813064
