energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
5.14757379,1.06714515,0.02832575,0.03377171,0.32887425,0.56127575,0.11858855,0.00000000,0.11753625,0.28180825
5.15357679,1.01907699,0.02858757,0.03134088,0.31395035,0.53026190,0.11452402,0.00000000,0.11273391,0.27049198
5.15957979,0.96891788,0.02865282,0.02897612,0.29878937,0.49870679,0.11004551,0.00000000,0.10771410,0.25847286
5.16558279,0.91703974,0.02851883,0.02668625,0.28343040,0.46685354,0.10519918,0.00000000,0.10249584,0.24584235
5.17158579,0.86385338,0.02818732,0.02447936,0.26792139,0.43495134,0.10003744,0.00000000,0.09710516,0.23270486
5.17758879,0.80979921,0.02766426,0.02236280,0.25231955,0.40324983,0.09461765,0.00000000,0.09157447,0.21917549
5.18359180,0.75533692,0.02695975,0.02034323,0.23669109,0.37199342,0.08900077,0.00000000,0.08594168,0.20537747
5.18959480,0.70093432,0.02608761,0.01842661,0.22111032,0.34141595,0.08324987,0.00000000,0.08024905,0.19143908
5.19559780,0.64705613,0.02506490,0.01661821,0.20565825,0.31173584,0.07742851,0.00000000,0.07454179,0.17749051
5.20160080,0.59415301,0.02391134,0.01492255,0.19042071,0.28315191,0.07159929,0.00000000,0.06886662,0.16366063
5.20760380,0.54265144,0.02264865,0.01334337,0.17548617,0.25583999,0.06582231,0.00000000,0.06327027,0.15007384
5.21360680,0.49294483,0.02129983,0.01188366,0.16094340,0.22995046,0.06015392,0.00000000,0.05779804,0.13684728
5.21960980,0.44538610,0.01988847,0.01054562,0.14687905,0.20560669,0.05464552,0.00000000,0.05249247,0.12408827
5.22561281,0.40028208,0.01843803,0.00933075,0.13337538,0.18290440,0.04934265,0.00000000,0.04739217,0.11189233
5.23161581,0.35788975,0.01697120,0.00823983,0.12050810,0.16191200,0.04428432,0.00000000,0.04253089,0.10034165
5.23761881,0.31841437,0.01550934,0.00727307,0.10834465,0.14267165,0.03950254,0.00000000,0.03793684,0.08950412
5.24362181,0.28200948,0.01407196,0.00643017,0.09694270,0.12520107,0.03502213,0.00000000,0.03363225,0.07943291
5.24962481,0.24877846,0.01267637,0.00571044,0.08634920,0.10949584,0.03086078,0.00000000,0.02963314,0.07016659
5.25562781,0.21877757,0.01133737,0.00511293,0.07659979,0.09553221,0.02702928,0.00000000,0.02594942,0.06172965
5.26163082,0.19202008,0.01006715,0.00463654,0.06771867,0.08327006,0.02353196,0.00000000,0.02258512,0.05413346
5.26763382,0.16848119,0.00887515,0.00428013,0.05971877,0.07265594,0.02036732,0.00000000,0.01953882,0.04737748
5.27363682,0.14810336,0.00776818,0.00404258,0.05260240,0.06362617,0.01752867,0.00000000,0.01680423,0.04145072
5.27963982,0.13080184,0.00675051,0.00392286,0.04636201,0.05610951,0.01500491,0.00000000,0.01437087,0.03633330
5.28564282,0.11646998,0.00582407,0.00391999,0.04098122,0.05002977,0.01278139,0.00000000,0.01222478,0.03199798
5.29164582,0.10498403,0.00498873,0.00403308,0.03643590,0.04530778,0.01084062,0.00000000,0.01034928,0.02841169
