energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Li_s_up,Li_s_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.29579129,-0.90351837,0.01868789,-0.01584262,0.15911933,-0.09674300,0.37960426,-0.26018184,0.28525439,-0.10336461,0.15832119,-0.12497837,0.01680687,-0.00932721,0.49348765,-0.41217460
-5.99399700,1.29006882,-0.90789324,0.01889198,-0.01611814,0.15727889,-0.09851198,0.38098705,-0.26056175,0.28490641,-0.10482533,0.16246594,-0.12344928,0.01619198,-0.00957687,0.49282747,-0.41243149
-5.98799400,1.28534669,-0.91205149,0.01914031,-0.01635208,0.15523055,-0.10026763,0.38282533,-0.26073914,0.28433092,-0.10620252,0.16694388,-0.12177702,0.01557528,-0.00984543,0.49316211,-0.41258105
-5.98199100,1.28222393,-0.91564606,0.01943245,-0.01654046,0.15300729,-0.10197474,0.38525672,-0.26061379,0.28360268,-0.10746474,0.17179147,-0.11990481,0.01497185,-0.01013129,0.49479760,-0.41246631
-5.97598799,1.28128336,-0.91842500,0.01976664,-0.01668062,0.15064071,-0.10360848,0.38841145,-0.26011373,0.28279613,-0.10859150,0.17704496,-0.11778984,0.01439658,-0.01043351,0.49803144,-0.41197285
-5.96998499,1.28307470,-0.92023640,0.02013988,-0.01677141,0.14816036,-0.10515416,0.39240831,-0.25919775,0.28198330,-0.10957349,0.18273933,-0.11540484,0.01386389,-0.01075171,0.50314371,-0.41103228
-5.96398199,1.28809895,-0.92102954,0.02054802,-0.01681315,0.14559331,-0.10660660,0.39735106,-0.25785667,0.28123200,-0.11041232,0.18890713,-0.11273913,0.01338732,-0.01108598,0.51038844,-0.40962388
-5.95797899,1.29679442,-0.92085253,0.02098597,-0.01680771,0.14296405,-0.10796907,0.40332539,-0.25611350,0.28060437,-0.11111998,0.19557747,-0.10979922,0.01297919,-0.01143678,0.51998564,-0.40777482
-5.95197599,1.30952484,-0.91984665,0.02144784,-0.01675840,0.14029453,-0.10925200,0.41039652,-0.25402253,0.28015579,-0.11171784,0.20277503,-0.10660893,0.01265028,-0.01180477,0.53211414,-0.40555858
-5.94597299,1.32656959,-0.91823778,0.02192730,-0.01666987,0.13760450,-0.11047138,0.41860746,-0.25166728,0.27993410,-0.11223545,0.21051907,-0.10320905,0.01240961,-0.01219067,0.54690539,-0.40309210
-5.93996998,1.34811647,-0.91632548,0.02241773,-0.01654792,0.13491199,-0.11164717,0.42797790,-0.24915759,0.27997918,-0.11270915,0.21882252,-0.09965651,0.01226419,-0.01259517,0.56443853,-0.40053154
-5.93396698,1.37425690,-0.91447040,0.02291256,-0.01639936,0.13223382,-0.11280158,0.43850376,-0.24662593,0.28032288,-0.11318048,0.22769114,-0.09602319,0.01221885,-0.01301877,0.58473676,-0.39806714
-5.92796398,1.40498373,-0.91308067,0.02340552,-0.01623173,0.12958628,-0.11395746,0.45015742,-0.24422307,0.28098910,-0.11369469,0.23712263,-0.09239432,0.01227615,-0.01346169,0.60776517,-0.39591723
-5.92196098,1.44019178,-0.91259797,0.02389082,-0.01605316,0.12698573,-0.11513693,0.46288851,-0.24211345,0.28199420,-0.11429914,0.24710598,-0.08886668,0.01243635,-0.01392380,0.63343024,-0.39432183
-5.91595798,1.47968088,-0.91348384,0.02436344,-0.01587211,0.12444917,-0.11636015,0.47662533,-0.24047026,0.28334756,-0.11504199,0.25762080,-0.08554650,0.01269742,-0.01440463,0.66158091,-0.39353605
-5.90995498,1.52316164,-0.91620677,0.02481926,-0.01569720,0.12199472,-0.11764445,0.49127688,-0.23947054,0.28505228,-0.11597097,0.26863687,-0.08254726,0.01305513,-0.01490329,0.69201141,-0.39382348
-5.90395198,1.57026359,-0.92123052,0.02525518,-0.01553708,0.11964204,-0.11900382,0.50673540,-0.23929047,0.28710601,-0.11713234,0.28011387,-0.07998739,0.01350320,-0.01541861,0.72446567,-0.39544982
-5.89794897,1.62054586,-0.92900377,0.02566929,-0.01540023,0.11741256,-0.12044867,0.52287944,-0.24010088,0.28950195,-0.11857016,0.29200144,-0.07798793,0.01403350,-0.01594911,0.75864344,-0.39867682
-5.89194597,1.67350989,-0.93995126,0.02606086,-0.01529498,0.11532968,-0.12198598,0.53957743,-0.24206311,0.29222986,-0.12032573,0.30423944,-0.07667019,0.01463630,-0.01649317,0.79420775,-0.40375664
-5.88594297,1.72861407,-0.95446630,0.02643042,-0.01522934,0.11341876,-0.12361965,0.55669167,-0.24532539,0.29527725,-0.12243715,0.31675865,-0.07615347,0.01530057,-0.01704909,0.83079370,-0.41092664
-5.87993997,1.78528985,-0.97290446,0.02677974,-0.01521103,0.11170713,-0.12535114,0.57408264,-0.25001959,0.29863053,-0.12493914,0.32948182,-0.07655271,0.01601429,-0.01761524,0.86801819,-0.42040454
-5.87393697,1.84295885,-0.99557817,0.02711180,-0.01524742,0.11022395,-0.12718013,0.59161353,-0.25625846,0.30227632,-0.12786282,0.34232508,-0.07797637,0.01676477,-0.01819008,0.90549030,-0.43238392
-5.86793397,1.90105038,-1.02275181,0.02743076,-0.01534556,0.10900009,-0.12910536,0.60915494,-0.26413329,0.30620273,-0.13123556,0.35519970,-0.08052419,0.01753903,-0.01877231,0.94282194,-0.44703002
-5.86193097,1.95901875,-1.05463719,0.02774185,-0.01551209,0.10806791,-0.13112530,0.62658937,-0.27371204,0.31040059,-0.13508076,0.36801415,-0.08428511,0.01832407,-0.01936089,0.97963836,-0.46447568
-5.85592796,2.01635959,-1.09138883,0.02805128,-0.01575326,0.10746112,-0.13323873,0.64381551,-0.28503774,0.31486465,-0.13941753,0.38067638,-0.08933522,0.01910722,-0.01995502,1.01558794,-0.48481754
-5.84992496,2.07262449,-1.13309926,0.02836615,-0.01607485,0.10721448,-0.13544517,0.66075210,-0.29812741,0.31959464,-0.14426023,0.39309619,-0.09573580,0.01987638,-0.02055413,1.05035114,-0.50811237
-5.84392196,2.12743327,-1.17979402,0.02869424,-0.01648205,0.10736358,-0.13774498,0.67734092,-0.31297120,0.32459606,-0.14961789,0.40518756,-0.10353146,0.02062029,-0.02115778,1.08364778,-0.53437367
-5.83791896,2.18048304,-1.23142668,0.02904388,-0.01697936,0.10794452,-0.14013933,0.69354900,-0.32953203,0.32988071,-0.15549339,0.41687088,-0.11274847,0.02132866,-0.02176557,1.11524271,-0.56356866
-5.83191596,2.23155373,-1.28787401,0.02942373,-0.01757040,0.10899348,-0.14262974,0.70936966,-0.34774551,0.33546680,-0.16188266,0.42807487,-0.12339322,0.02199233,-0.02237699,1.14494932,-0.59561582
