energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.42418898,0.00822430,0.07793685,0.90745306,0.00000000,0.43572456,0.20522744,0.27713405,0.26326418
-5.99399700,1.43903791,0.00915490,0.07840624,0.91749851,0.00000000,0.44737772,0.20846537,0.28077502,0.26962480
-5.98799400,1.45958640,0.01012601,0.07907855,0.93137240,0.00000000,0.46097810,0.21265258,0.28606755,0.27664436
-5.98199100,1.48562038,0.01112964,0.07994158,0.94893256,0.00000000,0.47641550,0.21778243,0.29301064,0.28423254
-5.97598799,1.51674131,0.01215664,0.08097387,0.96992019,0.00000000,0.49352602,0.22382031,0.30157135,0.29227058
-5.96998499,1.55238739,0.01319691,0.08214603,0.99397355,0.00000000,0.51209903,0.23070625,0.31168801,0.30061622
-5.96398199,1.59186164,0.01423960,0.08342257,1.02064600,0.00000000,0.53188617,0.23835871,0.32327440,0.30910994
-5.95797899,1.63436575,0.01527344,0.08476395,1.04942742,0.00000000,0.55261186,0.24667925,0.33622460,0.31758221
-5.95197599,1.67903793,0.01628706,0.08612888,1.07976827,0.00000000,0.57398492,0.25555802,0.35041851,0.32586135
-5.94597299,1.72499318,0.01726932,0.08747670,1.11110492,0.00000000,0.59571075,0.26487961,0.36572753,0.33378166
-5.93996998,1.77136396,0.01820970,0.08876974,1.14288527,0.00000000,0.61750351,0.27452910,0.38202037,0.34119147
-5.93396698,1.81733946,0.01909869,0.08997547,1.17459341,0.00000000,0.63909769,0.28439798,0.39916858,0.34796063
-5.92796398,1.86220158,0.01992809,0.09106848,1.20577211,0.00000000,0.66025862,0.29438956,0.41705164,0.35398710
-5.92196098,1.90535598,0.02069137,0.09203209,1.23604224,0.00000000,0.68079136,0.30442368,0.43556148,0.35920231
-5.91595798,1.94635672,0.02138396,0.09285942,1.26511803,0.00000000,0.70054754,0.31444041,0.45460604,0.36357503
-5.90995498,1.98492352,0.02200340,0.09355416,1.29281771,0.00000000,0.71942994,0.32440251,0.47411198,0.36711351
-5.90395198,2.02095072,0.02254957,0.09413064,1.31906886,0.00000000,0.73739444,0.33429663,0.49402626,0.36986580
-5.89794897,2.05450771,0.02302468,0.09461349,1.34390833,0.00000000,0.75444943,0.34413295,0.51431662,0.37191823
-5.89194597,2.08583084,0.02343334,0.09503677,1.36747686,0.00000000,0.77065258,0.35394350,0.53497095,0.37339211
-5.88594297,2.11530735,0.02378240,0.09544262,1.39000848,0.00000000,0.78610521,0.36377902,0.55599555,0.37443881
-5.87993997,2.14345197,0.02408084,0.09587957,1.41181541,0.00000000,0.80094449,0.37370463,0.57741239,0.37523344
-5.87393697,2.17087764,0.02433950,0.09640048,1.43326914,0.00000000,0.81533392,0.38379446,0.59925543,0.37596741
-5.86793397,2.19826143,0.02457080,0.09706034,1.45477851,0.00000000,0.82945247,0.39412548,0.62156623,0.37684027
-5.86193097,2.22630761,0.02478839,0.09791393,1.47676598,0.00000000,0.84348296,0.40477096,0.64438895,0.37805118
-5.85592796,2.25570937,0.02500681,0.09901348,1.49964306,0.00000000,0.85760021,0.41579371,0.66776499,0.37979030
-5.84992496,2.28711103,0.02524106,0.10040645,1.52378610,0.00000000,0.87195956,0.42723959,0.69172749,0.38223066
-5.84392196,2.32107249,0.02550619,0.10213348,1.54951356,0.00000000,0.88668623,0.43913168,0.71629586,0.38552070
-5.83791896,2.35803742,0.02581698,0.10422672,1.57706581,0.00000000,0.90186614,0.45146519,0.74147072,0.38977789
-5.83191596,2.39830662,0.02618751,0.10670835,1.60658822,0.00000000,0.91753853,0.46420372,0.76722930,0.39508356
-5.82591296,2.44201759,0.02663084,0.10958962,1.63811852,0.00000000,0.93369084,0.47727683,0.79352174,0.40147934
-5.81990995,2.48913126,0.02715871,0.11287031,1.67157870,0.00000000,0.95025594,0.49057926,0.82026824,0.40896508
