energy_ev,total_up,Au_p_up,Au_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,1.42092912,0.15608715,1.35024362,0.03057665,0.00166321,0.00387360,0.03036456
-5.99399700,1.44792453,0.15380126,1.37532147,0.02957788,0.00160368,0.00397112,0.03050414
-5.98799400,1.48998499,0.15403338,1.41386076,0.02907749,0.00157317,0.00419087,0.03129012
-5.98199100,1.54712534,0.15677641,1.46586381,0.02907601,0.00157099,0.00452934,0.03271877
-5.97598799,1.61921281,0.16199943,1.53119851,0.02956857,0.00159645,0.00498353,0.03478321
-5.96998499,1.70594407,0.16964797,1.60957662,0.03054512,0.00164885,0.00555077,0.03747290
-5.96398199,1.80682433,0.17964410,1.70053422,0.03199068,0.00172738,0.00622852,0.04077305
-5.95797899,1.92114962,0.19188636,1.80341542,0.03388555,0.00183114,0.00701419,0.04466405
-5.95197599,2.04799312,0.20624965,1.91736014,0.03620556,0.00195902,0.00790492,0.04912071
-5.94597299,2.18619681,0.22258517,2.04129694,0.03892232,0.00210973,0.00889737,0.05411163
-5.93996998,2.33436917,0.24072038,2.17394158,0.04200345,0.00228172,0.00998751,0.05959871
-5.93396698,2.49088976,0.26045929,2.31380199,0.04541287,0.00247319,0.01117044,0.06553673
-5.92796398,2.65392138,0.28158306,2.45919021,0.04911119,0.00268205,0.01244025,0.07187324
-5.92196098,2.82143020,0.30385118,2.60824146,0.05305603,0.00290594,0.01378990,0.07854872
-5.91595798,2.99121392,0.32700322,2.75894047,0.05720254,0.00314223,0.01521119,0.08549708
-5.90995498,3.16093791,0.35076131,2.90915487,0.06150398,0.00338809,0.01669468,0.09264657
-5.90395198,3.32817880,0.37483346,3.05667506,0.06591226,0.00364046,0.01822974,0.09992096
-5.89794897,3.49047455,0.39891764,3.19925976,0.07037875,0.00389619,0.01980463,0.10724126
-5.89194597,3.64537976,0.42270661,3.33468613,0.07485494,0.00415206,0.02140661,0.11452756
-5.88594297,3.79052473,0.44589353,3.46080284,0.07929331,0.00440486,0.02302205,0.12170134
-5.87993997,3.92367602,0.46817796,3.57558458,0.08364814,0.00465150,0.02463668,0.12868780
-5.87393697,4.04279656,0.48927237,3.67718584,0.08787627,0.00488905,0.02623573,0.13541834
-5.86793397,4.14610274,0.50890867,3.76399199,0.09193789,0.00511488,0.02780421,0.14183293
-5.86193097,4.23211612,0.52684457,3.83466544,0.09579718,0.00532670,0.02932713,0.14788235
-5.85592796,4.29970726,0.54286956,3.88818496,0.09942293,0.00552262,0.03078977,0.15353002
-5.84992496,4.34812957,0.55681015,3.92387595,0.10278889,0.00570122,0.03217790,0.15875343
-5.84392196,4.37704125,0.56853401,3.94143042,0.10587408,0.00586158,0.03347804,0.16354496
-5.83791896,4.38651389,0.57795301,3.94091511,0.10866284,0.00600329,0.03467770,0.16791202
-5.83191596,4.37702702,0.58502473,3.92276732,0.11114475,0.00612643,0.03576557,0.17187649
-5.82591296,4.34944815,0.58975242,3.88777798,0.11331430,0.00623154,0.03673168,0.17547342
-5.81990995,4.30499902,0.59218339,3.83706264,0.11517047,0.00631958,0.03756758,0.17874895
-5.81390695,4.24520911,0.59240576,3.77202113,0.11671606,0.00639185,0.03826647,0.18175761
-5.80790395,4.17185819,0.59054382,3.69428765,0.11795700,0.00644987,0.03882321,0.18455908
-5.80190095,4.08691036,0.58675209,3.60567312,0.11890149,0.00649532,0.03923442,0.18721454
-5.79589795,3.99244237,0.58120836,3.50810236,0.11955915,0.00652992,0.03949845,0.18978274
-5.78989495,3.89056938,0.57410609,3.40354879,0.11994013,0.00655530,0.03961533,0.19231614
-5.78389195,3.78337144,0.56564649,3.29396930,0.12005431,0.00657294,0.03958670,0.19485722
-5.77788894,3.67282383,0.55603067,3.18124224,0.11991057,0.00658402,0.03941570,0.19743513
-5.77188594,3.56073457,0.54545223,3.06711106,0.11951622,0.00658941,0.03910682,0.20006302
-5.76588294,3.44869133,0.53409066,2.95313590,0.11887660,0.00658956,0.03866572,0.20273613
-5.75987994,3.33802033,0.52210583,2.84065495,0.11799484,0.00658450,0.03809911,0.20543073
-5.75387694,3.22975840,0.50963390,2.73075698,0.11687188,0.00657383,0.03741450,0.20810415
-5.74787394,3.12463913,0.49678460,2.62426580,0.11550670,0.00655674,0.03662008,0.21069571
-5.74187094,3.02309333,0.48364030,2.52173675,0.11389671,0.00653206,0.03572453,0.21312878
-5.73586793,2.92526297,0.47025648,2.42346477,0.11203839,0.00649831,0.03473684,0.21531359
-5.72986493,2.83102741,0.45666380,2.32950323,0.10992803,0.00645382,0.03366625,0.21715100
-5.72386193,2.74004020,0.44287140,2.23969181,0.10756258,0.00639681,0.03252207,0.21853671
-5.71785893,2.65177398,0.42887135,2.15369187,0.10494055,0.00632551,0.03131366,0.21936596
-5.71185593,2.56557099,0.41464376,2.07102693,0.10206298,0.00623826,0.03005037,0.21953836
-5.70585293,2.48069646,0.40016246,1.99112637,0.09893421,0.00613364,0.02874151,0.21896256
-5.69984992,2.39639217,0.38540066,1.91336978,0.09556273,0.00601055,0.02739634,0.21756074
-5.69384692,2.31192749,0.37033653,1.83713004,0.09196173,0.00586831,0.02602411,0.21527240
-5.68784392,2.22664583,0.35495820,1.76181320,0.08814956,0.00570673,0.02463407,0.21205757
-5.68184092,2.14000432,0.33926810,1.68689337,0.08414995,0.00552612,0.02323551,0.20789903
-5.67583792,2.05160556,0.32328635,1.61194164,0.07999204,0.00532737,0.02183781,0.20280369
-5.66983492,1.96122036,0.30705312,1.53664794,0.07571020,0.00511190,0.02045045,0.19680294
-5.66383192,1.86880119,0.29062993,1.46083556,0.07134368,0.00488169,0.01908304,0.18995198
-5.65782891,1.77448634,0.27409994,1.38446828,0.06693605,0.00463918,0.01774535,0.18232833
-5.65182591,1.67859564,0.25756722,1.30765044,0.06253458,0.00438728,0.01644732,0.17402949
-5.64582291,1.58161839,0.24115520,1.23062070,0.05818954,0.00412923,0.01519908,0.16516996
-5.63981991,1.48419510,0.22500453,1.15374035,0.05395342,0.00386860,0.01401091,0.15587782
-5.63381691,1.38709430,0.20927030,1.07747731,0.04988020,0.00360916,0.01289327,0.14629096
-5.62781391,1.29118607,0.19411913,1.00238708,0.04602467,0.00335478,0.01185682,0.13655323
-5.62181091,1.19741389,0.17972604,0.92909173,0.04244183,0.00310944,0.01091233,0.12681066
-5.61580790,1.10676606,0.16627135,0.85825820,0.03918632,0.00287707,0.01007077,0.11720789
-5.60980490,1.02024813,0.15393778,0.79057684,0.03631200,0.00266153,0.00934325,0.10788490
-5.60380190,0.93885716,0.14290761,0.72674108,0.03387163,0.00246656,0.00874099,0.09897425
-5.59779890,0.86355861,0.13336025,0.66742882,0.03191654,0.00229574,0.00827532,0.09059877
-5.59179590,0.79526618,0.12546980,0.61328597,0.03049636,0.00215241,0.00795761,0.08286969
-5.58579290,0.73482466,0.11940288,0.56491235,0.02965870,0.00203971,0.00779919,0.07588539
-5.57978989,0.68299571,0.11531638,0.52284973,0.02944882,0.00196049,0.00781120,0.06973049
-5.57378689,0.64044618,0.11335521,0.48757218,0.02990912,0.00191732,0.00800445,0.06447539
-5.56778389,0.60773832,0.11364975,0.45947798,0.03107848,0.00191246,0.00838916,0.06017601
-5.56178089,0.58532154,0.11631308,0.43888305,0.03299141,0.00194780,0.00897469,0.05687386
-5.55577789,0.57352491,0.12143775,0.42601526,0.03567698,0.00202485,0.00976915,0.05459616
-5.54977489,0.57255009,0.12909220,0.42100945,0.03915758,0.00214468,0.01077900,0.05335601
-5.54377189,0.58246422,0.13931674,0.42390266,0.04344740,0.00230787,0.01200858,0.05315255
-5.53776888,0.60319272,0.15211925,0.43462959,0.04855081,0.00251444,0.01345962,0.05397110
-5.53176588,0.63451212,0.16747073,0.45301828,0.05446070,0.00276380,0.01513069,0.05578322
-5.52576288,0.67604307,0.18530093,0.47878604,0.06115671,0.00305466,0.01701669,0.05854670
-5.51975988,0.72724431,0.20549426,0.51153613,0.06860368,0.00338500,0.01910837,0.06220554
-5.51375688,0.78740820,0.22788641,0.55075545,0.07675028,0.00375200,0.02139195,0.06669002
-5.50775388,0.85565871,0.25226191,0.59581405,0.08552800,0.00415198,0.02384879,0.07191683
-5.50175088,0.93095294,0.27835299,0.64596681,0.09485059,0.00458043,0.02645522,0.07778943
-5.49574787,1.01208686,0.30584013,0.70035809,0.10461417,0.00503197,0.02918259,0.08419870
-5.48974487,1.09770633,0.33435438,0.75802976,0.11469792,0.00550042,0.03199740,0.09102392
-5.48374187,1.18632383,0.36348190,0.81793319,0.12496558,0.00597887,0.03486178,0.09813419
-5.47773887,1.27634140,0.39277048,0.87894522,0.13526772,0.00645975,0.03773407,0.10539033
-5.47173587,1.36607967,0.42173835,0.93988828,0.14544476,0.00693500,0.04056967,0.11264716
-5.46573287,1.45381262,0.44988492,0.99955434,0.15533068,0.00739624,0.04332208,0.11975636
-5.45972986,1.53780735,0.47670319,1.05673221,0.16475742,0.00783498,0.04594411,0.12656961
-5.45372686,1.61636769,0.50169352,1.11023739,0.17355962,0.00824279,0.04838921,0.13294208
-5.44772386,1.68788008,0.52437827,1.15894338,0.18157977,0.00861161,0.05061289,0.13873612
-5.44172086,1.75086000,0.54431656,1.20181345,0.18867334,0.00893392,0.05257413,0.14382497
-5.43571786,1.80399697,0.56111877,1.23793134,0.19471381,0.00920302,0.05423683,0.14809636
-5.42971486,1.84619616,0.57445988,1.26652959,0.19959734,0.00941323,0.05557100,0.15145591
-5.42371186,1.87661457,0.58409123,1.28701429,0.20324669,0.00956007,0.05655395,0.15382999
-5.41770885,1.89468994,0.58984993,1.29898481,0.20561452,0.00964042,0.05717113,0.15516809
-5.41170585,1.90016110,0.59166564,1.30224767,0.20668551,0.00965265,0.05741676,0.15544450
-5.40570285,1.89307834,0.58956415,1.29682375,0.20647747,0.00959666,0.05729409,0.15465916
