energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,8.04503947,0.05972619,0.39767994,2.07404071,2.90586178,0.11275959,3.80361665,2.10468909,0.70459325
-5.99399700,8.02588834,0.05803772,0.39428246,2.06689273,2.93053004,0.11060536,3.78680002,2.08711676,0.69230194
-5.98799400,8.01240972,0.05625134,0.39133878,2.06228766,2.96061824,0.10849232,3.77109614,2.06946817,0.67935850
-5.98199100,8.00488483,0.05439640,0.38871629,2.05998642,2.99603616,0.10643101,3.75695295,2.05199100,0.66591303
-5.97598799,8.00339260,0.05250101,0.38628677,2.05971662,3.03658334,0.10443082,3.74471189,2.03484470,0.65209753
-5.96998499,8.00780611,0.05059142,0.38393229,2.06118241,3.08195020,0.10249976,3.73459489,2.01809453,0.63802274
-5.96398199,8.01779763,0.04869151,0.38155041,2.06407554,3.13172230,0.10064426,3.72669727,2.00171079,0.62377622
-5.95797899,8.03285208,0.04682251,0.37905849,2.06808737,3.18538748,0.09886905,3.72098670,1.98557312,0.60942185
-5.95197599,8.05228779,0.04500278,0.37639698,2.07292107,3.24234584,0.09717711,3.71730799,1.96947955,0.59500059
-5.94597299,8.07528376,0.04324776,0.37353147,2.07830346,3.30192221,0.09556968,3.71539322,1.95315969,0.58053255
-5.93996998,8.10091196,0.04157012,0.37045366,2.08399595,3.36338097,0.09404640,3.71487653,1.93629103,0.56602011
-5.93396698,8.12817315,0.03997989,0.36718104,2.08980396,3.42594277,0.09260536,3.71531262,1.91851776,0.55145195
-5.92796398,8.15603494,0.03848477,0.36375560,2.09558429,3.48880290,0.09124336,3.71619790,1.89947066,0.53680771
-5.92196098,8.18347040,0.03709050,0.36024160,2.10125013,3.55115084,0.08995605,3.71699339,1.87878745,0.52206304
-5.91595798,8.20949601,0.03580113,0.35672254,2.10677347,3.61219061,0.08873823,3.71714816,1.85613235,0.50719474
-5.90995498,8.23320768,0.03461946,0.35329764,2.11218468,3.67116147,0.08758402,3.71612245,1.83121414,0.49218578
-5.90395198,8.25381377,0.03354726,0.35007798,2.11756945,3.72735847,0.08648717,3.71340955,1.80380204,0.47702993
-5.89794897,8.27066435,0.03258560,0.34718254,2.12306317,3.78015225,0.08544129,3.70855585,1.77373890,0.46173583
-5.89194597,8.28327596,0.03173497,0.34473430,2.12884308,3.82900767,0.08444006,3.70117835,1.74095141,0.44633041
-5.88594297,8.29135147,0.03099545,0.34285662,2.13511864,3.87350058,0.08347748,3.69097937,1.70545719,0.43086150
-5.87993997,8.29479465,0.03036667,0.34167003,2.14212054,3.91333217,0.08254807,3.67775823,1.66736889,0.41539968
-5.87393697,8.29371938,0.02984783,0.34128944,2.15008900,3.94834032,0.08164703,3.66141979,1.62689547,0.40003930
-5.86793397,8.28845331,0.02943751,0.34182193,2.15926178,3.97850755,0.08077040,3.64197991,1.58434093,0.38489878
-5.86193097,8.27953623,0.02913358,0.34336505,2.16986260,4.00396503,0.07991517,3.61956800,1.54010095,0.37012027
-5.85592796,8.26771323,0.02893300,0.34600561,2.18209035,4.02499230,0.07907934,3.59442686,1.49465782,0.35586874
-5.84992496,8.25392293,0.02883161,0.34981891,2.19610978,4.04201272,0.07826195,3.56691010,1.44857392,0.34233066
-5.84392196,8.23928121,0.02882401,0.35486833,2.21204380,4.05558456,0.07746303,3.53747740,1.40248428,0.32971220
-5.83791896,8.22506097,0.02890339,0.36120517,2.22996800,4.06638784,0.07668357,3.50668792,1.35708834,0.31823730
-5.83191596,8.21266842,0.02906151,0.36886871,2.24990744,4.07520755,0.07592537,3.47519206,1.31314106,0.30814541
-5.82591296,8.20361667,0.02928869,0.37788634,2.27183586,4.08291362,0.07519088,3.44372192,1.27144359,0.29968896
-5.81990995,8.19949719,0.02957392,0.38827383,2.29567753,4.09043847,0.07448298,3.41308046,1.23283329,0.29313069
-5.81390695,8.20195004,0.02990501,0.40003560,2.32131143,4.09875302,0.07380483,3.38412962,1.19817316,0.28874065
-5.80790395,8.21263342,0.03026892,0.41316503,2.34857773,4.10884197,0.07315954,3.35777727,1.16834047,0.28679274
-5.80190095,8.23319321,0.03065202,0.42764494,2.37728628,4.12167931,0.07255003,3.33496317,1.14421438,0.28756098
