energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.67620569,0.07371661,0.05019667,1.07625512,0.34466753,0.01048972,1.88412564,1.21371588,0.31506435
-5.99399700,2.63173245,0.07577385,0.04845433,1.06235198,0.33870713,0.01056936,1.85203140,1.21167278,0.30448096
-5.98799400,2.58274211,0.07749220,0.04668155,1.04563031,0.33271843,0.01062080,1.81664888,1.20586886,0.29372626
-5.98199100,2.52845264,0.07883366,0.04486728,1.02579392,0.32656569,0.01063869,1.77745197,1.19595081,0.28273479
-5.97598799,2.46826805,0.07976746,0.04300357,1.00264199,0.32012814,0.01061858,1.73404646,1.18166970,0.27145679
-5.96998499,2.40180324,0.08027098,0.04108602,0.97607723,0.31330396,0.01055700,1.68618679,1.16288897,0.25986145
-5.96398199,2.32889838,0.08033038,0.03911409,0.94610916,0.30601333,0.01045168,1.63378555,1.13958771,0.24793899
-5.95797899,2.24962285,0.07994085,0.03709120,0.91285283,0.29820026,0.01030156,1.57691552,1.11185915,0.23570155
-5.95197599,2.16426884,0.07910665,0.03502463,0.87652296,0.28983336,0.01010689,1.51580453,1.07990475,0.22318284
-5.94597299,2.07333587,0.07784076,0.03292521,0.83742415,0.28090559,0.00986918,1.45082386,1.04402439,0.21043671
-5.93996998,1.97750732,0.07616429,0.03080694,0.79593778,0.27143315,0.00959118,1.38247120,1.00460325,0.19753484
-5.93396698,1.87762086,0.07410567,0.02868643,0.75250645,0.26145359,0.00927678,1.31134926,0.96209626,0.18456361
-5.92796398,1.77463461,0.07169955,0.02658230,0.70761674,0.25102340,0.00893091,1.23814161,0.91701103,0.17162051
-5.92196098,1.66959108,0.06898568,0.02451457,0.66178143,0.24021525,0.00855937,1.16358698,0.86989009,0.15881032
-5.91595798,1.56358075,0.06600762,0.02250401,0.61552178,0.22911502,0.00816870,1.08845341,0.82129338,0.14624117
-5.90995498,1.45770716,0.06281145,0.02057156,0.56935088,0.21781882,0.00776601,1.01351363,0.77178163,0.13402083
-5.90395198,1.35305484,0.05944444,0.01873783,0.52375877,0.20643009,0.00735882,0.93952254,0.72190140,0.12225337
-5.89794897,1.25066140,0.05595388,0.01702268,0.47919964,0.19505696,0.00695489,0.86719773,0.67217218,0.11103631
-5.89194597,1.15149453,0.05238596,0.01544488,0.43608172,0.18380978,0.00656205,0.79720354,0.62307593,0.10045830
-5.88594297,1.05643425,0.04878475,0.01402189,0.39475992,0.17279905,0.00618811,0.73013892,0.57504907,0.09059755
-5.87993997,0.96626055,0.04519141,0.01276976,0.35553133,0.16213354,0.00584070,0.66652924,0.52847716,0.08152083
-5.87393697,0.88164620,0.04164351,0.01170304,0.31863334,0.15191879,0.00552713,0.60682169,0.48369196,0.07328302
-5.86793397,0.80315408,0.03817456,0.01083488,0.28424430,0.14225572,0.00525433,0.55138404,0.44097059,0.06592731
-5.86193097,0.73123838,0.03481370,0.01017701,0.25248632,0.13323946,0.00502872,0.50050614,0.40053671,0.05948574
-5.85592796,0.66624887,0.03158551,0.00973992,0.22342969,0.12495826,0.00485615,0.45440370,0.36256311,0.05398002
-5.84992496,0.60843731,0.02851001,0.00953284,0.19709878,0.11749248,0.00474175,0.41322349,0.32717542,0.04942263
-5.84392196,0.55796508,0.02560277,0.00956388,0.17347866,0.11091351,0.00468991,0.37704962,0.29445665,0.04581793
-5.83791896,0.51491137,0.02287510,0.00983997,0.15252221,0.10528275,0.00470415,0.34591014,0.26445210,0.04316322
-5.83191596,0.47928113,0.02033434,0.01036677,0.13415740,0.10065047,0.00478700,0.31978352,0.23717433,0.04144971
-5.82591296,0.45101233,0.01798422,0.01114857,0.11829412,0.09705469,0.00493997,0.29860469,0.21260814,0.04066328
-5.81990995,0.42998214,0.01582524,0.01218806,0.10483068,0.09452003,0.00516339,0.28227032,0.19071508,0.04078492
-5.81390695,0.41601189,0.01385506,0.01348596,0.09365940,0.09305660,0.00545636,0.27064316,0.17143762,0.04179105
-5.80790395,0.40887081,0.01206897,0.01504076,0.08467146,0.09265901,0.00581666,0.26355556,0.15470268,0.04365346
-5.80190095,0.40827859,0.01046024,0.01684825,0.07776067,0.09330554,0.00624067,0.26081199,0.14042470,0.04633904
-5.79589795,0.41390711,0.00902056,0.01890111,0.07282629,0.09495754,0.00672334,0.26219091,0.12850802,0.04980941
-5.78989495,0.42538161,0.00774040,0.02118858,0.06977485,0.09755921,0.00725822,0.26744608,0.11884881,0.05402036
-5.78389195,0.44228171,0.00660938,0.02369603,0.06852099,0.10103771,0.00783740,0.27630751,0.11133647,0.05892130
-5.77788894,0.46414271,0.00561655,0.02640477,0.06898744,0.10530376,0.00845168,0.28848245,0.10585456,0.06445475
-5.77188594,0.49045740,0.00475070,0.02929185,0.07110423,0.11025272,0.00909064,0.30365637,0.10228146,0.07055596
-5.76588294,0.52067893,0.00400063,0.03233013,0.07480719,0.11576616,0.00974281,0.32149447,0.10049070,0.07715276
-5.75987994,0.55422480,0.00335531,0.03548837,0.08003592,0.12171396,0.01039589,0.34164356,0.10035112,0.08416567
-5.75387694,0.59048219,0.00280411,0.03873167,0.08673137,0.12795688,0.01103707,0.36373471,0.10172693,0.09150834
-5.74787394,0.62881481,0.00233694,0.04202195,0.09483318,0.13434949,0.01165325,0.38738645,0.10447775,0.09908831
-5.74187094,0.66857091,0.00194435,0.04531871,0.10427675,0.14074350,0.01223144,0.41220871,0.10845867,0.10680823
-5.73586793,0.70909270,0.00161768,0.04857995,0.11499053,0.14699126,0.01275909,0.43780738,0.11352054,0.11456731
-5.72986493,0.74972653,0.00134906,0.05176314,0.12689332,0.15294936,0.01322445,0.46378931,0.11951038,0.12226314
-5.72386193,0.78983386,0.00113153,0.05482646,0.13989195,0.15848225,0.01361693,0.48976773,0.12627207,0.12979379
-5.71785893,0.82880240,0.00095904,0.05772995,0.15387935,0.16346559,0.01392741,0.51536777,0.13364743,0.13706006
-5.71185593,0.86605713,0.00082647,0.06043674,0.16873323,0.16778938,0.01414854,0.54023205,0.14147752,0.14396782
-5.70585293,0.90107075,0.00072964,0.06291425,0.18431536,0.17136063,0.01427497,0.56402601,0.14960444,0.15043036
-5.69984992,0.93337328,0.00066532,0.06513527,0.20047163,0.17410550,0.01430349,0.58644290,0.15787339,0.15637069
-5.69384692,0.96256032,0.00063116,0.06707891,0.21703292,0.17597080,0.01423316,0.60720823,0.16613508,0.16172356
-5.68784392,0.98829984,0.00062573,0.06873136,0.23381672,0.17692489,0.01406531,0.62608363,0.17424843,0.16643729
-5.68184092,1.01033716,0.00064844,0.07008641,0.25062965,0.17695785,0.01380346,0.64286995,0.18208340,0.17047517
-5.67583792,1.02849821,0.00069949,0.07114578,0.26727069,0.17608096,0.01345323,0.65740961,0.18952392,0.17381652
-5.66983492,1.04269081,0.00077986,0.07191912,0.28353509,0.17432564,0.01302207,0.66958818,0.19647079,0.17645724
-5.66383192,1.05290426,0.00089118,0.07242377,0.29921889,0.17174178,0.01251905,0.67933525,0.20284432,0.17840991
-5.65782891,1.05920711,0.00103570,0.07268431,0.31412375,0.16839560,0.01195452,0.68662454,0.20858666,0.17970347
