energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.40859939,0.04668637,0.00000000,0.01728604,0.92896806,1.16748657,0.24641062
-5.99399700,1.39227316,0.04728186,0.00000000,0.01716348,0.91599501,1.13492641,0.24629952
-5.98799400,1.37726072,0.04794079,0.00000000,0.01709222,0.90378659,1.10104117,0.24702103
-5.98199100,1.36404811,0.04864917,0.00000000,0.01706934,0.89270961,1.06662562,0.24860877
-5.97598799,1.35309348,0.04939107,0.00000000,0.01709111,0.88311459,1.03246839,0.25108700
-5.96998499,1.34480599,0.05014887,0.00000000,0.01715304,0.87532081,0.99932668,0.25446816
-5.96398199,1.33952669,0.05090361,0.00000000,0.01725004,0.86960248,0.96790218,0.25875086
-5.95797899,1.33751229,0.05163550,0.00000000,0.01737663,0.86617683,0.93881908,0.26391833
-5.95197599,1.33892262,0.05232450,0.00000000,0.01752712,0.86519460,0.91260529,0.26993762
-5.94597299,1.34381242,0.05295105,0.00000000,0.01769588,0.86673342,0.88967730,0.27675942
-5.93996998,1.35212778,0.05349682,0.00000000,0.01787757,0.87079432,0.87032957,0.28431861
-5.93396698,1.36370742,0.05394548,0.00000000,0.01806743,0.87730159,0.85472860,0.29253565
-5.92796398,1.37828850,0.05428347,0.00000000,0.01826151,0.88610577,0.84291190,0.30131845
-5.92196098,1.39551678,0.05450067,0.00000000,0.01845686,0.89698974,0.83479180,0.31056495
-5.91595798,1.41496040,0.05459097,0.00000000,0.01865176,0.90967736,0.83016371,0.32016601
-5.90995498,1.43612640,0.05455268,0.00000000,0.01884576,0.92384434,0.82871849,0.33000862
-5.90395198,1.45847934,0.05438873,0.00000000,0.01903980,0.93913051,0.83005811,0.33997917
-5.89794897,1.48146073,0.05410668,0.00000000,0.01923609,0.95515312,0.83371388,0.34996657
-5.89194597,1.50450842,0.05371848,0.00000000,0.01943809,0.97152018,0.83916641,0.35986512
-5.88594297,1.52707491,0.05324003,0.00000000,0.01965021,0.98784337,0.84586630,0.36957688
-5.87993997,1.54864372,0.05269050,0.00000000,0.01987763,1.00374983,0.85325464,0.37901348
-5.87393697,1.56874302,0.05209149,0.00000000,0.02012591,1.01889225,0.86078248,0.38809716
-5.86793397,1.58695603,0.05146602,0.00000000,0.02040060,1.03295689,0.86792854,0.39676111
-5.86193097,1.60292774,0.05083745,0.00000000,0.02070687,1.04566928,0.87421434,0.40494904
-5.85592796,1.61636796,0.05022835,0.00000000,0.02104903,1.05679732,0.87921645,0.41261403
-5.84992496,1.62705076,0.04965939,0.00000000,0.02143014,1.06615205,0.88257544,0.41971676
-5.84392196,1.63481063,0.04914827,0.00000000,0.02185163,1.07358613,0.88400145,0.42622332
-5.83791896,1.63953605,0.04870886,0.00000000,0.02231300,1.07899037,0.88327640,0.43210279
-5.83191596,1.64116107,0.04835045,0.00000000,0.02281157,1.08228893,0.88025323,0.43732470
-5.82591296,1.63965585,0.04807729,0.00000000,0.02334234,1.08343354,0.87485233,0.44185678
-5.81990995,1.63501702,0.04788833,0.00000000,0.02389801,1.08239752,0.86705597,0.44566311
-5.81390695,1.62725879,0.04777723,0.00000000,0.02446908,1.07917004,0.85690108,0.44870292
-5.80790395,1.61640559,0.04773276,0.00000000,0.02504406,1.07375136,0.84447125,0.45093020
-5.80190095,1.60248697,0.04773928,0.00000000,0.02560984,1.06614934,0.82988833,0.45229426
-5.79589795,1.58553524,0.04777762,0.00000000,0.02615214,1.05637769,0.81330454,0.45274127
-5.78989495,1.56558606,0.04782607,0.00000000,0.02665608,1.04445612,0.79489529,0.45221675
-5.78389195,1.54268205,0.04786155,0.00000000,0.02710677,1.03041241,0.77485330,0.45066895
-5.77788894,1.51687919,0.04786090,0.00000000,0.02748995,1.01428630,0.75338414,0.44805287
-5.77188594,1.48825536,0.04780211,0.00000000,0.02779266,0.99613475,0.73070340,0.44433479
-5.76588294,1.45692048,0.04766567,0.00000000,0.02800386,0.97603839,0.70703531,0.43949689
-5.75987994,1.42302734,0.04743566,0.00000000,0.02811496,0.95410823,0.68261271,0.43354174
-5.75387694,1.38678202,0.04710081,0.00000000,0.02812030,0.93049233,0.65767808,0.42649625
-5.74787394,1.34845310,0.04665529,0.00000000,0.02801750,0.90538155,0.63248517,0.41841482
-5.74187094,1.30837856,0.04609928,0.00000000,0.02780765,0.87901383,0.60730078,0.40938136
-5.73586793,1.26696963,0.04543925,0.00000000,0.02749534,0.85167648,0.58240640,0.39950993
-5.72986493,1.22471085,0.04468800,0.00000000,0.02708860,0.82370591,0.55809906,0.38894390
-5.72386193,1.18215602,0.04386431,0.00000000,0.02659855,0.79548474,0.53469117,0.37785354
-5.71785893,1.13991978,0.04299245,0.00000000,0.02603904,0.76743589,0.51250896,0.36643201
-5.71185593,1.09866496,0.04210130,0.00000000,0.02542609,0.74001395,0.49188943,0.35489002
-5.70585293,1.05908618,0.04122338,0.00000000,0.02477723,0.71369401,0.47317558,0.34344913
-5.69984992,1.02189011,0.04039361,0.00000000,0.02411076,0.68895838,0.45671015,0.33233430
-5.69384692,0.98777357,0.03964802,0.00000000,0.02344504,0.66628166,0.44282782,0.32176573
-5.68784392,0.95740011,0.03902236,0.00000000,0.02279766,0.64611511,0.43184631,0.31195062
-5.68184092,0.93137655,0.03855075,0.00000000,0.02218476,0.62887074,0.42405666,0.30307521
-5.67583792,0.91023031,0.03826433,0.00000000,0.02162036,0.61490620,0.41971305,0.29529736
-5.66983492,0.89438897,0.03819008,0.00000000,0.02111580,0.60451096,0.41902272,0.28874040
-5.66383192,0.88416284,0.03834973,0.00000000,0.02067928,0.59789480,0.42213651,0.28348815
-5.65782891,0.87973160,0.03875890,0.00000000,0.02031561,0.59517885,0.42914035,0.27958183
-5.65182591,0.88113577,0.03942648,0.00000000,0.02002606,0.59639002,0.44004838,0.27701864
-5.64582291,0.88827335,0.04035421,0.00000000,0.01980840,0.60145897,0.45479790,0.27575241
-5.63981991,0.90090199,0.04153654,0.00000000,0.01965706,0.61022173,0.47324671,0.27569615
-5.63381691,0.91864675,0.04296072,0.00000000,0.01956347,0.62242518,0.49517298,0.27672647
-5.62781391,0.94101301,0.04460721,0.00000000,0.01951656,0.63773604,0.52027778,0.27868962
-5.62181091,0.96740430,0.04645021,0.00000000,0.01950325,0.65575305,0.54819049,0.28140896
-5.61580790,0.99714403,0.04845847,0.00000000,0.01950913,0.67602197,0.57847687,0.28469344
-5.60980490,1.02950053,0.05059622,0.00000000,0.01951917,0.69805261,0.61064966,0.28834669
-5.60380190,1.06371415,0.05282432,0.00000000,0.01951833,0.72133731,0.64418142,0.29217642
-5.59779890,1.09902537,0.05510134,0.00000000,0.01949232,0.74537005,0.67851918,0.29600352
-5.59179590,1.13470275,0.05738488,0.00000000,0.01942817,0.76966535,0.71310042,0.29967057
-5.58579290,1.17006950,0.05963273,0.00000000,0.01931480,0.79377619,0.74736967,0.30304932
-5.57978989,1.20452755,0.06180410,0.00000000,0.01914345,0.81731014,0.78079525,0.30604673
-5.57378689,1.23757816,0.06386073,0.00000000,0.01890800,0.83994312,0.81288533,0.30860944
-5.56778389,1.26883822,0.06576787,0.00000000,0.01860522,0.86142996,0.84320272,0.31072634
-5.56178089,1.29805137,0.06749515,0.00000000,0.01823477,0.88161166,0.87137764,0.31242916
