energy_ev,total_up,B_p_up,B_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,2.32105780,0.28011115,0.00000000,1.19291733,1.06738030,0.80748765,0.00000000
-5.99399700,2.47171653,0.29542875,0.00000000,1.25994456,1.13999314,0.86318544,0.00000000
-5.98799400,2.63707524,0.31254034,0.00000000,1.33583120,1.21878369,0.92429528,0.00000000
-5.98199100,2.81445244,0.33112106,0.00000000,1.41919950,1.30252079,0.98988356,0.00000000
-5.97598799,3.00077721,0.35080014,0.00000000,1.50845371,1.38980195,1.05887466,0.00000000
-5.96998499,3.19265168,0.37116911,0.00000000,1.60181271,1.47908214,1.13007146,0.00000000
-5.96398199,3.38642699,0.39179151,0.00000000,1.69734923,1.56870881,1.20218094,0.00000000
-5.95797899,3.57829092,0.41221376,0.00000000,1.79303524,1.65696224,1.27384411,0.00000000
-5.95197599,3.76436496,0.43197694,0.00000000,1.88679227,1.74210016,1.34366986,0.00000000
-5.94597299,3.94080826,0.45062915,0.00000000,1.97654546,1.82240530,1.41027149,0.00000000
-5.93996998,4.10392496,0.46773812,0.00000000,2.06027970,1.89623432,1.47230520,0.00000000
-5.93396698,4.25027147,0.48290352,0.00000000,2.13609611,1.96206644,1.52850889,0.00000000
-5.92796398,4.37675970,0.49576858,0.00000000,2.20226677,2.01855002,1.57774010,0.00000000
-5.92196098,4.48075242,0.50603068,0.00000000,2.25728581,2.06454521,1.61901152,0.00000000
-5.91595798,4.56014675,0.51345036,0.00000000,2.29991469,2.09916110,1.65152269,0.00000000
-5.90995498,4.61344251,0.51785847,0.00000000,2.32921982,2.12178561,1.67468645,0.00000000
-5.90395198,4.63979210,0.51916106,0.00000000,2.34460094,2.13210709,1.68814897,0.00000000
-5.89794897,4.63902992,0.51734198,0.00000000,2.34580880,2.13012631,1.69180238,0.00000000
-5.89194597,4.61167957,0.51246282,0.00000000,2.33295133,2.11615864,1.68578930,0.00000000
-5.88594297,4.55893835,0.50466041,0.00000000,2.30648794,2.09082582,1.67049889,0.00000000
-5.87993997,4.48263951,0.49414183,0.00000000,2.26721186,2.05503799,1.64655448,0.00000000
-5.87393697,4.38519364,0.48117717,0.00000000,2.21622139,2.00996638,1.61479318,0.00000000
-5.86793397,4.26951145,0.46609038,0.00000000,2.15488103,1.95700799,1.57623811,0.00000000
-5.86193097,4.13891121,0.44924857,0.00000000,2.08477421,1.89774362,1.53206443,0.00000000
-5.85592796,3.99701465,0.43105020,0.00000000,2.00764950,1.83389114,1.48356056,0.00000000
-5.84992496,3.84763567,0.41191271,0.00000000,1.92536258,1.76725576,1.43208603,0.00000000
-5.84392196,3.69466635,0.39226000,0.00000000,1.83981644,1.69967964,1.37902779,0.00000000
-5.83791896,3.54196509,0.37251039,0.00000000,1.75290214,1.63299274,1.32575677,0.00000000
-5.83191596,3.39325118,0.35306549,0.00000000,1.66644265,1.56896687,1.27358628,0.00000000
-5.82591296,3.25200997,0.33430028,0.00000000,1.58214185,1.50927481,1.22373408,0.00000000
-5.81990995,3.12141206,0.31655499,0.00000000,1.50154062,1.45545590,1.17728941,0.00000000
-5.81390695,3.00424921,0.30012879,0.00000000,1.42598150,1.40888925,1.13518621,0.00000000
-5.80790395,2.90288899,0.28527571,0.00000000,1.35658309,1.37077529,1.09818341,0.00000000
-5.80190095,2.81924882,0.27220255,0.00000000,1.29422467,1.34212588,1.06685291,0.00000000
-5.79589795,2.75478966,0.26106907,0.00000000,1.23954123,1.32376291,1.04157521,0.00000000
-5.78989495,2.71052803,0.25199005,0.00000000,1.19292858,1.31632464,1.02254278,0.00000000
-5.78389195,2.68706482,0.24503921,0.00000000,1.15455766,1.32027884,1.00977042,0.00000000
