energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,4.83870245,0.12090332,0.03887346,0.03317773,0.57383323,0.22361072,0.08384562,0.49927284,3.24369650
-5.99399700,4.51068922,0.11978918,0.03666345,0.03200382,0.55676151,0.21979349,0.08083706,0.49095909,2.97561633
-5.98799400,4.20410094,0.11848014,0.03452411,0.03081073,0.54024476,0.21638217,0.07798438,0.48236771,2.72698757
-5.98199100,3.91856931,0.11695570,0.03247238,0.02961226,0.52447942,0.21341807,0.07533235,0.47348259,2.49706666
-5.97598799,3.65367409,0.11519751,0.03052314,0.02842249,0.50967592,0.21094430,0.07292778,0.46429778,2.28504313
-5.96998499,3.40898524,0.11319109,0.02868929,0.02725570,0.49606182,0.20900781,0.07081956,0.45482295,2.09007196
-5.96398199,3.18410034,0.11092747,0.02698195,0.02612645,0.48388433,0.20766115,0.06905873,0.44508827,1.91130234
-5.95797899,2.97867654,0.10840455,0.02541062,0.02504947,0.47341214,0.20696370,0.06769837,0.43514849,1.74790254
-5.95197599,2.79245634,0.10562824,0.02398349,0.02403970,0.46493625,0.20698229,0.06679336,0.42508577,1.59908079
-5.94597299,2.62528678,0.10261311,0.02270763,0.02311222,0.45876972,0.20779123,0.06640001,0.41501138,1.46410208
-5.93996998,2.47713191,0.09938273,0.02158927,0.02228216,0.45524638,0.20947164,0.06657556,0.40506574,1.34230099
-5.93396698,2.34807859,0.09596945,0.02063404,0.02156465,0.45471835,0.21211018,0.06737753,0.39541717,1.23309046
-5.92796398,2.23833585,0.09241390,0.01984716,0.02097465,0.45755255,0.21579740,0.06886295,0.38625906,1.13596693
-5.92196098,2.14822846,0.08876396,0.01923363,0.02052686,0.46412645,0.22062567,0.07108754,0.37780590,1.05051184
-5.91595798,2.07818517,0.08507341,0.01879839,0.02023557,0.47482304,0.22668706,0.07410486,0.37028813,0.97638983
-5.90995498,2.02872266,0.08140034,0.01854646,0.02011445,0.49002539,0.23407132,0.07796533,0.36394627,0.91334404
-5.90395198,2.00042595,0.07780532,0.01848302,0.02017642,0.51011109,0.24286420,0.08271550,0.35902453,0.86118874
-5.89794897,1.99392628,0.07434947,0.01861352,0.02043350,0.53544663,0.25314630,0.08839715,0.35576432,0.81979972
-5.89194597,2.00987730,0.07109248,0.01894377,0.02089657,0.56638215,0.26499276,0.09504672,0.35439794,0.78910287
-5.88594297,2.04893061,0.06809079,0.01947999,0.02157531,0.60324658,0.27847367,0.10269474,0.35514272,0.76906121
-5.87993997,2.11171113,0.06539586,0.02022894,0.02247797,0.64634335,0.29365556,0.11136547,0.35819600,0.75966094
-5.87393697,2.19879306,0.06305265,0.02119793,0.02361128,0.69594672,0.31060372,0.12107673,0.36373104,0.76089674
-5.86793397,2.31067679,0.06109849,0.02239494,0.02498031,0.75229877,0.32938541,0.13183986,0.37189398,0.77275672
-5.86193097,2.44776700,0.05956217,0.02382868,0.02658839,0.81560680,0.35007355,0.14365983,0.38280201,0.79520740
-5.85592796,2.61035198,0.05846340,0.02550864,0.02843694,0.88604115,0.37275091,0.15653551,0.39654255,0.82817897
-5.84992496,2.79858410,0.05781264,0.02744507,0.03052544,0.96373315,0.39751408,0.17045994,0.41317356,0.87155115
-5.84392196,3.01246124,0.05761123,0.02964903,0.03285126,1.04877292,0.42447707,0.18542066,0.43272452,0.92513991
-5.83791896,3.25180888,0.05785177,0.03213221,0.03540962,1.14120676,0.45377394,0.20139997,0.45519804,0.98868543
-5.83191596,3.51626262,0.05851881,0.03490685,0.03819341,1.24103389,0.48556001,0.21837511,0.48057181,1.06184131
