energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,1.65162066,0.00140779,0.07241634,0.17063388,0.36779337,0.47741682,0.62280872,0.00640495,0.64989530
-5.99399700,1.72943499,0.00161424,0.07514381,0.17716830,0.38431901,0.50235945,0.65290207,0.00672179,0.68065887
-5.98799400,1.80655025,0.00184479,0.07783536,0.18371807,0.40112728,0.52716990,0.68200052,0.00704905,0.71067118
-5.98199100,1.88286126,0.00210009,0.08048493,0.19026152,0.41820517,0.55174898,0.71008975,0.00738606,0.73986866
-5.97598799,1.95835415,0.00238046,0.08309020,0.19678686,0.43554179,0.57601058,0.73722645,0.00773277,0.76823448
-5.96998499,2.03309538,0.00268588,0.08565179,0.20329016,0.45312368,0.59987907,0.76353832,0.00808961,0.79579629
-5.96398199,2.10721683,0.00301593,0.08817230,0.20977298,0.47093001,0.62328596,0.78922100,0.00845740,0.82262180
-5.95797899,2.18089774,0.00336970,0.09065527,0.21623972,0.48892806,0.64616627,0.81453200,0.00883720,0.84881259
-5.95197599,2.25434406,0.00374580,0.09310414,0.22269495,0.50706912,0.66845469,0.83978161,0.00923014,0.87449631
-5.94597299,2.32776641,0.00414226,0.09552115,0.22914070,0.52528525,0.69008188,0.86532113,0.00963728,0.89981767
-5.93996998,2.40135746,0.00455659,0.09790641,0.23557400,0.54348690,0.71097122,0.89152864,0.01005938,0.92492850
-5.93396698,2.47526987,0.00498572,0.10025699,0.24198465,0.56156172,0.73103623,0.91879286,0.01049680,0.94997750
-5.92796398,2.54959582,0.00542602,0.10256629,0.24835345,0.57937459,0.75017883,0.94749570,0.01094929,0.97509996
-5.92196098,2.62434894,0.00587336,0.10482354,0.25465096,0.59676888,0.76828872,0.97799395,0.01141586,1.00040802
-5.91595798,2.69944949,0.00632313,0.10701356,0.26083676,0.61356901,0.78524383,1.01060108,0.01189469,1.02598188
-5.90995498,2.77471354,0.00677030,0.10911685,0.26685951,0.62958410,0.80091190,1.04556953,0.01238304,1.05186222
-5.90395198,2.84984632,0.00720954,0.11110979,0.27265747,0.64461259,0.81515322,1.08307460,0.01287720,1.07804428
-5.89794897,2.92444032,0.00763527,0.11296528,0.27815978,0.65844761,0.82782416,1.12320019,0.01337253,1.10447384
-5.89194597,2.99797797,0.00804181,0.11465343,0.28328823,0.67088284,0.83878160,1.16592747,0.01386351,1.13104504
-5.88594297,3.06983888,0.00842348,0.11614254,0.28795958,0.68171859,0.84788766,1.21112672,0.01434381,1.15760042
-5.87993997,3.13931134,0.00877470,0.11740020,0.29208821,0.69076782,0.85501484,1.25855297,0.01480649,1.18393300
-5.87393697,3.20560771,0.00909019,0.11839447,0.29558904,0.69786180,0.86005094,1.30784571,0.01524411,1.20979029
-5.86793397,3.26788314,0.00936501,0.11909508,0.29838063,0.70285523,0.86290373,1.35853297,0.01564899,1.23488023
-5.86193097,3.32525690,0.00959476,0.11947467,0.30038816,0.70563052,0.86350502,1.41003963,0.01601341,1.25887870
-5.85592796,3.37683584,0.00977562,0.11950986,0.30154631,0.70610120,0.86181391,1.46169998,0.01632988,1.28143848
-5.84992496,3.42173902,0.00990453,0.11918225,0.30180188,0.70421430,0.85781919,1.51277417,0.01659137,1.30219920
-5.84392196,3.45912290,0.00997920,0.11847923,0.30111591,0.69995165,0.85154062,1.56246802,0.01679153,1.32079810
-5.83791896,3.48820622,0.00999823,0.11739458,0.29946539,0.69333011,0.84302923,1.60995551,0.01692491,1.33688106
-5.83191596,3.50829383,0.00996112,0.11592881,0.29684436,0.68440090,0.83236656,1.65440328,0.01698717,1.35011375
-5.82591296,3.51879864,0.00986831,0.11408930,0.29326441,0.67324798,0.81966297,1.69499607,0.01697520,1.36019219
-5.81990995,3.51926110,0.00972116,0.11189019,0.28875453,0.65998565,0.80505505,1.73096215,0.01688725,1.36685274
-5.81390695,3.50936547,0.00952195,0.10935197,0.28336040,0.64475566,0.78870244,1.76159782,0.01672297,1.36988075
-5.80790395,3.48895223,0.00927380,0.10650092,0.27714306,0.62772376,0.77078405,1.78628979,0.01648343,1.36911796
-5.80190095,3.45802641,0.00898064,0.10336834,0.27017714,0.60907603,0.75149401,1.80453467,0.01617111,1.36446801
-5.79589795,3.41676129,0.00864707,0.09998964,0.26254861,0.58901499,0.73103741,1.81595470,0.01578981,1.35590019
-5.78989495,3.36549742,0.00827830,0.09640331,0.25435227,0.56775582,0.70962610,1.82030903,0.01534454,1.34345103
-5.78389195,3.30473703,0.00788002,0.09264984,0.24568904,0.54552249,0.68747464,1.81750029,0.01484137,1.32722392
-5.77788894,3.23513391,0.00745826,0.08877060,0.23666322,0.52254430,0.66479659,1.80757597,0.01428730,1.30738666
-5.77188594,3.15747931,0.00701931,0.08480679,0.22737969,0.49905245,0.64180120,1.79072501,0.01369006,1.28416716
-5.76588294,3.07268434,0.00656957,0.08079845,0.21794140,0.47527712,0.61869064,1.76726959,0.01305792,1.25784745
-5.75987994,2.98175961,0.00611546,0.07678353,0.20844707,0.45144477,0.59565781,1.73765276,0.01239953,1.22875641
-5.75387694,2.88579292,0.00566330,0.07279719,0.19898925,0.42777585,0.57288477,1.70242265,0.01172378,1.19726146
-5.74787394,2.78592605,0.00521927,0.06887114,0.18965281,0.40448286,0.55054181,1.66221397,0.01103958,1.16375963
-5.74187094,2.68333137,0.00478931,0.06503329,0.18051392,0.38176877,0.52878711,1.61772788,0.01035582,1.12866846
-5.73586793,2.57918929,0.00437909,0.06130746,0.17163947,0.35982581,0.50776699,1.56971106,0.00968122,1.09241704
-5.72986493,2.47466734,0.00399403,0.05771337,0.16308702,0.33883450,0.48761670,1.51893508,0.00902429,1.05543764
-5.72386193,2.37090158,0.00363928,0.05426667,0.15490523,0.31896302,0.46846155,1.46617677,0.00839330,1.01815811
-5.71785893,2.26898073,0.00331971,0.05097927,0.14713460,0.30036674,0.45041847,1.41220039,0.00779623,0.98099535
-5.71185593,2.16993347,0.00304006,0.04785970,0.13980874,0.28318799,0.43359767,1.35774228,0.00724082,0.94435005
-5.70585293,2.07471893,0.00280488,0.04491358,0.13295567,0.26755584,0.41810445,1.30349816,0.00673461,0.90860263
-5.69984992,1.98422034,0.00261869,0.04214421,0.12659953,0.25358605,0.40404089,1.25011351,0.00628496,0.87411042
-5.69384692,1.89924151,0.00248597,0.03955315,0.12076222,0.24138093,0.39150735,1.19817689,0.00589911,0.84120602
-5.68784392,1.82050580,0.00241130,0.03714087,0.11546512,0.23102916,0.38060375,1.14821609,0.00558427,0.81019661
-5.68184092,1.74865701,0.00239935,0.03490736,0.11073062,0.22260550,0.37143030,1.10069686,0.00534761,0.78136411
-5.67583792,1.68426164,0.00245492,0.03285266,0.10658358,0.21617036,0.36408785,1.05602375,0.00519636,0.75496576
-5.66983492,1.62781203,0.00258298,0.03097747,0.10305247,0.21176922,0.35867764,1.01454267,0.00513776,0.73123521
-5.66383192,1.57972968,0.00278859,0.02928352,0.10017019,0.20943181,0.35530050,0.97654466,0.00517912,0.71038359
-5.65782891,1.54036855,0.00307683,0.02777402,0.09797463,0.20917128,0.35405555,0.94227037,0.00532769,0.69260062
