energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,0.91781067,0.00805407,0.03640056,0.34010282,0.19792972,0.15273076,0.17273484,0.00991021,0.42905103
-5.99399700,0.87761499,0.00846111,0.03412005,0.32270123,0.18680162,0.14649385,0.16638087,0.00977348,0.40829484
-5.98799400,0.84005107,0.00884543,0.03201270,0.30637472,0.17637829,0.14071490,0.16045159,0.00965920,0.38878496
-5.98199100,0.80495809,0.00919939,0.03007173,0.29111067,0.16664751,0.13535527,0.15490238,0.00956014,0.37049303
-5.97598799,0.77211073,0.00951591,0.02828736,0.27686341,0.15758079,0.13036633,0.14967976,0.00946937,0.35335305
-5.96998499,0.74123616,0.00978873,0.02664742,0.26356096,0.14913634,0.12569269,0.14472468,0.00938043,0.33726905
-5.96398199,0.71203307,0.01001272,0.02513810,0.25111262,0.14126257,0.12127574,0.13997601,0.00928758,0.32212395
-5.95797899,0.68419168,0.01018415,0.02374472,0.23941699,0.13390205,0.11705720,0.13537420,0.00918605,0.30778900
-5.95197599,0.65741361,0.01030085,0.02245248,0.22836992,0.12699555,0.11298271,0.13086484,0.00907221,0.29413326
-5.94597299,0.63143075,0.01036248,0.02124720,0.21787210,0.12048611,0.10900507,0.12640201,0.00894378,0.28103281
-5.93996998,0.60602215,0.01037063,0.02011597,0.20783591,0.11432284,0.10508707,0.12195117,0.00880002,0.26837903
-5.93396698,0.58102821,0.01032893,0.01904769,0.19819129,0.10846430,0.10120388,0.11749150,0.00864177,0.25608578
-5.92796398,0.55636175,0.01024307,0.01803352,0.18889030,0.10288144,0.09734474,0.11301773,0.00847162,0.24409518
-5.92196098,0.53201556,0.01012077,0.01706722,0.17991053,0.09755986,0.09351411,0.10854111,0.00829385,0.23238176
-5.91595798,0.50806632,0.00997171,0.01614531,0.17125692,0.09250155,0.08973206,0.10408980,0.00811441,0.22095511
-5.90995498,0.48467509,0.00980732,0.01526713,0.16296245,0.08772585,0.08603405,0.09970851,0.00794086,0.20986077
-5.90395198,0.46208434,0.00964061,0.01443479,0.15508739,0.08326994,0.08247014,0.09545749,0.00778218,0.19917982
-5.89794897,0.44061213,0.00948587,0.01365304,0.14771747,0.07918870,0.07910358,0.09141094,0.00764861,0.18902693
-5.89194597,0.42064369,0.00935836,0.01292897,0.14096112,0.07555405,0.07600908,0.08765488,0.00755137,0.17954745
-5.88594297,0.40262097,0.00927395,0.01227172,0.13494577,0.07245388,0.07327054,0.08428466,0.00750243,0.17091346
-5.87993997,0.38703054,0.00924872,0.01169215,0.12981364,0.06999059,0.07097868,0.08140206,0.00751411,0.16331915
-5.87393697,0.37439035,0.00929852,0.01120237,0.12571703,0.06827931,0.06922839,0.07911229,0.00759881,0.15697568
-5.86793397,0.36523581,0.00943854,0.01081540,0.12281334,0.06744579,0.06811597,0.07752070,0.00776858,0.15210570
