energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,4.61729963,0.04765959,0.02251122,1.11684522,0.44790794,0.20380996,2.86272170,0.67990121,0.14069985
-5.99399700,4.55575553,0.04787294,0.02191487,1.12732096,0.46030031,0.19624503,2.82176155,0.67241384,0.13406014
-5.98799400,4.49343072,0.04799663,0.02132190,1.13581648,0.47322574,0.18855954,2.77999784,0.66422647,0.12750746
-5.98199100,4.43088305,0.04803809,0.02073745,1.14221967,0.48660494,0.18082112,2.73779385,0.65537928,0.12110695
-5.97598799,4.36851394,0.04800645,0.02016526,1.14644552,0.50033351,0.17308966,2.69542304,0.64590645,0.11491415
-5.96998499,4.30656674,0.04791196,0.01960777,1.14843470,0.51428212,0.16541720,2.65306805,0.63583693,0.10897449
-5.96398199,4.24513071,0.04776530,0.01906614,1.14815169,0.52829742,0.15784816,2.61082304,0.62519532,0.10332313
-5.95797899,4.18414937,0.04757692,0.01854046,1.14558219,0.54220374,0.15041963,2.56869842,0.61400284,0.09798516
-5.95197599,4.12343217,0.04735638,0.01802986,1.14073008,0.55580538,0.14316191,2.52662745,0.60227815,0.09297591
-5.94597299,4.06266867,0.04711173,0.01753268,1.13361377,0.56888962,0.13609901,2.48447414,0.59003791,0.08830169
-5.93996998,4.00144456,0.04684898,0.01704668,1.12426245,0.58123031,0.12924923,2.44204206,0.57729715,0.08396046
-5.93396698,3.93925910,0.04657163,0.01656920,1.11271224,0.59259209,0.12262574,2.39908395,0.56406945,0.07994280
-5.92796398,3.87554390,0.04628043,0.01609736,1.09900276,0.60273514,0.11623705,2.35531185,0.55036692,0.07623282
-5.92196098,3.80968275,0.04597317,0.01562818,1.08317428,0.61142037,0.11008759,2.31040799,0.53620015,0.07280930
-5.91595798,3.74103268,0.04564481,0.01515873,1.06526571,0.61841509,0.10417809,2.26403619,0.52157829,0.06964667
-5.90995498,3.66894602,0.04528758,0.01468631,1.04531377,0.62349889,0.09850614,2.21585407,0.50650919,0.06671614
-5.90395198,3.59279338,0.04489143,0.01420847,1.02335329,0.62646972,0.09306653,2.16552572,0.49099981,0.06398682
-5.89794897,3.51198726,0.04444453,0.01372316,0.99941872,0.62714990,0.08785181,2.11273499,0.47505702,0.06142674
-5.89194597,3.42600573,0.04393390,0.01322878,0.97354686,0.62539191,0.08285270,2.05719890,0.45868857,0.05900392
-5.88594297,3.33441555,0.04334612,0.01272423,0.94578041,0.62108373,0.07805862,1.99868096,0.44190445,0.05668731
-5.87993997,3.23689391,0.04266817,0.01220891,0.91617222,0.61415346,0.07345818,1.93700377,0.42471839,0.05444771
-5.87393697,3.13324773,0.04188813,0.01168279,0.88478988,0.60457305,0.06903967,1.87206054,0.40714957,0.05225856
-5.86793397,3.02342967,0.04099596,0.01114636,0.85172011,0.59236087,0.06479159,1.80382467,0.38922419,0.05009662
-5.86193097,2.90754980,0.03998414,0.01060064,0.81707275,0.57758302,0.06070312,1.73235701,0.37097702,0.04794250
-5.85592796,2.78588205,0.03884817,0.01004715,0.78098383,0.56035311,0.05676450,1.65781028,0.35245253,0.04578105
-5.84992496,2.65886499,0.03758699,0.00948785,0.74361754,0.54083067,0.05296740,1.58043002,0.33370572,0.04360157
-5.84392196,2.52709637,0.03620315,0.00892510,0.70516667,0.51921793,0.04930517,1.50055218,0.31480236,0.04139789
-5.83791896,2.39132153,0.03470288,0.00836157,0.66585161,0.49575527,0.04577303,1.41859697,0.29581871,0.03916821
-5.83191596,2.25241595,0.03309592,0.00780020,0.62591770,0.47071533,0.04236805,1.33505930,0.27684053,0.03691488
-5.82591296,2.11136253,0.03139526,0.00724410,0.58563113,0.44439613,0.03908915,1.25049613,0.25796168,0.03464394
-5.81990995,1.96922458,0.02961664,0.00669645,0.54527356,0.41711331,0.03593693,1.16551119,0.23928205,0.03236462
-5.81390695,1.82711575,0.02777802,0.00616042,0.50513559,0.38919195,0.03291342,1.08073787,0.22090513,0.03008873
-5.80790395,1.68616814,0.02589894,0.00563913,0.46550970,0.36095820,0.03002174,0.99682088,0.20293528,0.02782993
-5.80190095,1.54750011,0.02399984,0.00513547,0.42668273,0.33273114,0.02726578,0.91439781,0.18547488,0.02560309
-5.79589795,1.41218527,0.02210136,0.00465213,0.38892852,0.30481506,0.02464975,0.83408107,0.16862140,0.02342352
-5.78989495,1.28122386,0.02022367,0.00419147,0.35250093,0.27749265,0.02217785,0.75644133,0.15246473,0.02130638
-5.78389195,1.15551775,0.01838585,0.00375550,0.31762771,0.25101910,0.01985383,0.68199294,0.13708471,0.01926601
-5.77788894,1.03585003,0.01660538,0.00334581,0.28450532,0.22561749,0.01768068,0.61118196,0.12254909,0.01731545
-5.77188594,0.92286972,0.01489771,0.00296359,0.25329511,0.20147547,0.01566040,0.54437722,0.10891203,0.01546603
-5.76588294,0.81708210,0.01327589,0.00260959,0.22412083,0.17874330,0.01379369,0.48186453,0.09621304,0.01372702
-5.75987994,0.71884448,0.01175045,0.00228412,0.19706751,0.15753327,0.01207990,0.42384415,0.08447658,0.01210547
-5.75387694,0.62836748,0.01032922,0.00198709,0.17218180,0.13792031,0.01051693,0.37043140,0.07371212,0.01060610
-5.74787394,0.54572094,0.00901743,0.00171803,0.14947353,0.11994379,0.00910123,0.32166009,0.06391482,0.00923131
-5.74187094,0.47084419,0.00781776,0.00147613,0.12891831,0.10361024,0.00782789,0.27748833,0.05506652,0.00798132
-5.73586793,0.40355957,0.00673055,0.00126027,0.11046117,0.08889682,0.00669077,0.23780641,0.04713720,0.00685429
-5.72986493,0.34358835,0.00575405,0.00106911,0.09402069,0.07575528,0.00568267,0.20244605,0.04008664,0.00584660
-5.72386193,0.29056835,0.00488473,0.00090109,0.07949365,0.06411631,0.00479551,0.17119060,0.03386630,0.00495309
-5.71785893,0.24407200,0.00411757,0.00075453,0.06675985,0.05389395,0.00402059,0.14378559,0.02842125,0.00416738
-5.71185593,0.20362445,0.00344640,0.00062766,0.05568689,0.04498994,0.00334877,0.11994925,0.02369210,0.00348215
-5.70585293,0.16872070,0.00286424,0.00051867,0.04613470,0.03729784,0.00277073,0.09938253,0.01961680,0.00288945
-5.69984992,0.13884138,0.00236354,0.00042575,0.03795981,0.03070682,0.00227715,0.08177830,0.01613239,0.00238097
-5.69384692,0.11346674,0.00193652,0.00034714,0.03101898,0.02510495,0.00185890,0.06682949,0.01317646,0.00194828
-5.68784392,0.09208855,0.00157536,0.00028113,0.02517245,0.02038210,0.00150718,0.05423607,0.01068840,0.00158307
-5.68184092,0.07421973,0.00127244,0.00022613,0.02028645,0.01643220,0.00121368,0.04371064,0.00861049,0.00127729
-5.67583792,0.05940188,0.00102044,0.00018065,0.01623525,0.01315505,0.00097064,0.03498285,0.00688860,0.00102332
-5.66983492,0.04721059,0.00081250,0.00014334,0.01290252,0.01045762,0.00077091,0.02780247,0.00547282,0.00081407
-5.66383192,0.03725884,0.00064232,0.00011294,0.01018227,0.00825488,0.00060805,0.02194136,0.00431777,0.00064303
-5.65782891,0.02919866,0.00050415,0.00008838,0.00797923,0.00647026,0.00047627,0.01719447,0.00338272,0.00050434
-5.65182591,0.02272137,0.00039287,0.00006869,0.00620894,0.00503572,0.00037045,0.01337991,0.00263162,0.00039275
-5.64582291,0.01755658,0.00030397,0.00005301,0.00479742,0.00389160,0.00028613,0.01033837,0.00203295,0.00030369
-5.63981991,0.01347029,0.00023350,0.00004063,0.00368068,0.00298621,0.00021946,0.00793200,0.00155944,0.00023316
-5.63381691,0.01026236,0.00017808,0.00003093,0.00280398,0.00227533,0.00016714,0.00604293,0.00118782,0.00017774
-5.62781391,0.00776356,0.00013485,0.00002339,0.00212103,0.00172154,0.00012642,0.00457145,0.00089842,0.00013454
-5.62181091,0.00583234,0.00010138,0.00001758,0.00159314,0.00129353,0.00009495,0.00343421,0.00067479,0.00010113
-5.61580790,0.00435160,0.00007568,0.00001314,0.00118825,0.00096538,0.00007084,0.00256223,0.00050334,0.00007549
-5.60980490,0.00322554,0.00005610,0.00000979,0.00088014,0.00071591,0.00005252,0.00189909,0.00037295,0.00005599
-5.60380190,0.00237661,0.00004130,0.00000729,0.00064754,0.00052797,0.00003871,0.00139909,0.00027462,0.00004129
-5.59779890,0.00174277,0.00003021,0.00000547,0.00047341,0.00038786,0.00002842,0.00102571,0.00020114,0.00003031
-5.59179590,0.00127507,0.00002197,0.00000418,0.00034423,0.00028480,0.00002084,0.00075007,0.00014682,0.00002222
-5.58579290,0.00093541,0.00001591,0.00000334,0.00024938,0.00021043,0.00001537,0.00054973,0.00010723,0.00001636
-5.57978989,0.00069480,0.00001151,0.00000288,0.00018066,0.00015847,0.00001152,0.00040754,0.00007895,0.00001224
-5.57378689,0.00053181,0.00000838,0.00000276,0.00013182,0.00012434,0.00000898,0.00031083,0.00005945,0.00000948
-5.56778389,0.00043138,0.00000620,0.00000300,0.00009819,0.00010495,0.00000749,0.00025063,0.00004690,0.00000786
-5.56178089,0.00038399,0.00000478,0.00000363,0.00007644,0.00009855,0.00000693,0.00022122,0.00004010,0.00000720
-5.55577789,0.00038504,0.00000396,0.00000473,0.00006428,0.00010458,0.00000724,0.00021971,0.00003836,0.00000747
-5.54977489,0.00043459,0.00000364,0.00000641,0.00006034,0.00012367,0.00000845,0.00024589,0.00004148,0.00000869
-5.54377189,0.00053732,0.00000380,0.00000886,0.00006406,0.00015771,0.00001068,0.00030220,0.00004973,0.00001099
-5.53776888,0.00070285,0.00000443,0.00001231,0.00007564,0.00020994,0.00001414,0.00039391,0.00006388,0.00001458
-5.53176588,0.00094629,0.00000559,0.00001711,0.00009600,0.00028515,0.00001915,0.00052934,0.00008520,0.00001983
-5.52576288,0.00128909,0.00000737,0.00002368,0.00012682,0.00038998,0.00002613,0.00072042,0.00011557,0.00002720
-5.51975988,0.00176022,0.00000993,0.00003260,0.00017065,0.00053325,0.00003568,0.00098329,0.00015756,0.00003733
-5.51375688,0.00239763,0.00001348,0.00004458,0.00023098,0.00072645,0.00004855,0.00133911,0.00021460,0.00005108
-5.50775388,0.00325000,0.00001829,0.00006056,0.00031242,0.00098422,0.00006572,0.00181506,0.00029107,0.00006952
-5.50175088,0.00437888,0.00002473,0.00008170,0.00042091,0.00132503,0.00008839,0.00244554,0.00039257,0.00009402
-5.49574787,0.00586107,0.00003326,0.00010943,0.00056392,0.00177183,0.00011809,0.00327344,0.00052609,0.00012631
-5.48974487,0.00779122,0.00004444,0.00014553,0.00075074,0.00235287,0.00015666,0.00435169,0.00070031,0.00016852
-5.48374187,0.01028475,0.00005898,0.00019217,0.00099275,0.00310251,0.00020638,0.00574482,0.00092584,0.00022325
-5.47773887,0.01348085,0.00007774,0.00025195,0.00130377,0.00406209,0.00026994,0.00753066,0.00121551,0.00029366
-5.47173587,0.01754552,0.00010174,0.00032797,0.00170033,0.00528080,0.00035056,0.00980208,0.00158474,0.00038354
-5.46573287,0.02267453,0.00013220,0.00042390,0.00220207,0.00681652,0.00045203,0.01266863,0.00205178,0.00049737
-5.45972986,0.02909612,0.00017058,0.00054398,0.00283198,0.00873657,0.00057870,0.01625807,0.00263806,0.00064041
-5.45372686,0.03707324,0.00021855,0.00069311,0.00361675,0.01111826,0.00073560,0.02071766,0.00336843,0.00081875
