energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.84786906,-0.90096609,0.00778504,-0.01121193,0.19932132,-0.22913227,0.22172922,-0.28432546,0.27120172,-0.28444763,0.03547217,-0.03613629,0.20141035,-0.19418681
-5.99399700,0.85823438,-0.89529861,0.00724434,-0.01042576,0.19766525,-0.22343099,0.21421980,-0.27147019,0.27470158,-0.28216744,0.03611522,-0.03651932,0.20897248,-0.19805040
-5.98799400,0.87287507,-0.89225782,0.00677451,-0.00966280,0.19717083,-0.21830065,0.20841751,-0.25940578,0.27972694,-0.28073232,0.03682330,-0.03695966,0.21744327,-0.20265708
-5.98199100,0.89177594,-0.89216662,0.00638158,-0.00893466,0.19787508,-0.21386802,0.20440734,-0.24836809,0.28630469,-0.28026357,0.03758555,-0.03745548,0.22677369,-0.20803243
-5.97598799,0.91485104,-0.89527413,0.00607026,-0.00825195,0.19979545,-0.21024151,0.20223857,-0.23856232,0.29444054,-0.28086261,0.03839025,-0.03800273,0.23689926,-0.21418433
-5.96998499,0.94195294,-0.90175594,0.00584405,-0.00762419,0.20293168,-0.20751059,0.20192670,-0.23015991,0.30412108,-0.28261119,0.03922552,-0.03859553,0.24774254,-0.22110339
-5.96398199,0.97288284,-0.91171707,0.00570520,-0.00705972,0.20726790,-0.20574589,0.20345631,-0.22329680,0.31531585,-0.28557215,0.04007998,-0.03922657,0.25921589,-0.22876399
-5.95797899,1.00740110,-0.92519715,0.00565486,-0.00656566,0.21277483,-0.20499992,0.20678469,-0.21807289,0.32797945,-0.28979085,0.04094331,-0.03988769,0.27122447,-0.23712586
-5.95197599,1.04523775,-0.94217751,0.00569304,-0.00614794,0.21941200,-0.20530842,0.21184623,-0.21455265,0.34205324,-0.29529689,0.04180685,-0.04057039,0.28366928,-0.24613607
-5.94597299,1.08610234,-0.96258955,0.00581878,-0.00581129,0.22712991,-0.20669191,0.21855724,-0.21276701,0.35746682,-0.30210603,0.04266401,-0.04126636,0.29645018,-0.25573133
-5.93996998,1.12969302,-0.98632385,0.00603015,-0.00555931,0.23587188,-0.20915762,0.22682130,-0.21271616,0.37413899,-0.31022212,0.04351052,-0.04196808,0.30946890,-0.26584056
-5.93396698,1.17570445,-1.01323945,0.00632436,-0.00539452,0.24557582,-0.21270150,0.23653466,-0.21437332,0.39197834,-0.31963878,0.04434469,-0.04266919,0.32263178,-0.27638755
-5.92796398,1.22383459,-1.04317294,0.00669780,-0.00531842,0.25617559,-0.21731015,0.24759189,-0.21768935,0.41088341,-0.33034080,0.04516738,-0.04336491,0.33585237,-0.28729368
-5.92196098,1.27379007,-1.07594682,0.00714616,-0.00533158,0.26760224,-0.22296272,0.25989127,-0.22259781,0.43074252,-0.34230504,0.04598197,-0.04405232,0.34905371,-0.29848060
-5.91595798,1.32529049,-1.11137693,0.00766445,-0.00543371,0.27978484,-0.22963252,0.27334004,-0.22902063,0.45143338,-0.35550085,0.04679410,-0.04473049,0.36217032,-0.30987278
-5.90995498,1.37807153,-1.14927862,0.00824711,-0.00562370,0.29265126,-0.23728839,0.28785907,-0.23687383,0.47282267,-0.36988993,0.04761141,-0.04540055,0.37514987,-0.32139987
