energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,4.64010566,0.00253215,1.44004888,2.19210533,1.80370904,0.02579813,0.69237293
-5.99399700,4.68734097,0.00256214,1.45919604,2.18083350,1.83798764,0.02606111,0.69065832
-5.98799400,4.73127390,0.00260245,1.47731120,2.16835504,1.87072425,0.02636874,0.68876061
-5.98199100,4.77197694,0.00265369,1.49438381,2.15527525,1.90170862,0.02672327,0.68681497
-5.97598799,4.80947336,0.00271630,1.51039161,2.14215892,1.93071924,0.02712666,0.68494143
-5.96998499,4.84376683,0.00279056,1.52530958,2.12952672,1.95754048,0.02758096,0.68324791
-5.96398199,4.87487562,0.00287665,1.53912037,2.11785434,1.98198135,0.02808864,0.68183405
-5.95797899,4.90286900,0.00297465,1.55182544,2.10757406,2.00389483,0.02865299,0.68079533
-5.95197599,4.92790307,0.00308457,1.56345620,2.09907811,2.02319635,0.02927838,0.68022715
-5.94597299,4.95025332,0.00320638,1.57408432,2.09272334,2.03988037,0.02997050,0.68022832
-5.93996998,4.97034111,0.00334005,1.58383040,2.08883645,2.05403378,0.03073647,0.68090374
-5.93396698,4.98875183,0.00348549,1.59287013,2.08771909,2.06584511,0.03158486,0.68236570
-5.92796398,5.00624268,0.00364265,1.60143749,2.08965213,2.07560868,0.03252547,0.68473385
-5.92196098,5.02373871,0.00381142,1.60982441,2.09489860,2.08372315,0.03356909,0.68813344
-5.91595798,5.04231651,0.00399168,1.61837652,2.10370468,2.09068421,0.03472698,0.69269200
-5.90995498,5.06317560,0.00418321,1.62748519,2.11629851,2.09707152,0.03601026,0.69853448
-5.90395198,5.08759846,0.00438570,1.63757582,2.13288662,2.10353033,0.03742923,0.70577706
-5.89794897,5.11690084,0.00459868,1.64909300,2.15364811,2.11074856,0.03899248,0.71451986
-5.89194597,5.15237477,0.00482147,1.66248314,2.17872678,2.11943037,0.04070603,0.72483916
-5.88594297,5.19522712,0.00505314,1.67817549,2.20822174,2.13026768,0.04257244,0.73677928
-5.87993997,5.24651727,0.00529243,1.69656247,2.24217722,2.14391081,0.04459001,0.75034495
-5.87393697,5.30709717,0.00553776,1.71798060,2.28057221,2.16094018,0.04675198,0.76549434
-5.86793397,5.37755770,0.00578715,1.74269297,2.32331116,2.18184022,0.04904602,0.78213363
-5.86193097,5.45818438,0.00603820,1.77087433,2.37021625,2.20697715,0.05145382,0.80011319
-5.85592796,5.54892561,0.00628814,1.80259987,2.42102257,2.23658175,0.05395097,0.81922611
-5.84992496,5.64937546,0.00653380,1.83783827,2.47537663,2.27073804,0.05650718,0.83920905
-5.84392196,5.75877269,0.00677166,1.87644954,2.53283902,2.30937855,0.05908666,0.85974586
-5.83791896,5.87601640,0.00699793,1.91818794,2.59289141,2.35228627,0.06164892,0.88047376
-5.83191596,5.99969796,0.00720861,1.96270974,2.65494808,2.39910324,0.06414978,0.90099214
-5.82591296,6.12814781,0.00739961,2.00958557,2.71837160,2.44934519,0.06654268,0.92087355
-5.81990995,6.25949477,0.00756685,2.05831653,2.78249214,2.50242125,0.06878009,0.93967669
-5.81390695,6.39173485,0.00770640,2.10835321,2.84662953,2.55765772,0.07081515,0.95696060
-5.80790395,6.52280591,0.00781462,2.15911648,2.91011683,2.61432434,0.07260333,0.97229967
-5.80190095,6.65066397,0.00788825,2.21001890,2.97232431,2.67166159,0.07410405,0.98529862
-5.79589795,6.77335736,0.00792461,2.26048548,3.03268221,2.72890764,0.07528220,0.99560679
-5.78989495,6.88909438,0.00792162,2.30997253,3.09070108,2.78532325,0.07610950,1.00293106
-5.78389195,6.99630125,0.00787795,2.35798378,3.14598832,2.84021360,0.07656560,1.00704670
