energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.59887148,-2.61977056,0.04596769,-0.05114621,0.12317845,-0.13486695,0.73277972,-0.71690886,0.38806012,-0.38753687,0.66349308,-0.63966749,0.30546228,-0.32434942,0.05065113,-0.05066203,1.29243386,-1.28870077
-5.99399700,2.64487787,-2.66419291,0.04532285,-0.05041176,0.12135833,-0.13276552,0.75972035,-0.74389923,0.39646960,-0.39627502,0.69403060,-0.67053925,0.30235708,-0.31997491,0.05043250,-0.05050847,1.32156419,-1.31738404
-5.98799400,2.68716263,-2.70501380,0.04457672,-0.04954368,0.11948003,-0.13051589,0.78528488,-0.76980357,0.40379938,-0.40400984,0.72317895,-0.70038342,0.29961429,-0.31575893,0.05009174,-0.05022814,1.34864124,-1.34422700
-5.98199100,2.72480531,-2.74158472,0.04372288,-0.04854230,0.11753653,-0.12813535,0.80904448,-0.79424340,0.40990434,-0.41060822,0.75047655,-0.72877699,0.29719540,-0.31174228,0.04963349,-0.04982899,1.37315242,-1.36883409
-5.97598799,2.75682756,-2.77317617,0.04275600,-0.04740857,0.11551488,-0.12563424,0.83056615,-0.81682614,0.41464710,-0.41594140,0.77545905,-0.75528273,0.29503387,-0.30793629,0.04906149,-0.04931814,1.39456148,-1.39077403
-5.96998499,2.78222887,-2.79900032,0.04167246,-0.04614454,0.11339765,-0.12301650,0.84942603,-0.83715551,0.41790289,-0.41988899,0.79767319,-0.77946093,0.29303924,-0.30432368,0.04837862,-0.04870168,1.41232664,-1.40959188
-5.96398199,2.80002663,-2.81823967,0.04047077,-0.04475365,0.11116454,-0.12028067,0.86522360,-0.85484343,0.41956442,-0.42234324,0.81669156,-0.80088226,0.29110234,-0.30086101,0.04758702,-0.04798458,1.42592091,-1.42482398
-5.95797899,2.80929867,-2.83008064,0.03915202,-0.04324103,0.10879421,-0.11742110,0.87759611,-0.86952266,0.41954673,-0.42321335,0.83212740,-0.81914157,0.28910142,-0.29748232,0.04668827,-0.04717075,1.43485358,-1.43601525
-5.95197599,2.80922622,-2.83375043,0.03772004,-0.04161378,0.10626599,-0.11442944,0.88623260,-0.88085992,0.41779148,-0.42242967,0.84364910,-0.83387193,0.28690874,-0.29410401,0.04568369,-0.04626316,1.43869207,-1.44273808
-5.94597299,2.79913525,-2.82855545,0.03618157,-0.03988106,0.10356164,-0.11129621,0.89088702,-0.88856890,0.41427082,-0.41994763,0.85099351,-0.84475826,0.28439756,-0.29063049,0.04457467,-0.04526402,1.43708278,-1.44461184
