energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up,Zn_p_up,Zn_d_up
-6.00000000,6.40442947,0.07722877,0.90469429,0.15143162,1.93240381,4.66534619,2.08210599,0.12641183,0.48689997
-5.99399700,6.15546832,0.07625118,0.86700173,0.14651362,1.85995874,4.50922956,1.95981535,0.12270302,0.48422434
-5.98799400,5.91288968,0.07544404,0.83034497,0.14240660,1.79046103,4.35210066,1.84038269,0.11947084,0.48084082
-5.98199100,5.67845394,0.07484215,0.79502436,0.13916890,1.72433050,4.19474575,1.72467788,0.11672627,0.47673214
-5.97598799,5.45378193,0.07447834,0.76131020,0.13684729,1.66194379,4.03791096,1.61348999,0.11447731,0.47189755
-5.96998499,5.24035690,0.07438237,0.72944232,0.13547695,1.60363726,3.88230861,1.50752772,0.11272897,0.46635582
-5.96398199,5.03952457,0.07457970,0.69962963,0.13508149,1.54970887,3.72862176,1.40742026,0.11148312,0.46014771
-5.95797899,4.85249049,0.07509035,0.67204967,0.13567313,1.50041892,3.57750659,1.31371816,0.11073829,0.45333749
-5.95197599,4.68031477,0.07592776,0.64684801,0.13725289,1.45598938,3.42959222,1.22689419,0.11048939,0.44601356
-5.94597299,4.52390430,0.07709781,0.62413763,0.13981078,1.41660227,3.28547810,1.14734391,0.11072727,0.43828801
-5.93996998,4.38400304,0.07859801,0.60399825,0.14332615,1.38239709,3.14572923,1.07538599,0.11143837,0.43029509
-5.93396698,4.26118130,0.08041694,0.58647577,0.14776796,1.35346771,3.01086961,1.01126243,0.11260433,0.42218864
-5.92796398,4.15582479,0.08253396,0.57158198,0.15309525,1.32985908,2.88137476,0.95513857,0.11420163,0.41413846
-5.92196098,4.06812465,0.08491932,0.55929447,0.15925756,1.31156406,2.75766382,0.90710310,0.11620137,0.40632584
-5.91595798,3.99806927,0.08753449,0.54955715,0.16619550,1.29852083,2.64009224,0.86716818,0.11856913,0.39893830
-5.90995498,3.94543873,0.09033299,0.54228115,0.17384135,1.29061099,2.52894562,0.83526977,0.12126500,0.39216377
-5.90395198,3.90980262,0.09326145,0.53734644,0.18211977,1.28765869,2.42443528,0.81126817,0.12424376,0.38618441
-5.89794897,3.89052151,0.09626109,0.53460396,0.19094852,1.28943083,2.32669616,0.79494905,0.12745522,0.38117026
-5.89194597,3.88675239,0.09926933,0.53387836,0.20023929,1.29563842,2.23578705,0.78602479,0.13084472,0.37727308
-5.88594297,3.89745786,0.10222175,0.53497127,0.20989850,1.30593898,2.15169343,0.78413641,0.13435380,0.37462039
-5.87993997,3.92141904,0.10505404,0.53766495,0.21982811,1.31994000,2.07433253,0.78885607,0.13792094,0.37331015
-5.87393697,3.95725162,0.10770408,0.54172621,0.22992649,1.33720319,2.00356036,0.79969010,0.14148244,0.37340625
-5.86793397,4.00342474,0.11011386,0.54691058,0.24008924,1.35724951,1.93918022,0.81608289,0.14497338,0.37493481
-5.86193097,4.05828202,0.11223135,0.55296633,0.25020990,1.37956469,1.88095201,0.83742151,0.14832860,0.37788176
-5.85592796,4.12006448,0.11401206,0.55963850,0.26018080,1.40360528,1.82860174,0.86304127,0.15148365,0.38219157
-5.84992496,4.18693468,0.11542034,0.56667263,0.26989376,1.42880494,1.78183062,0.89223227,0.15437584,0.38776732
-5.84392196,4.25700192,0.11643030,0.57381818,0.27924087,1.45458114,1.74032314,0.92424710,0.15694520,0.39447212
-5.83791896,4.32834804,0.11702630,0.58083162,0.28811524,1.48034213,1.70375371,0.95830966,0.15913537,0.40213191
-5.83191596,4.39905396,0.11720306,0.58747911,0.29641186,1.50549418,1.67179152,0.99362515,0.16089453,0.41053952
-5.82591296,4.46722643,0.11696537,0.59353879,0.30402848,1.52944928,1.64410348,1.02939131,0.16217619,0.41945991
-5.81990995,4.53102530,0.11632730,0.59880282,0.31086664,1.55163319,1.62035540,1.06481058,0.16294002,0.42863648
-5.81390695,4.58869093,0.11531125,0.60307907,0.31683281,1.57149390,1.60021138,1.09910318,0.16315250,0.43779814
-5.80790395,4.63857169,0.11394652,0.60619272,0.32183959,1.58851060,1.58333200,1.13152084,0.16278763,0.44666709
-5.80190095,4.67915137,0.11226784,0.60798760,0.32580712,1.60220293,1.56937166,1.16136069,0.16182747,0.45496678
-5.79589795,4.70907601,0.11031366,0.60832763,0.32866449,1.61214045,1.55797563,1.18797915,0.16026263,0.46243011
-5.78989495,4.72717976,0.10812446,0.60709808,0.33035127,1.61795222,1.54877739,1.21080516,0.15809270,0.46880724
-5.78389195,4.73250923,0.10574110,0.60420697,0.33081899,1.61933613,1.54139688,1.22935243,0.15532650,0.47387301
-5.77788894,4.72434551,0.10320326,0.59958632,0.33003261,1.61606768,1.53544011,1.24323013,0.15198226,0.47743354
-5.77188594,4.70222325,0.10054811,0.59319351,0.32797175,1.60800802,1.53050050,1.25215174,0.14808758,0.47933184
-5.76588294,4.66594592,0.09780916,0.58501237,0.32463186,1.59511065,1.52616234,1.25594154,0.14367929,0.47945221
-5.75987994,4.61559658,0.09501550,0.57505417,0.32002500,1.57742672,1.52200647,1.25453850,0.13880311,0.47772336
-5.75387694,4.55154345,0.09219121,0.56335835,0.31418029,1.55510836,1.51761795,1.24799740,0.13351312,0.47412004
-5.74787394,4.47443974,0.08935517,0.54999276,0.30714404,1.52840996,1.51259583,1.23648703,0.12787106,0.46866327
-5.74187094,4.38521738,0.08652111,0.53505352,0.29897930,1.49768704,1.50656438,1.22028559,0.12194549,0.46141909
-5.73586793,4.28507443,0.08369796,0.51866423,0.28976517,1.46339283,1.49918535,1.19977326,0.11581076,0.45249607
-5.72986493,4.17545622,0.08089042,0.50097463,0.27959547,1.42607223,1.49017075,1.17542240,0.10954594,0.44204146
-5.72386193,4.05803037,0.07809964,0.48215849,0.26857711,1.38635343,1.47929532,1.14778551,0.10323363,0.43023640
-5.71785893,3.93465629,0.07532418,0.46241095,0.25682805,1.34493735,1.46640797,1.11748143,0.09695875,0.41729025
-5.71185593,3.80734958,0.07256086,0.44194510,0.24447499,1.30258494,1.45144165,1.08518017,0.09080737,0.40343426
-5.70585293,3.67824233,0.06980578,0.42098802,0.23165077,1.26010292,1.43442082,1.05158690,0.08486558,0.38891484
-5.69984992,3.54954012,0.06705517,0.39977636,0.21849168,1.21832806,1.41546600,1.01742546,0.07921850,0.37398671
-5.69384692,3.42347683,0.06430624,0.37855150,0.20513468,1.17811060,1.39479505,0.98342192,0.07394936,0.35890597
-5.68784392,3.30226836,0.06155789,0.35755452,0.19171472,1.14029719,1.37272091,0.95028851,0.06913882,0.34392346
-5.68184092,3.18806642,0.05881124,0.33702111,0.17836212,1.10571373,1.34964561,0.91870842,0.06486442,0.32927853
-5.67583792,3.08291356,0.05606997,0.31717650,0.16520017,1.07514864,1.32605075,0.88932170,0.06120016,0.31519338
