energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-5.11155578,4.44527655,0.04555058,0.03134270,1.45619314,0.90295964,0.01745717,2.97929607,0.90558356,0.16348944
-5.10555278,4.40513559,0.04454546,0.03089389,1.37486871,0.93814770,0.01871138,2.94422749,0.90114549,0.16221193
-5.09954977,4.38074482,0.04353264,0.03065565,1.29591751,0.97831681,0.02006659,2.91913062,0.89895754,0.16165164
-5.09354677,4.37237787,0.04252421,0.03060987,1.21993619,1.02326816,0.02150852,2.90429964,0.89911514,0.16178388
-5.08754377,4.37981001,0.04152909,0.03073389,1.14741079,1.07267371,0.02301983,2.89970475,0.90161481,0.16256350
-5.08154077,4.40232186,0.04055296,0.03100126,1.07871247,1.12607896,0.02458034,2.90499204,0.90635155,0.16392624
-5.07553777,4.43871861,0.03959828,0.03138263,1.01409673,1.18290971,0.02616746,2.91949361,0.91311994,0.16579078
-5.06953477,4.48736495,0.03866450,0.03184670,0.95370613,1.24248301,0.02775660,2.94224818,0.92161874,0.16806124
-5.06353177,4.54623525,0.03774840,0.03236118,0.89757640,1.30402235,0.02932167,2.97203199,0.93145924,0.17063015
-5.05752876,4.61297793,0.03684451,0.03289367,0.84564568,1.36667656,0.03083573,3.00739922,0.94217710,0.17338183
-5.05152576,4.68499232,0.03594566,0.03341267,0.79776648,1.42954231,0.03227162,3.04673102,0.95324733,0.17619608
-5.04552276,4.75951575,0.03504359,0.03388843,0.75372000,1.49168937,0.03360263,3.08829155,0.96410200,0.17895203
-5.03951976,4.83371814,0.03412951,0.03429374,0.71323208,1.55218806,0.03480325,3.13028931,0.97415008,0.18153213
-5.03351676,4.90480089,0.03319482,0.03460467,0.67599026,1.61013785,0.03584981,3.17094170,0.98279863,0.18382602
-5.02751376,4.97009675,0.03223162,0.03480120,0.64166127,1.66469632,0.03672123,3.20854057,0.98947474,0.18573437
-5.02151076,5.02716714,0.03123334,0.03486770,0.60990834,1.71510739,0.03739954,3.24151646,0.99364720,0.18717236
-5.01550775,5.07389350,0.03019514,0.03479331,0.58040768,1.76072775,0.03787053,3.26849922,0.99484725,0.18807280
-5.00950475,5.10855961,0.02911431,0.03457218,0.55286359,1.80105071,0.03812412,3.28837301,0.99268761,0.18838882
-5.00350175,5.12992178,0.02799057,0.03420358,0.52702187,1.83572633,0.03815475,3.30032360,0.98687902,0.18809600
-4.99749875,5.13726474,0.02682625,0.03369188,0.50268093,1.86457739,0.03796157,3.30387644,0.97724376,0.18719392
-4.99149575,5.13044139,0.02562630,0.03304642,0.47970057,1.88761029,0.03754854,3.29892435,0.96372573,0.18570701
-4.98549275,5.10989504,0.02439835,0.03228125,0.45800810,1.90502063,0.03692440,3.28574376,0.94639667,0.18368488
-4.97948974,5.07666378,0.02315254,0.03141479,0.43760195,1.91719323,0.03610246,3.26499923,0.92545844,0.18120186
-4.97348674,5.03236685,0.02190139,0.03046945,0.41855251,1.92469636,0.03510033,3.23773616,0.90124142,0.17835605
-4.96748374,4.97917364,0.02065951,0.02947107,0.40100059,1.92827051,0.03393948,3.20536201,0.87419898,0.17526771
-4.96148074,4.91975652,0.01944339,0.02844847,0.38515356,1.92881179,0.03264475,3.16961662,0.84489860,0.17207714
-4.95547774,4.85722881,0.01827109,0.02743285,0.37127924,1.92735050,0.03124375,3.13253271,0.81400979,0.16894206
-4.94947474,4.79506994,0.01716196,0.02645722,0.35969808,1.92502540,0.02976621,3.09638754,0.78228939,0.16603460
-4.94347174,4.73703968,0.01613630,0.02555580,0.35077354,1.92305415,0.02824328,3.06364715,0.75056475,0.16353788
-4.93746873,4.68708373,0.01521515,0.02476343,0.34490117,1.92270099,0.02670686,3.03690444,0.71971539,0.16164233
-4.93146573,4.64923286,0.01441997,0.02411500,0.34249655,1.92524206,0.02518884,3.01881276,0.69065354,0.16054172
-4.92546273,4.62749794,0.01377243,0.02364482,0.34398226,1.93192947,0.02372047,3.01201625,0.66430417,0.16042898
-4.91945973,4.62576311,0.01329414,0.02338606,0.34977427,1.94395489,0.02233168,3.01907860,0.64158485,0.16149187
-4.91345673,4.64767925,0.01300641,0.02337013,0.36026782,1.96241356,0.02105053,3.04241162,0.62338587,0.16390857
-4.90745373,4.69656013,0.01293002,0.02362612,0.37582324,1.98826967,0.01990259,3.08420526,0.61055088,0.16784318
-4.90145073,4.77528329,0.01308497,0.02418014,0.39675178,2.02232412,0.01891057,3.14636034,0.60385823,0.17344122
-4.89544772,4.88619786,0.01349012,0.02505474,0.42330187,2.06518548,0.01809384,3.23042584,0.60400335,0.18082529
-4.88944472,5.03104172,0.01416290,0.02626829,0.45564615,2.11724522,0.01746815,3.33754200,0.61158208,0.19009077
-4.88344172,5.21086994,0.01511895,0.02783437,0.49386954,2.17865808,0.01704534,3.46839103,0.62707532,0.20130185
-4.87743872,5.42599688,0.01637162,0.02976113,0.53795880,2.24932833,0.01683321,3.62315684,0.65083494,0.21448797
-4.87143572,5.67595406,0.01793154,0.03205079,0.58779402,2.32890285,0.01683535,3.80149536,0.68307129,0.22964065
-4.86543272,5.95946563,0.01980606,0.03469905,0.64314243,2.41677139,0.01705114,4.00251692,0.72384243,0.24671107
-4.85942971,6.27444338,0.02199875,0.03769473,0.70365484,2.51207456,0.01747578,4.22478179,0.77304540,0.26560835
-4.85342671,6.61800246,0.02450877,0.04101939,0.76886526,2.61371967,0.01810038,4.46631005,0.83040984,0.28619878
-4.84742371,6.98649888,0.02733035,0.04464717,0.83819387,2.72040435,0.01891214,4.72460636,0.89549441,0.30830607
-4.84142071,7.37558898,0.03045228,0.04854479,0.91095353,2.83064745,0.01989458,4.99669988,0.96768628,0.33171278
-4.83541771,7.78031062,0.03385746,0.05267169,0.98635997,2.94282662,0.02102785,5.27919916,1.04620431,0.35616292
-4.82941471,8.19518475,0.03752255,0.05698046,1.06354561,3.05522151,0.02228909,5.56836114,1.13010603,0.38136585
-4.82341171,8.61433546,0.04141778,0.06141748,1.14157673,3.16606125,0.02365290,5.86017291,1.21829904,0.40700144
-4.81740870,9.03162567,0.04550692,0.06592379,1.21947363,3.27357461,0.02509179,6.15044430,1.30955671,0.43272634
-4.81140570,9.44080472,0.04974741,0.07043619,1.29623331,3.37604125,0.02657675,6.43490871,1.40253843,0.45818141
-4.80540270,9.83566356,0.05409075,0.07488857,1.37085390,3.47184190,0.02807782,6.70932919,1.49581418,0.48299995
