energy_ev,total_up,Au_p_up,Au_d_up,B_p_up,B_d_up,Se_s_up,Se_p_up
-6.00000000,5.13505495,1.13181851,4.41368387,0.14157916,0.00000000,0.00467865,0.35659115
-5.99399700,5.07103796,1.09778996,4.37332317,0.13727589,0.00000000,0.00450818,0.34343529
-5.98799400,5.00812306,1.06555188,4.33283694,0.13332467,0.00000000,0.00434649,0.33092834
-5.98199100,4.94715073,1.03556805,4.29275050,0.12978745,0.00000000,0.00419356,0.31927579
-5.97598799,4.88888241,1.00821555,4.25356074,0.12671783,0.00000000,0.00404900,0.30865934
-5.96998499,4.83397668,0.98377410,4.21572019,0.12415884,0.00000000,0.00391215,0.29923162
-5.96398199,4.78296830,0.96241939,4.17962155,0.12214114,0.00000000,0.00378208,0.29111195
-5.95797899,4.73625049,0.94422023,4.14558307,0.12068168,0.00000000,0.00365765,0.28438319
-5.95197599,4.69406075,0.92913956,4.11383515,0.11978289,0.00000000,0.00353760,0.27908988
-5.94597299,4.65647065,0.91703887,4.08450870,0.11943235,0.00000000,0.00342057,0.27523745
-5.93996998,4.62337999,0.90768594,4.05762574,0.11960291,0.00000000,0.00330524,0.27279265
-5.93396698,4.59451563,0.90076524,4.03309287,0.12025336,0.00000000,0.00319032,0.27168511
-5.92796398,4.56943545,0.89589085,4.01069818,0.12132945,0.00000000,0.00307467,0.27180987
-5.92196098,4.54753756,0.89262116,3.99011214,0.12276540,0.00000000,0.00295732,0.27303084
-5.91595798,4.52807506,0.89047497,3.97089290,0.12448577,0.00000000,0.00283753,0.27518512
-5.90995498,4.51017632,0.88894851,3.95249634,0.12640762,0.00000000,0.00271480,0.27808795
-5.90395198,4.49287047,0.88753271,3.93429086,0.12844296,0.00000000,0.00258891,0.28153823
-5.89794897,4.47511787,0.88573045,3.91557698,0.13050144,0.00000000,0.00245990,0.28532441
-5.89194597,4.45584457,0.88307304,3.89561108,0.13249307,0.00000000,0.00232805,0.28923061
-5.88594297,4.43398015,0.87913560,3.87363287,0.13433103,0.00000000,0.00219390,0.29304289
-5.87993997,4.40849739,0.87355090,3.84889553,0.13593442,0.00000000,0.00205820,0.29655528
-5.87393697,4.37845263,0.86602120,3.82069742,0.13723088,0.00000000,0.00192186,0.29957568
-5.86793397,4.34302511,0.85632777,3.78841408,0.13815887,0.00000000,0.00178595,0.30193128
-5.86193097,4.30155369,0.84433791,3.75152901,0.13866972,0.00000000,0.00165159,0.30347341
-5.85592796,4.25356942,0.83000911,3.70966193,0.13872921,0.00000000,0.00151999,0.30408167
-5.84992496,4.19882230,0.81339042,3.66259304,0.13831870,0.00000000,0.00139237,0.30366721
-5.84392196,4.13730115,0.79462091,3.61028206,0.13743572,0.00000000,0.00126994,0.30217508
-5.83791896,4.06924536,0.77392538,3.55288105,0.13609400,0.00000000,0.00115385,0.29958560
-5.83191596,3.99514801,0.75160742,3.49074041,0.13432297,0.00000000,0.00104520,0.29591459
-5.82591296,3.91574997,0.72804013,3.42440743,0.13216670,0.00000000,0.00094504,0.29121265
-5.81990995,3.83202522,0.70365485,3.35461766,0.12968236,0.00000000,0.00085431,0.28556331
-5.81390695,3.74515786,0.67892821,3.28227913,0.12693825,0.00000000,0.00077391,0.27908031
-5.80790395,3.65651171,0.65436798,3.20845038,0.12401140,0.00000000,0.00070464,0.27190396
-5.80190095,3.56759371,0.63049820,3.13431291,0.12098502,0.00000000,0.00064726,0.26419673
-5.79589795,3.48001257,0.60784392,3.06113953,0.11794569,0.00000000,0.00060248,0.25613835
