energy_ev,total_up,Bi_p_up,Bi_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,4.97530283,0.41937410,0.00452832,3.12923028,2.23943103,0.01518733,3.21610594
-5.99399700,5.05810664,0.44346149,0.00464587,3.24135147,2.24986437,0.01540104,3.24801505
-5.98799400,5.15169725,0.46858837,0.00478006,3.36068664,2.26472830,0.01561698,3.28659666
-5.98199100,5.25609516,0.49464132,0.00493119,3.48676016,2.28419136,0.01584033,3.33199326
-5.97598799,5.37085589,0.52148026,0.00509920,3.61881021,2.30818487,0.01607632,3.38402607
-5.96998499,5.49506617,0.54893851,0.00528364,3.75579199,2.33640150,0.01633006,3.44219308
-5.96398199,5.62735930,0.57682389,0.00548365,3.89639314,2.36830402,0.01660632,3.50568039
-5.95797899,5.76594967,0.60492074,0.00569795,4.03906114,2.40314358,0.01690936,3.57338701
-5.95197599,5.90868554,0.63299312,0.00592492,4.18204215,2.43998720,0.01724270,3.64396197
-5.94597299,6.05311797,0.66078907,0.00616255,4.32342986,2.47775300,0.01760903,3.71585243
-5.93996998,6.19658335,0.68804585,0.00640855,4.46122251,2.51525183,0.01801009,3.78736058
-5.93396698,6.33629601,0.71449618,0.00666039,4.59338567,2.55123348,0.01844657,3.85670700
-5.92796398,6.46944677,0.73987503,0.00691534,4.71791825,2.58443528,0.01891812,3.92209756
-5.92196098,6.59330336,0.76392691,0.00717058,4.83291857,2.61363107,0.01942335,3.98179092
-5.91595798,6.70530808,0.78641329,0.00742326,4.93664778,2.63767831,0.01995990,4.03416355
-5.90995498,6.80316841,0.80711977,0.00767056,5.02758764,2.65556132,0.02052453,4.07776955
-5.90395198,6.88493675,0.82586280,0.00790980,5.10449017,2.66642879,0.02111328,4.11139256
-5.89794897,6.94907579,0.84249549,0.00813846,5.16641704,2.66962409,0.02172159,4.13408760
-5.89194597,6.99450686,0.85691236,0.00835430,5.21276693,2.66470713,0.02234447,4.14521128
-5.88594297,7.02063947,0.86905266,0.00855534,5.24329008,2.65146706,0.02297672,4.14443930
-5.87993997,7.02738115,0.87890222,0.00873996,5.25808934,2.62992562,0.02361305,4.13177067
-5.87393697,7.01512756,0.88649367,0.00890689,5.25760823,2.60033107,0.02424825,4.10751901
-5.86793397,6.98473390,0.89190493,0.00905524,5.24260669,2.56314343,0.02487737,4.07229172
-5.86193097,6.93746929,0.89525625,0.00918447,5.21412600,2.51901198,0.02549573,4.02695807
-5.85592796,6.87495671,0.89670561,0.00929442,5.17344457,2.46874604,0.02609908,3.97260833
