energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,2.31799624,0.00062900,0.73217533,0.02970616,2.19570140,1.47266824,0.02829697,0.40492584
-5.99399700,2.38167460,0.00075804,0.72846134,0.03321819,2.27889770,1.48354971,0.03232500,0.43525804
-5.98799400,2.45353383,0.00091064,0.72465433,0.03714756,2.37179159,1.49390285,0.03669738,0.46992687
-5.98199100,2.53392721,0.00108884,0.72108662,0.04147847,2.47497003,1.50425642,0.04140233,0.50881845
-5.97598799,2.62305035,0.00129463,0.71808382,0.04618896,2.58884561,1.51508429,0.04642067,0.55175972
-5.96998499,2.72089496,0.00152990,0.71594775,0.05125054,2.71360510,1.52677482,0.05172542,0.59851149
-5.96398199,2.82720890,0.00179628,0.71494047,0.05662797,2.84916371,1.53960441,0.05728166,0.64876287
-5.95797899,2.94146507,0.00209509,0.71527016,0.06227917,2.99512798,1.55371678,0.06304660,0.70212756
-5.95197599,3.06284145,0.00242722,0.71707963,0.06815529,3.15076959,1.56910901,0.06896996,0.75814257
-5.94597299,3.19021410,0.00279302,0.72043809,0.07420100,3.31501220,1.58562537,0.07499452,0.81626968
-5.93996998,3.32216410,0.00319222,0.72533645,0.08035496,3.48643271,1.60295913,0.08105712,0.87590008
-5.93396698,3.45699892,0.00362389,0.73168653,0.08655052,3.66327780,1.62066242,0.08708976,0.93636204
-5.92796398,3.59278784,0.00408633,0.73932404,0.09271657,3.84349589,1.63816358,0.09302104,0.99693202
-5.92196098,3.72741053,0.00457712,0.74801522,0.09877868,4.02478405,1.65479106,0.09877780,1.05684871
-5.91595798,3.85861693,0.00509308,0.75746684,0.10466032,4.20464864,1.66980276,0.10428690,1.11532988
-5.90995498,3.98409636,0.00563034,0.76733902,0.11028429,4.38047784,1.68241920,0.10947719,1.17159167
-5.90395198,4.10155316,0.00618440,0.77726020,0.11557428,4.54962366,1.69185883,0.11428144,1.22486955
-5.89794897,4.20878576,0.00675029,0.78684375,0.12045644,4.70949057,1.69737387,0.11863840,1.27444043
-5.89194597,4.30376596,0.00732269,0.79570524,0.12486110,4.85762735,1.69828484,0.12249465,1.31964501
-5.88594297,4.38471525,0.00789614,0.80347978,0.12872438,4.99181864,1.69401215,0.12580640,1.35990967
-5.87993997,4.45017470,0.00846526,0.80983856,0.13198980,5.11017244,1.68410343,0.12854107,1.39476683
-5.87393697,4.49906571,0.00902492,0.81450399,0.13460979,5.21119969,1.66825532,0.13067857,1.42387307
-5.86793397,4.53073860,0.00957057,0.81726265,0.13654696,5.29388255,1.64632895,0.13221229,1.44702402
-5.86193097,4.54500705,0.01009837,0.81797567,0.13777529,5.35772776,1.61835843,0.13314963,1.46416532
-5.85592796,4.54216642,0.01060545,0.81658592,0.13828088,5.40280233,1.58455233,0.13351224,1.47539895
-5.84992496,4.52299496,0.01109005,0.81312187,0.13806261,5.42974921,1.54528809,0.13333567,1.48098444
-5.84392196,4.48873731,0.01155166,0.80769777,0.13713225,5.43978122,1.50109992,0.13266869,1.48133455
-5.83791896,4.44107054,0.01199108,0.80051032,0.13551441,5.43465252,1.45266088,0.13157208,1.47700535
-5.83191596,4.38205351,0.01241042,0.79183166,0.13324596,5.41660757,1.40075994,0.13011700,1.46868071
-5.82591296,4.31406118,0.01281300,0.78199917,0.13037516,5.38830867,1.34627526,0.12838304,1.45715161
-5.81990995,4.23970595,0.01320324,0.77140238,0.12696048,5.35274409,1.29014483,0.12645584,1.44329080
-5.81390695,4.16174883,0.01358643,0.76046739,0.12306900,5.31311959,1.23333567,0.12442449,1.42802351
-5.80790395,4.08300374,0.01396845,0.74963958,0.11877461,5.27273721,1.17681292,0.12237879,1.41229544
-5.80190095,4.00623833,0.01435542,0.73936516,0.11415601,5.23486580,1.12151000,0.12040638,1.39703892
-5.79589795,3.93407532,0.01475337,0.73007239,0.10929451,5.20260844,1.06830092,0.11858990,1.38313888
-5.78989495,3.86889830,0.01516781,0.72215321,0.10427182,5.17877215,1.01797578,0.11700433,1.37139970
-5.78389195,3.81276567,0.01560338,0.71594611,0.09916789,5.16574546,0.97122025,0.11571452,1.36251467
-5.77788894,3.76733656,0.01606344,0.71172096,0.09405877,5.16538952,0.92859962,0.11477313,1.35703916
-5.77188594,3.73381175,0.01654979,0.70966641,0.08901472,5.17894761,0.89054803,0.11421894,1.35536898
-5.76588294,3.71289235,0.01706235,0.70988066,0.08409863,5.20697761,0.85736288,0.11407577,1.35772482
-5.75987994,3.70475817,0.01759904,0.71236574,0.07936461,5.24931101,0.82920466,0.11435194,1.36414373
-5.75387694,3.70906699,0.01815561,0.71702590,0.07485715,5.30504088,0.80610192,0.11504030,1.37447810
-5.74787394,3.72497483,0.01872572,0.72367002,0.07061051,5.37254005,0.78796102,0.11611902,1.38840237
-5.74187094,3.75117672,0.01930100,0.73201816,0.06664859,5.44950933,0.77458016,0.11755284,1.40542732
-5.73586793,3.78596630,0.01987129,0.74171177,0.06298523,5.53305441,0.76566688,0.11929499,1.42492142
-5.72986493,3.82731179,0.02042493,0.75232746,0.05962483,5.61978837,0.76085832,0.12128955,1.44613839
-5.72386193,3.87294503,0.02094917,0.76339347,0.05656331,5.70595602,0.75974314,0.12347417,1.46824979
-5.71785893,3.92045979,0.02143063,0.77440824,0.05378941,5.78757476,0.76188425,0.12578309,1.49038120
-5.71185593,3.96741482,0.02185583,0.78486030,0.05128606,5.86058622,0.76684112,0.12815024,1.51165043
-5.70585293,4.01143724,0.02221166,0.79424849,0.04903208,5.92101216,0.77419077,0.13051233,1.53120587
-5.69984992,4.05032134,0.02248599,0.80210167,0.04700375,5.96510804,0.78354641,0.13281170,1.54826342
-5.69384692,4.08211845,0.02266814,0.80799703,0.04517646,5.98950782,0.79457282,0.13499894,1.56214005
-5.68784392,4.10521389,0.02274932,0.81157613,0.04352629,5.99135378,0.80699777,0.13703490,1.57228262
-5.68184092,4.11838730,0.02272308,0.81255808,0.04203135,5.96840615,0.82061892,0.13889225,1.57829057
-5.67583792,4.12085405,0.02258555,0.81074912,0.04067298,5.91912813,0.83530587,0.14055629,1.57993134
-5.66983492,4.11228581,0.02233567,0.80604840,0.03943669,5.84274307,0.85099722,0.14202512,1.57714804
-5.66383192,4.09280971,0.02197531,0.79844970,0.03831276,5.73926206,0.86769288,0.14330905,1.57005894
-5.65782891,4.06298651,0.02150921,0.78803893,0.03729666,5.60948130,0.88544196,0.14442931,1.55894898
-5.65182591,4.02376929,0.02094487,0.77498803,0.03638902,5.45495019,0.90432702,0.14541617,1.54425376
-5.64582291,3.97644493,0.02029231,0.75954513,0.03559544,5.27791213,0.92444541,0.14630653,1.52653696
-5.63981991,3.92256179,0.01956377,0.74202202,0.03492597,5.08122141,0.94588896,0.14714110,1.50646236
-5.63381691,3.86384735,0.01877330,0.72277928,0.03439433,4.86824020,0.96872307,0.14796136,1.48476188
-5.62781391,3.80212015,0.01793628,0.70220997,0.03401699,4.64272047,0.99296650,0.14880646,1.46220131
-5.62181091,3.73920055,0.01706896,0.68072274,0.03381203,4.40867612,1.01857319,0.14971027,1.43954542
-5.61580790,3.67682466,0.01618794,0.65872502,0.03379794,4.17025060,1.04541721,0.15069861,1.41752409
-5.60980490,3.61656570,0.01530963,0.63660726,0.03399235,3.93158531,1.07328192,0.15178708,1.39680103
-5.60380190,3.55976633,0.01444983,0.61472881,0.03441075,3.69669372,1.10185421,0.15297929,1.37794662
