energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.42738204,0.56585625,0.45879496,0.00776848,0.14555058,0.42223014,0.00000000,0.51867692,0.05757617
-5.99399700,1.40593975,0.54455582,0.45208150,0.00812689,0.13961193,0.41890134,0.00000000,0.50432332,0.05716950
-5.98799400,1.38467762,0.52311537,0.44681656,0.00849302,0.13411673,0.41507160,0.00000000,0.48863656,0.05665323
-5.98199100,1.36370324,0.50150847,0.44296569,0.00886685,0.12903865,0.41082449,0.00000000,0.47170166,0.05603213
-5.97598799,1.34323343,0.47976505,0.44051716,0.00924794,0.12436167,0.40627651,0.00000000,0.45365829,0.05531653
-5.96998499,1.32358029,0.45796745,0.43947964,0.00963536,0.12007953,0.40157135,0.00000000,0.43469522,0.05452182
-5.96398199,1.30513171,0.43624396,0.43987767,0.01002753,0.11619455,0.39687285,0.00000000,0.41504277,0.05366775
-5.95797899,1.28832739,0.41476048,0.44174540,0.01042223,0.11271571,0.39235700,0.00000000,0.39496372,0.05277756
-5.95197599,1.27363201,0.39371062,0.44511895,0.01081656,0.10965640,0.38820339,0.00000000,0.37474332,0.05187701
-5.94597299,1.26150699,0.37330512,0.45002811,0.01120694,0.10703183,0.38458658,0.00000000,0.35467881,0.05099337
-5.93996998,1.25238255,0.35376093,0.45648786,0.01158923,0.10485631,0.38166782,0.00000000,0.33506910,0.05015427
-5.93396698,1.24663170,0.33529067,0.46449039,0.01195876,0.10314073,0.37958750,0.00000000,0.31620503,0.04938676
-5.92796398,1.24454729,0.31809292,0.47399815,0.01231051,0.10189017,0.37845863,0.00000000,0.29836062,0.04871624
-5.92196098,1.24632369,0.30234372,0.48493855,0.01263930,0.10110209,0.37836174,0.00000000,0.28178558,0.04816566
-5.91595798,1.25204364,0.28818964,0.49720059,0.01293993,0.10076487,0.37934133,0.00000000,0.26669937,0.04775471
-5.90995498,1.26167116,0.27574259,0.51063388,0.01320743,0.10085708,0.38140392,0.00000000,0.25328685,0.04749925
-5.90395198,1.27505062,0.26507648,0.52505005,0.01343719,0.10134735,0.38451789,0.00000000,0.24169556,0.04741086
-5.89794897,1.29191196,0.25622577,0.54022673,0.01362524,0.10219489,0.38861498,0.00000000,0.23203455,0.04749659
-5.89194597,1.31188159,0.24918575,0.55591386,0.01376833,0.10335063,0.39359332,0.00000000,0.22437472,0.04775884
-5.88594297,1.33449850,0.24391450,0.57184202,0.01386409,0.10475885,0.39932186,0.00000000,0.21875032,0.04819544
-5.87993997,1.35923437,0.24033618,0.58773254,0.01391109,0.10635927,0.40564602,0.00000000,0.21516154,0.04879982
-5.87393697,1.38551688,0.23834557,0.60330856,0.01390894,0.10808943,0.41239413,0.00000000,0.21357801,0.04956140
-5.86793397,1.41275481,0.23781347,0.61830687,0.01385821,0.10988724,0.41938468,0.00000000,0.21394278,0.05046602
-5.86193097,1.44036381,0.23859277,0.63248945,0.01376039,0.11169348,0.42643377,0.00000000,0.21617682,0.05149648
-5.85592796,1.46779166,0.24052488,0.64565446,0.01361784,0.11345428,0.43336271,0.00000000,0.22018367,0.05263315
-5.84992496,1.49454169,0.24344635,0.65764589,0.01343359,0.11512326,0.44000548,0.00000000,0.22585429,0.05385467
-5.84392196,1.52019366,0.24719541,0.66836134,0.01321124,0.11666332,0.44621566,0.00000000,0.23307170,0.05513864
-5.83791896,1.54442108,0.25161825,0.67775766,0.01295475,0.11804801,0.45187281,0.00000000,0.24171566,0.05646232
-5.83191596,1.56700445,0.25657490,0.68585408,0.01266828,0.11926238,0.45688798,0.00000000,0.25166694,0.05780333
-5.82591296,1.58784008,0.26194451,0.69273263,0.01235602,0.12030331,0.46120823,0.00000000,0.26281146,0.05914035
-5.81990995,1.60694427,0.26762997,0.69853599,0.01202206,0.12117927,0.46482010,0.00000000,0.27504394,0.06045376
-5.81390695,1.62445285,0.27356166,0.70346275,0.01167023,0.12190970,0.46775178,0.00000000,0.28827117,0.06172616
-5.80790395,1.64061645,0.27970032,0.70776055,0.01130403,0.12252380,0.47007405,0.00000000,0.30241477,0.06294294
-5.80190095,1.65579162,0.28603887,0.71171720,0.01092658,0.12305914,0.47189984,0.00000000,0.31741338,0.06409261
-5.79589795,1.67042842,0.29260309,0.71565043,0.01054057,0.12355982,0.47338241,0.00000000,0.33322409,0.06516716
-5.78989495,1.68505493,0.29945117,0.71989664,0.01014829,0.12407460,0.47471217,0.00000000,0.34982317,0.06616218
-5.78389195,1.70025922,0.30667193,0.72479917,0.00975166,0.12465487,0.47611206,0.00000000,0.36720591,0.06707690
-5.77788894,1.71666929,0.31438178,0.73069644,0.00935229,0.12535259,0.47783168,0.00000000,0.38538547,0.06791410
-5.77188594,1.73493157,0.32272041,0.73791061,0.00895157,0.12621839,0.48014006,0.00000000,0.40439077,0.06867983
-5.76588294,1.75568851,0.33184522,0.74673680,0.00855071,0.12729972,0.48331742,0.00000000,0.42426327,0.06938304
