energy_ev,total_up,Ag_p_up,Ag_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,4.42362480,1.31866116,3.12602856,0.26648348,0.00244518,0.78289527,0.00000000
-5.99399700,4.37718089,1.34162928,3.06799345,0.27360119,0.00235682,0.78481769,0.00000000
-5.98799400,4.33319385,1.36155412,3.01391923,0.27986305,0.00227733,0.78685929,0.00000000
-5.98199100,4.29122816,1.37799683,2.96368078,0.28514706,0.00220641,0.78887946,0.00000000
-5.97598799,4.25087167,1.39059693,2.91714216,0.28935146,0.00214368,0.79073544,0.00000000
-5.96998499,4.21175771,1.39908442,2.87417055,0.29239818,0.00208871,0.79228579,0.00000000
-5.96398199,4.17357962,1.40328843,2.83464464,0.29423536,0.00204098,0.79339359,0.00000000
-5.95797899,4.13609730,1.40314185,2.79845714,0.29483893,0.00199998,0.79392908,0.00000000
-5.95197599,4.09913589,1.39868184,2.76551163,0.29421321,0.00196515,0.79377187,0.00000000
-5.94597299,4.06257711,1.39004629,2.73571441,0.29239037,0.00193592,0.79281268,0.00000000
-5.93996998,4.02634486,1.37746641,2.70896249,0.28942893,0.00191169,0.79095451,0.00000000
-5.93396698,3.99038644,1.36125602,2.68512901,0.28541135,0.00189186,0.78811352,0.00000000
-5.92796398,3.95465165,1.34179811,2.66404789,0.28044083,0.00187578,0.78421961,0.00000000
-5.92196098,3.91907173,1.31952951,2.64549921,0.27463744,0.00186281,0.77921676,0.00000000
-5.91595798,3.88354030,1.29492432,2.62919714,0.26813398,0.00185226,0.77306334,0.00000000
-5.90995498,3.84789819,1.26847716,2.61478165,0.26107139,0.00184343,0.76573236,0.00000000
-5.90395198,3.81192368,1.24068681,2.60181542,0.25359434,0.00183560,0.75721184,0.00000000
-5.89794897,3.77532935,1.21204113,2.58978660,0.24584690,0.00182804,0.74750515,0.00000000
-5.89194597,3.73776609,1.18300373,2.57811785,0.23796847,0.00182002,0.73663150,0.00000000
-5.88594297,3.69883436,1.15400290,2.56618153,0.23009034,0.00181085,0.72462643,0.00000000
-5.87993997,3.65810211,1.12542302,2.55332056,0.22233262,0.00179985,0.71154220,0.00000000
-5.87393697,3.61512847,1.09759869,2.53887393,0.21480200,0.00178642,0.69744816,0.00000000
-5.86793397,3.56949161,1.07081135,2.52220556,0.20758998,0.00177002,0.68243087,0.00000000
-5.86193097,3.52081917,1.04528852,2.50273483,0.20077192,0.00175023,0.66659389,0.00000000
-5.85592796,3.46881905,1.02120501,2.47996715,0.19440660,0.00172675,0.65005730,0.00000000
-5.84992496,3.41330874,0.99868614,2.45352255,0.18853644,0.00169941,0.63295675,0.00000000
-5.84392196,3.35424108,0.97781231,2.42316071,0.18318815,0.00166820,0.61544216,0.00000000
-5.83791896,3.29172475,0.95862459,2.38880068,0.17837387,0.00163327,0.59767598,0.00000000
