energy_ev,total_up,B_p_up,B_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,2.45212184,0.07312803,0.00000000,0.52589487,0.75195420,0.13533845,1.30883041
-5.99399700,2.42209827,0.07252323,0.00000000,0.51463483,0.73737556,0.13482793,1.30498513
-5.98799400,2.39213178,0.07177267,0.00000000,0.50307515,0.72221268,0.13425998,1.30215454
-5.98199100,2.36261464,0.07089331,0.00000000,0.49140683,0.70665585,0.13364080,1.30032679
-5.97598799,2.33391222,0.06990602,0.00000000,0.47982576,0.69089521,0.13297593,1.29945537
-5.96998499,2.30637831,0.06883575,0.00000000,0.46853348,0.67512243,0.13227132,1.29947332
-5.96398199,2.28037039,0.06771164,0.00000000,0.45773765,0.65953221,0.13153448,1.30030763
-5.95797899,2.25626352,0.06656691,0.00000000,0.44765202,0.64432337,0.13077549,1.30189295
-5.95197599,2.23446159,0.06543861,0.00000000,0.43849590,0.62969942,0.13000793,1.30418339
-5.94597299,2.21540501,0.06436725,0.00000000,0.43049280,0.61586824,0.12924943,1.30716181
-5.93996998,2.19957390,0.06339619,0.00000000,0.42386842,0.60304108,0.12852218,1.31084594
-5.93396698,2.18748662,0.06257098,0.00000000,0.41884786,0.59143062,0.12785290,1.31529075
-5.92796398,2.17969325,0.06193841,0.00000000,0.41565212,0.58124832,0.12727271,1.32058726
-5.92196098,2.17676457,0.06154564,0.00000000,0.41449407,0.57270110,0.12681652,1.32685754
-5.91595798,2.17927685,0.06143904,0.00000000,0.41557380,0.56598748,0.12652225,1.33424657
-5.90995498,2.18779332,0.06166316,0.00000000,0.41907382,0.56129342,0.12642966,1.34291142
-5.90395198,2.20284326,0.06225949,0.00000000,0.42515398,0.55878806,0.12657909,1.35300854
-5.89794897,2.22489996,0.06326539,0.00000000,0.43394643,0.55861947,0.12700997,1.36467997
-5.89194597,2.25435844,0.06471290,0.00000000,0.44555080,0.56091071,0.12775920,1.37803961
-5.88594297,2.29151434,0.06662777,0.00000000,0.46002972,0.56575624,0.12885957,1.39316031
-5.87993997,2.33654486,0.06902840,0.00000000,0.47740477,0.57321886,0.13033820,1.41006265
-5.87393697,2.38949273,0.07192508,0.00000000,0.49765321,0.58332728,0.13221501,1.42870632
-5.86793397,2.45025391,0.07531922,0.00000000,0.52070536,0.59607430,0.13450150,1.44898447
-5.86193097,2.51856948,0.07920282,0.00000000,0.54644283,0.61141566,0.13719962,1.47072141
-5.85592796,2.59402211,0.08355813,0.00000000,0.57469777,0.62926951,0.14030099,1.49367388
-5.84992496,2.67603699,0.08835740,0.00000000,0.60525302,0.64951649,0.14378641,1.51753571
-5.84392196,2.76388722,0.09356295,0.00000000,0.63784333,0.67200027,0.14762572,1.54194550
-5.83791896,2.85670321,0.09912742,0.00000000,0.67215763,0.69652867,0.15177794,1.56649693
-5.83191596,2.95348564,0.10499420,0.00000000,0.70784228,0.72287506,0.15619187,1.59075099
-5.82591296,3.05312153,0.11109815,0.00000000,0.74450547,0.75078021,0.16080692,1.61424941
-5.81990995,3.15440262,0.11736647,0.00000000,0.78172245,0.77995444,0.16555428,1.63652853
-5.81390695,3.25604573,0.12371986,0.00000000,0.81904182,0.81008017,0.17035837,1.65713303
-5.80790395,3.35671429,0.13007381,0.00000000,0.85599255,0.84081476,0.17513852,1.67562856
-5.80190095,3.45504079,0.13634012,0.00000000,0.89209186,0.87179386,0.17981081,1.69161313
-5.79589795,3.54964960,0.14242857,0.00000000,0.92685356,0.90263515,0.18429003,1.70472652
-5.78989495,3.63917991,0.14824867,0.00000000,0.95979699,0.93294273,0.18849176,1.71465767
-5.78389195,3.72230853,0.15371158,0.00000000,0.99045612,0.96231202,0.19233433,1.72115001
-5.77788894,3.79777236,0.15873195,0.00000000,1.01838886,0.99033535,0.19574091,1.72400456
-5.77188594,3.86439033,0.16322985,0.00000000,1.04318606,1.01660823,0.19864132,1.72308131
-5.76588294,3.92108463,0.16713259,0.00000000,1.06448034,1.04073622,0.20097376,1.71829892
