energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,4.06964142,0.00581325,0.54241088,1.24906292,1.18228820,1.41613672,1.10739823,1.71049503,0.00000000
-5.99399700,4.13335227,0.00588327,0.54614914,1.26695641,1.21802961,1.42889475,1.11953936,1.73424309,0.00000000
-5.98799400,4.19112099,0.00593827,0.55049548,1.28278785,1.24947510,1.43988858,1.13133502,1.75465585,0.00000000
-5.98199100,4.24129087,0.00597656,0.55537600,1.29599793,1.27594196,1.44876156,1.14236855,1.77098890,0.00000000
-5.97598799,4.28222421,0.00599646,0.56068570,1.30603330,1.29682316,1.45516357,1.15219481,1.78252577,0.00000000
-5.96998499,4.31237519,0.00599636,0.56629457,1.31237063,1.31161045,1.45876977,1.16036148,1.78861030,0.00000000
-5.96398199,4.33035938,0.00597485,0.57205430,1.31453968,1.31991431,1.45929834,1.16643032,1.78867674,0.00000000
-5.95797899,4.33501613,0.00593076,0.57780530,1.31214431,1.32147949,1.45652609,1.16999748,1.78227621,0.00000000
-5.95197599,4.32546067,0.00586325,0.58338347,1.30488024,1.31619555,1.45030112,1.17071162,1.76909789,0.00000000
-5.94597299,4.30112329,0.00577183,0.58862657,1.29254887,1.30410173,1.44055167,1.16828915,1.74898427,0.00000000
-5.93996998,4.26177387,0.00565648,0.59337969,1.27506643,1.28538612,1.42729073,1.16252570,1.72193938,0.00000000
-5.93396698,4.20753072,0.00551759,0.59749976,1.25246807,1.26037888,1.41061612,1.15330356,1.68813013,0.00000000
-5.92796398,4.13885381,0.00535605,0.60085886,1.22490706,1.22954028,1.39070625,1.14059471,1.64788050,0.00000000
-5.92196098,4.05652310,0.00517319,0.60334625,1.19264897,1.19344381,1.36781169,1.12445953,1.60165932,0.00000000
-5.91595798,3.96160368,0.00497080,0.60486929,1.15606155,1.15275558,1.34224328,1.10504150,1.55006235,0.00000000
-5.90995498,3.85539993,0.00475103,0.60535325,1.11560079,1.10821067,1.31435741,1.08255830,1.49378971,0.00000000
-5.90395198,3.73940152,0.00451639,0.60474019,1.07179404,1.06058802,1.28453947,1.05729001,1.43361995,0.00000000
-5.89794897,3.61522421,0.00426963,0.60298719,1.02522115,1.01068457,1.25318638,1.02956514,1.37038220,0.00000000
-5.89194597,3.48454888,0.00401370,0.60006414,0.97649449,0.95929025,1.22068928,0.99974548,1.30492769,0.00000000
-5.88594297,3.34906169,0.00375165,0.59595135,0.92623896,0.90716459,1.18741725,0.96821044,1.23810212,0.00000000
-5.87993997,3.21039840,0.00348652,0.59063724,0.87507276,0.85501605,1.15370302,0.93534192,1.17072003,0.00000000
-5.87393697,3.07009532,0.00322133,0.58411637,0.82358982,0.80348478,1.11983127,0.90151040,1.10354224,0.00000000
