energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,7.12127599,0.09935259,0.95394583,2.02051056,1.20830615,0.50807580,0.49233684,0.09403273,2.32988262
-5.99399700,7.04567358,0.09784878,0.94040036,2.03308042,1.18522518,0.49370363,0.48802263,0.09354028,2.31544179
-5.98799400,6.95849629,0.09633363,0.92572934,2.04163971,1.16120831,0.47877811,0.48253050,0.09286600,2.29618255
-5.98199100,6.86119630,0.09485879,0.91009503,2.04619645,1.13667852,0.46348969,0.47597384,0.09202014,2.27256347
-5.97598799,6.75552213,0.09347719,0.89368158,2.04681090,1.11208890,0.44804028,0.46849325,0.09101818,2.24517100
-5.96998499,6.64346249,0.09224168,0.87668936,2.04358796,1.08791071,0.43263683,0.46025223,0.08988037,2.21469966
-5.96398199,6.52718314,0.09120344,0.85932877,2.03667005,1.06462052,0.41748527,0.45143225,0.08863106,2.18192895
-5.95797899,6.40895933,0.09041043,0.84181428,2.02623074,1.04268673,0.40278491,0.44222727,0.08729784,2.14769799
-5.95197599,6.29110665,0.08990582,0.82435857,2.01246964,1.02255611,0.38872362,0.43283810,0.08591063,2.11287904
-5.94597299,6.17591279,0.08972650,0.80716713,1.99560845,1.00464073,0.37547386,0.42346672,0.08450063,2.07835070
-5.93996998,6.06557259,0.08990174,0.79043350,1.97588821,0.98930594,0.36318963,0.41431068,0.08309928,2.04497189
-5.93396698,5.96212829,0.09045196,0.77433519,1.95356755,0.97685964,0.35200440,0.40555798,0.08173724,2.01355737
-5.92796398,5.86741668,0.09138785,0.75903037,1.92892154,0.96754337,0.34202998,0.39738234,0.08044341,1.98485548
-5.92196098,5.78302413,0.09270969,0.74465527,1.90224068,0.96152547,0.33335623,0.38993908,0.07924409,1.95952861
-5.91595798,5.71025043,0.09440703,0.73132233,1.87382970,0.95889650,0.32605147,0.38336172,0.07816217,1.93813679
-5.90995498,5.65008148,0.09645868,0.71911901,1.84400560,0.95966697,0.32016353,0.37775925,0.07721661,1.92112468
-5.90395198,5.60317109,0.09883312,0.70810708,1.81309456,0.96376752,0.31572114,0.37321425,0.07642191,1.90881198
-5.89794897,5.56983149,0.10148917,0.69832236,1.78142766,0.97105122,0.31273559,0.36978165,0.07578789,1.90138746
-5.89194597,5.55003209,0.10437704,0.68977485,1.74933506,0.98129793,0.31120251,0.36748830,0.07531959,1.89890636
-5.88594297,5.54340600,0.10743965,0.68244905,1.71713895,0.99422046,0.31110344,0.36633323,0.07501726,1.90129118
-5.87993997,5.54926362,0.11061415,0.67630453,1.68514536,1.00947213,0.31240734,0.36628853,0.07487661,1.90833570
-5.87393697,5.56661267,0.11383362,0.67127661,1.65363534,1.02665539,0.31507170,0.36730091,0.07488916,1.91971196
-5.86793397,5.59418409,0.11702892,0.66727726,1.62285595,1.04533124,0.31904337,0.36929373,0.07504267,1.93498005
-5.86193097,5.63046306,0.12013046,0.66419620,1.59301170,1.06502899,0.32425894,0.37216957,0.07532171,1.95360053
-5.85592796,5.67372470,0.12307000,0.66190224,1.56425705,1.08525616,0.33064482,0.37581316,0.07570829,1.97494893
-5.84992496,5.72207374,0.12578233,0.66024497,1.53669064,1.10550820,0.33811700,0.38009472,0.07618255,1.99833238
-5.84392196,5.77348751,0.12820676,0.65905681,1.51035163,1.12527795,0.34658059,0.38487351,0.07672348,2.02300760
-5.83791896,5.82586170,0.13028838,0.65815564,1.48521869,1.14406451,0.35592922,0.39000156,0.07730960,2.04820015
-5.83191596,5.87705796,0.13197914,0.65734782,1.46121177,1.16138176,0.36604449,0.39532752,0.07791968,2.07312427
-5.82591296,5.92495264,0.13323860,0.65643192,1.43819678,1.17676620,0.37679558,0.40070048,0.07853339,2.09700283
-5.81990995,5.96748563,0.13403446,0.65520290,1.41599305,1.18978438,0.38803910,0.40597372,0.07913184,2.11908698
-5.81390695,6.00270840,0.13434285,0.65345685,1.39438317,1.20003981,0.39961942,0.41100828,0.07969813,2.13867483
-5.80790395,6.02883005,0.13414835,0.65099617,1.37312480,1.20717950,0.41136956,0.41567626,0.08021771,2.15512863
-5.80190095,6.04426036,0.13344387,0.64763501,1.35196388,1.21090004,0.42311268,0.41986380,0.08067873,2.16789014
-5.79589795,6.04764870,0.13223035,0.64320486,1.33064845,1.21095340,0.43466437,0.42347370,0.08107218,2.17649356
-5.78989495,6.03791772,0.13051635,0.63756014,1.30894244,1.20715213,0.44583564,0.42642755,0.08139199,2.18057579
-5.78389195,6.01429097,0.12831751,0.63058339,1.28663863,1.19937420,0.45643668,0.42866740,0.08163502,2.17988386
-5.77788894,5.97631344,0.12565604,0.62219007,1.26357021,1.18756703,0.46628137,0.43015700,0.08180087,2.17427915
-5.77188594,5.92386465,0.12256012,0.61233256,1.23962025,1.17175070,0.47519230,0.43088247,0.08189173,2.16373871
-5.76588294,5.85716358,0.11906328,0.60100328,1.21472877,1.15202009,0.48300639,0.43085254,0.08191206,2.14835350
-5.75987994,5.77676548,0.11520379,0.58823669,1.18889700,1.12854565,0.48958064,0.43009829,0.08186823,2.12832389
-5.75387694,5.68355047,0.11102405,0.57411002,1.16218883,1.10157268,0.49479805,0.42867248,0.08176815,2.10395271
-5.74787394,5.57870429,0.10656993,0.55874269,1.13472942,1.07141885,0.49857340,0.42664849,0.08162087,2.07563611
-5.74187094,5.46369174,0.10189015,0.54229443,1.10670121,1.03846991,0.50085845,0.42411878,0.08143616,2.04385271
-5.73586793,5.34022361,0.09703557,0.52496200,1.07833764,1.00317333,0.50164667,0.42119315,0.08122418,2.00915146
-5.72986493,5.21021787,0.09205846,0.50697474,1.04991509,0.96603020,0.50097685,0.41799656,0.08099508,1.97213855
-5.72386193,5.07575648,0.08701174,0.48858898,1.02174343,0.92758517,0.49893573,0.41466669,0.08075872,1.93346385
-5.71785893,4.93903870,0.08194817,0.47008159,0.99415590,0.88841492,0.49565924,0.41135121,0.08052445,1.89380724
-5.71185593,4.80233242,0.07691951,0.45174279,0.96749863,0.84911514,0.49133236,0.40820476,0.08030093,1.85386510
-5.70585293,4.66792455,0.07197566,0.43386863,0.94212055,0.81028679,0.48618742,0.40538573,0.08009598,1.81433722
-5.69984992,4.53807184,0.06716376,0.41675316,0.91836393,0.77252167,0.48050102,0.40305274,0.07991656,1.77591448
-5.69384692,4.41495326,0.06252740,0.40068077,0.89655596,0.73638803,0.47458941,0.40136095,0.07976874,1.73926721
-5.68784392,4.30062495,0.05810578,0.38591890,0.87700163,0.70241663,0.46880273,0.40045824,0.07965776,1.70503460
-5.68184092,4.19697890,0.05393301,0.37271114,0.85997792,0.67108765,0.46351798,0.40048127,0.07958808,1.67381506
-5.67583792,4.10570598,0.05003755,0.36127127,0.84572947,0.64281909,0.45913135,0.40155152,0.07956347,1.64615773
-5.66983492,4.02826428,0.04644165,0.35177809,0.83446550,0.61795683,0.45604977,0.40377145,0.07958715,1.62255505
-5.66383192,3.96585324,0.04316115,0.34437129,0.82635789,0.59676686,0.45468235,0.40722087,0.07966182,1.60343654
-5.65782891,3.91939409,0.04020524,0.33914847,0.82154018,0.57942985,0.45543174,0.41195361,0.07978984,1.58916383
-5.65182591,3.88951696,0.03757659,0.33616329,0.82010731,0.56603822,0.45868579,0.41799480,0.07997322,1.58002695
-5.64582291,3.87655490,0.03527151,0.33542480,0.82211570,0.55659593,0.46480982,0.42533872,0.08021373,1.57624196
-5.63981991,3.88054494,0.03328038,0.33689791,0.82758366,0.55102073,0.47413958,0.43394750,0.08051295,1.57794999
-5.63381691,3.90123610,0.03158824,0.34050496,0.83649179,0.54914902,0.48697516,0.44375079,0.08087226,1.58521774
-5.62781391,3.93810417,0.03017544,0.34612835,0.84878330,0.55074301,0.50357589,0.45464646,0.08129289,1.59803938
-5.62181091,3.99037300,0.02901846,0.35361411,0.86436432,0.55549990,0.52415629,0.46650244,0.08177595,1.61634001
-5.61580790,4.05704160,0.02809085,0.36277629,0.88310395,0.56306295,0.54888301,0.47915976,0.08232240,1.63998038
-5.60980490,4.13691647,0.02736412,0.37340212,0.90483451,0.57303380,0.57787277,0.49243670,0.08293316,1.66876297
