energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.56778389,6.27684320,1.57089524,4.12879652,0.03049596,0.29588556,0.89615661,0.30544302,0.06744934,1.30423768
-5.56178089,6.51018722,1.63390089,4.28579233,0.03154194,0.30653275,0.93488032,0.31879416,0.07026949,1.34957291
-5.55577789,6.74804318,1.69497713,4.44895694,0.03252786,0.31678531,0.97224457,0.33240958,0.07307482,1.39417849
-5.54977489,6.98853928,1.75329395,4.61727445,0.03344289,0.32649911,1.00775538,0.34619265,0.07583418,1.43761045
-5.54377189,7.22963984,1.80802834,4.78955910,0.03427698,0.33553193,1.04093137,0.36003966,0.07851568,1.47942715
-5.53776888,7.46916614,1.85838159,4.96446099,0.03502110,0.34374664,1.07131326,0.37384085,0.08108729,1.51919523
-5.53176588,7.70482322,1.90359676,5.14047768,0.03566745,0.35101438,1.09847330,0.38748171,0.08351747,1.55649591
-5.52576288,7.93423240,1.94297581,5.31597146,0.03620968,0.35721759,1.12202438,0.40084450,0.08577587,1.59093131
-5.51975988,8.15496906,1.97589600,5.48919249,0.03664300,0.36225290,1.14162843,0.41380985,0.08783402,1.62213080
-5.51375688,8.36460509,2.00182491,5.65830752,0.03696440,0.36603355,1.15700405,0.42625864,0.08966604,1.64975724
-5.50775388,8.56075521,2.02033384,5.82143365,0.03717271,0.36849163,1.16793295,0.43807391,0.09124938,1.67351297
-5.50175088,8.74112606,2.03110890,5.97667656,0.03726870,0.36957963,1.17426511,0.44914289,0.09256542,1.69314536
-5.49574787,8.90356712,2.03395975,6.12217228,0.03725511,0.36927174,1.17592245,0.45935913,0.09360017,1.70845190
-5.48974487,9.04612199,2.02882553,6.25613147,0.03713666,0.36756442,1.17290099,0.46862459,0.09434473,1.71928471
-5.48374187,9.16707881,2.01577785,6.37688500,0.03691993,0.36447659,1.16527133,0.47685179,0.09479579,1.72555423
-5.47773887,9.26501820,1.99502080,6.48292945,0.03661336,0.36004924,1.15317742,0.48396580,0.09495590,1.72723214
-5.47173587,9.33885748,1.96688788,6.57297117,0.03622704,0.35434456,1.13683384,0.48990625,0.09483370,1.72435342
-5.46573287,9.38788942,1.93183607,6.64596737,0.03577259,0.34744465,1.11652145,0.49462903,0.09444391,1.71701726
-5.45972986,9.41181445,1.89043702,6.70116293,0.03526292,0.33944976,1.09258164,0.49810791,0.09380724,1.70538715
-5.45372686,9.41076474,1.84336581,6.73812132,0.03471204,0.33047627,1.06540939,0.50033574,0.09295004,1.68968967
-5.44772386,9.38531926,1.79138743,6.75674865,0.03413481,0.32065433,1.03544518,0.50132543,0.09190389,1.67021229
-5.44172086,9.33650871,1.73534147,6.75730949,0.03354667,0.31012529,1.00316615,0.50111042,0.09070498,1.64730004
