energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
-6.00000000,4.43205785,0.02310392,0.22092287,0.04437667,2.60109384,0.88092093,0.63595654,0.96370463,0.35493573
-5.99399700,4.69363814,0.02395398,0.23187568,0.04516062,2.76012976,0.93951044,0.67323787,1.02873091,0.37694096
-5.98799400,4.95019605,0.02476024,0.24229671,0.04574438,2.91683813,0.99735195,0.70983786,1.09347561,0.39870224
-5.98199100,5.19943749,0.02552161,0.25205490,0.04613206,3.06989848,1.05381729,0.74548579,1.15736253,0.42000796
-5.97598799,5.43911861,0.02623765,0.26102878,0.04633450,3.21800551,1.10826650,0.77992000,1.21979104,0.44064874
-5.96998499,5.66709607,0.02690852,0.26910971,0.04636942,3.35989755,1.16006217,0.81289311,1.28014631,0.46042256
-5.96398199,5.88137804,0.02753485,0.27620482,0.04626125,3.49438641,1.20858499,0.84417737,1.33781103,0.47913999
-5.95797899,6.08017449,0.02811777,0.28223942,0.04604075,3.62038747,1.25324975,0.87356999,1.39217856,0.49662933
-5.95197599,6.26194511,0.02865881,0.28715896,0.04574443,3.73694926,1.29352147,0.90089836,1.44266697,0.51274133
-5.94597299,6.42544311,0.02915992,0.29093038,0.04541370,3.84328125,1.32893095,0.92602471,1.48873378,0.52735356
-5.93996998,6.56975278,0.02962345,0.29354281,0.04509385,3.93877865,1.35908911,0.94885039,1.52989065,0.54037403
-5.93396698,6.69431911,0.03005219,0.29500764,0.04483279,4.02304270,1.38369953,0.96931905,1.56571753,0.55174399
-5.92796398,6.79896716,0.03044937,0.29535789,0.04467974,4.09589534,1.40256854,0.98741889,1.59587555,0.56143971
-5.92196098,6.88390979,0.03081864,0.29464702,0.04468370,4.15738680,1.41561236,1.00318333,1.62011805,0.56947311
-5.91595798,6.94974204,0.03116410,0.29294706,0.04489183,4.20779510,1.42286080,1.01669017,1.63829893,0.57589112
-5.90995498,6.99742132,0.03149025,0.29034619,0.04534792,4.24761672,1.42445723,1.02805883,1.65037791,0.58077376
-5.90395198,7.02823292,0.03180185,0.28694592,0.04609069,4.27754799,1.42065476,1.03744578,1.65642215,0.58423087
-5.89794897,7.04374130,0.03210385,0.28285780,0.04715226,4.29845720,1.41180845,1.04503790,1.65660394,0.58639757
-5.89194597,7.04572813,0.03240112,0.27819995,0.04855670,4.31134824,1.39836401,1.05104414,1.65119434,0.58742858
-5.88594297,7.03611912,0.03269831,0.27309330,0.05031872,4.31731662,1.38084316,1.05568547,1.64055294,0.58749162
-5.87993997,7.01690240,0.03299948,0.26765794,0.05244260,4.31749984,1.35982640,1.05918376,1.62511404,0.58676005
-5.87393697,6.99004184,0.03330781,0.26200945,0.05492136,4.31302409,1.33593387,1.06174980,1.60536980,0.58540517
-5.86793397,6.95738953,0.03362531,0.25625554,0.05773626,4.30495003,1.30980507,1.06357125,1.58185121,0.58358850
-5.86193097,6.92060180,0.03395251,0.25049300,0.06085663,4.29422037,1.28207843,1.06480113,1.55510767,0.58145434
-5.85592796,6.88106327,0.03428815,0.24480516,0.06424011,4.28161236,1.25337167,1.06554751,1.52568645,0.57912318
-5.84992496,6.83982349,0.03462901,0.23925993,0.06783332,4.26769784,1.22426379,1.06586517,1.49411281,0.57668608
-5.84392196,6.79755013,0.03496980,0.23390847,0.07157283,4.25281368,1.19527948,1.06574972,1.46087209,0.57420066
-5.83791896,6.75450169,0.03530311,0.22878465,0.07538672,4.23704455,1.16687676,1.06513490,1.42639464,0.57168862
-5.83191596,6.71052232,0.03561956,0.22390518,0.07919632,4.22021956,1.13943813,1.06389324,1.39104431,0.56913531
-5.82591296,6.66505940,0.03590803,0.21927054,0.08291841,4.20192337,1.11326562,1.06184037,1.35511125,0.56649116
-5.81990995,6.61720374,0.03615601,0.21486655,0.08646764,4.18152179,1.08857978,1.05874290,1.31880918,0.56367511
-5.81390695,6.56575072,0.03635013,0.21066658,0.08975915,4.15820063,1.06552230,1.05432968,1.28227730,0.56057976
-5.80790395,6.50927929,0.03647677,0.20663424,0.09271124,4.13101600,1.04416206,1.04830590,1.24558654,0.55707812
-5.80190095,6.44624485,0.03652269,0.20272642,0.09524807,4.09895352,1.02450378,1.04036942,1.20874967,0.55303155
-5.79589795,6.37508092,0.03647582,0.19889657,0.09730226,4.06099310,1.00649867,1.03022852,1.17173454,0.54829837
-5.78989495,6.29430401,0.03632601,0.19509796,0.09881716,4.01617581,0.99005632,1.01762014,1.13447957,0.54274289
-5.78389195,6.20261600,0.03606573,0.19128680,0.09974892,3.96366907,0.97505681,1.00232766,1.09691042,0.53624415
