energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.90718508,0.01234751,0.53292292,0.81558377,0.71223074,1.08673009,1.10823893,0.01995685,1.56022239
-5.99399700,3.94494823,0.01261446,0.54033849,0.83178573,0.71567960,1.10883984,1.12344058,0.01931206,1.57299992
-5.98799400,3.97065268,0.01284103,0.54615062,0.84546967,0.71682311,1.12720870,1.13552407,0.01864937,1.58067838
-5.98199100,3.98427173,0.01302466,0.55037189,0.85654579,0.71562141,1.14179433,1.14451437,0.01797693,1.58321217
-5.97598799,3.98609785,0.01316355,0.55306591,0.86499365,0.71208132,1.15266032,1.15054025,0.01730216,1.58067623
-5.96998499,3.97674115,0.01325671,0.55434656,0.87086329,0.70625822,1.15997523,1.15383217,0.01663174,1.57326643
-5.96398199,3.95711698,0.01330393,0.55437511,0.87427391,0.69825667,1.16400786,1.15471612,0.01597158,1.56129619
-5.95797899,3.92842261,0.01330573,0.55335542,0.87541009,0.68822938,1.16511902,1.15360362,0.01532685,1.54518945
-5.95197599,3.89210362,0.01326334,0.55152721,0.87451569,0.67637472,1.16374976,1.15097811,0.01470199,1.52546991
-5.94597299,3.84981102,0.01317858,0.54915785,0.87188565,0.66293266,1.16040665,1.14737825,0.01410081,1.50274712
-5.93996998,3.80335061,0.01305383,0.54653277,0.86785601,0.64817922,1.15564455,1.14337882,0.01352650,1.47769952
-5.93396698,3.75462639,0.01289187,0.54394504,0.86279248,0.63241967,1.15004755,1.13956993,0.01298174,1.45105531
-5.92796398,3.70558029,0.01269585,0.54168452,0.85707817,0.61598057,1.14420877,1.13653534,0.01246875,1.42357163
-5.92196098,3.65813026,0.01246910,0.54002692,0.85110089,0.59920109,1.13870980,1.13483089,0.01198935,1.39601284
-5.91595798,3.61410939,0.01221512,0.53922347,0.84524040,0.58242376,1.13410059,1.13496382,0.01154505,1.36912869
-5.90995498,3.57520807,0.01193740,0.53949138,0.83985638,0.56598505,1.13088058,1.13737381,0.01113711,1.34363307
-5.90395198,3.54292146,0.01163937,0.54100565,0.83527726,0.55020615,1.12948179,1.14241653,0.01076657,1.32018418
-5.89794897,3.51850414,0.01132436,0.54389251,0.83179046,0.53538419,1.13025440,1.15035030,0.01043436,1.29936657
-5.89194597,3.50293332,0.01099547,0.54822480,0.82963427,0.52178430,1.13345564,1.16132636,0.01014129,1.28167580
-5.88594297,3.49688197,0.01065559,0.55401934,0.82899156,0.50963270,1.13924205,1.17538308,0.00988817,1.26750596
-5.87993997,3.50070243,0.01030735,0.56123658,0.82998549,0.49911107,1.14766559,1.19244427,0.00967578,1.25714053
-5.87393697,3.51442093,0.00995312,0.56978238,0.83267729,0.49035243,1.15867375,1.21232159,0.00950498,1.25074665
-5.86793397,3.53774289,0.00959503,0.57951183,0.83706593,0.48343847,1.17211341,1.23472093,0.00937669,1.24837290
-5.86193097,3.57006852,0.00923498,0.59023509,0.84308975,0.47839866,1.18773846,1.25925247,0.00929196,1.24995063
-5.85592796,3.61051800,0.00887466,0.60172476,0.85062988,0.47521079,1.20522083,1.28544387,0.00925194,1.25529849
-5.84992496,3.65796506,0.00851563,0.61372466,0.85951516,0.47380325,1.22416431,1.31275629,0.00925790,1.26413026
-5.84392196,3.71107769,0.00815931,0.62595962,0.86952847,0.47405866,1.24412092,1.34060239,0.00931121,1.27606535
-5.83791896,3.76836447,0.00780708,0.63814580,0.88041420,0.47581885,1.26460879,1.36836571,0.00941332,1.29064189
-5.83191596,3.82822484,0.00746026,0.65000116,0.89188666,0.47889099,1.28513124,1.39542079,0.00956566,1.30733181
-5.82591296,3.88900161,0.00712018,0.66125571,0.90363915,0.48305456,1.30519597,1.42115321,0.00976963,1.32555758
-5.81990995,3.94903395,0.00678818,0.67166104,0.91535343,0.48806908,1.32433386,1.44497888,0.01002645,1.34471014
-5.81390695,4.00670912,0.00646564,0.68099883,0.92670948,0.49368217,1.34211651,1.46636187,0.01033709,1.36416741
-5.80790395,4.06051131,0.00615397,0.68908793,0.93739508,0.49963778,1.35817185,1.48483031,0.01070214,1.38331294
-5.80190095,4.10906594,0.00585460,0.69578983,0.94711519,0.50568428,1.37219730,1.49998960,0.01112165,1.40155415
-5.79589795,4.15117813,0.00556897,0.70101222,0.95560073,0.51158220,1.38396987,1.51153273,0.01159504,1.41833968
-5.78989495,4.18586418,0.00529848,0.70471061,0.96261651,0.51711119,1.39335292,1.51924729,0.01212095,1.43317513
-5.78389195,4.21237509,0.00504448,0.70688793,0.96796826,0.52207627,1.40029940,1.52301902,0.01269710,1.44563701
-5.77788894,4.23021159,0.00480822,0.70759223,0.97150824,0.52631291,1.40485137,1.52283190,0.01332022,1.45538426
-5.77188594,4.23913035,0.00459080,0.70691262,0.97313962,0.52969094,1.40713615,1.51876486,0.01398595,1.46216695
-5.76588294,4.23914158,0.00439311,0.70497366,0.97281914,0.53211719,1.40735921,1.51098537,0.01468880,1.46583218
-5.75987994,4.23049829,0.00421585,0.70192855,0.97055824,0.53353669,1.40579431,1.49974032,0.01542214,1.46632665
-5.75387694,4.21367824,0.00405941,0.69795152,0.96642250,0.53393267,1.40277143,1.48534465,0.01617827,1.46369621
-5.74787394,4.18935934,0.00392394,0.69322976,0.96052944,0.53332519,1.39866319,1.46816837,0.01694845,1.45808222
-5.74187094,4.15839017,0.00380922,0.68795532,0.95304488,0.53176867,1.39387040,1.44862251,0.01772311,1.44971514
-5.73586793,4.12175683,0.00371475,0.68231746,0.94417792,0.52934845,1.38880744,1.42714476,0.01849199,1.43890557
-5.72986493,4.08054786,0.00363969,0.67649570,0.93417480,0.52617658,1.38388819,1.40418536,0.01924437,1.42603309
-5.72386193,4.03591860,0.00358291,0.67065392,0.92331195,0.52238696,1.37951307,1.38019395,0.01996936,1.41153364
-5.71785893,3.98905666,0.00354298,0.66493583,0.91188839,0.51813027,1.37605765,1.35560766,0.02065620,1.39588559
-5.71185593,3.94114946,0.00351825,0.65946176,0.90021784,0.51356864,1.37386306,1.33084107,0.02129457,1.37959537
-5.70585293,3.89335492,0.00350685,0.65432697,0.88862078,0.50887047,1.37322853,1.30627815,0.02187490,1.36318285
-5.69984992,3.84677592,0.00350678,0.64960136,0.87741664,0.50420543,1.37440590,1.28226624,0.02238867,1.34716713
