energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-5.27363682,10.04146196,0.04385651,0.54167363,1.24225069,0.84968769,2.69387504,4.90408527,0.06245515,3.41093781
-5.26763382,9.67345484,0.04471117,0.51139846,1.20477441,0.82722409,2.59172789,4.70946801,0.06111158,3.30037463
-5.26163082,9.31987213,0.04560504,0.48224199,1.16752606,0.80711875,2.49360151,4.52059863,0.05995967,3.19499697
-5.25562781,8.98623093,0.04653817,0.45453211,1.13099043,0.78981763,2.40085693,4.34044658,0.05903128,3.09649281
-5.24962481,8.67733866,0.04750948,0.42853640,1.09558249,0.77567949,2.31462369,4.17170442,0.05835300,3.00628031
-5.24362181,8.39720732,0.04851673,0.40445951,1.06164072,0.76496961,2.23578363,4.01673429,0.05794554,2.92548576
-5.23761881,8.14899378,0.04955657,0.38244264,1.02942374,0.75785626,2.16496312,3.87752484,0.05782321,2.85493170
-5.23161581,7.93496660,0.05062458,0.36256491,0.99911000,0.75441012,2.10253375,3.75565939,0.05799364,2.79513480
-5.22561281,7.75649908,0.05171532,0.34484641,0.97080043,0.75460648,2.04862057,3.65229605,0.05845762,2.74631317
-5.21960980,7.61408737,0.05282243,0.32925275,0.94452373,0.75832994,2.00311741,3.56815975,0.05920902,2.70840209
-5.21360680,7.50739149,0.05393868,0.31570078,0.92024381,0.76538158,1.96570802,3.50354588,0.06023502,2.68107723
-5.20760380,7.43529660,0.05505608,0.30406528,0.89786886,0.77548807,1.93589208,3.45833469,0.06151634,2.66378387
-5.20160080,7.39599117,0.05616588,0.29418628,0.87726168,0.78831250,1.91301483,3.43201558,0.06302771,2.65577085
-5.19559780,7.38705850,0.05725868,0.28587686,0.85825044,0.80346655,1.89629899,3.42371957,0.06473840,2.65612757
-5.18959480,7.40557766,0.05832440,0.27893095,0.84063955,0.82052345,1.88487791,3.43225876,0.06661293,2.66382257
-5.18359180,7.44823008,0.05935233,0.27313117,0.82422000,0.83903153,1.87782863,3.45617071,0.06861180,2.67774229
-5.17758879,7.51140794,0.06033117,0.26825622,0.80877884,0.85852771,1.87420391,3.49376648,0.07069241,2.69672854
-5.17158579,7.59132105,0.06124898,0.26408792,0.79410737,0.87855071,1.87306215,3.54318025,0.07280992,2.71961359
-5.16558279,7.68409912,0.06209329,0.26041738,0.78000785,0.89865352,1.87349457,3.60241940,0.07491822,2.74525192
-5.15957979,7.78588687,0.06285109,0.25705053,0.76629862,0.91841478,1.87464888,3.66941351,0.07697093,2.77254773
-5.15357679,7.89292999,0.06350900,0.25381270,0.75281754,0.93744883,1.87574906,3.74206112,0.07892236,2.80047798
-5.14757379,8.00165050,0.06405333,0.25055216,0.73942387,0.95541417,1.87611102,3.81827362,0.08072847,2.82811045
-5.14157079,8.10871077,0.06447036,0.24714277,0.72599881,0.97202012,1.87515388,3.89601536,0.08234780,2.85461693
-5.13556778,8.21106565,0.06474654,0.24348555,0.71244479,0.98703158,1.87240708,3.97333974,0.08374232,2.87928177
-5.12956478,8.30600291,0.06486879,0.23950930,0.69868390,1.00027190,1.86751335,4.04842102,0.08487821,2.90150595
-5.12356178,8.39117260,0.06482491,0.23517030,0.68465572,1.01162372,1.86022795,4.11958177,0.08572658,2.92080742
-5.11755878,8.46460587,0.06460390,0.23045114,0.67031489,1.02102799,1.85041449,4.18531602,0.08626399,2.93681800
-5.11155578,8.52472439,0.06419643,0.22535886,0.65562859,1.02848123,1.83803785,4.24430837,0.08647296,2.94927778
-5.10555278,8.57034141,0.06359525,0.21992240,0.64057428,1.03403123,1.82315457,4.29544904,0.08634227,2.95802740
