energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up
-6.00000000,12.24521461,3.07549308,7.07379761,0.06471344,0.62274740,1.17724539,0.85133128,0.07711414,2.97356011
-5.99399700,12.47185561,3.13849801,7.20615505,0.06509535,0.63352074,1.21640829,0.86421162,0.08071848,3.02485646
-5.98799400,12.69504907,3.20544791,7.33579862,0.06531249,0.64521769,1.25556569,0.87555573,0.08436405,3.07427047
-5.98199100,12.91083023,3.27530160,7.46038736,0.06534982,0.65751408,1.29420762,0.88515777,0.08799264,3.12104796
-5.97598799,13.11515280,3.34691672,7.57751858,0.06519773,0.67006917,1.33184174,0.89282781,0.09154418,3.16445745
-5.96998499,13.30401038,3.41908336,7.68479613,0.06485243,0.68253508,1.36800793,0.89840007,0.09495831,3.20381507
-5.96398199,13.47356650,3.49056162,7.77990478,0.06431631,0.69456669,1.40229246,0.90174119,0.09817592,3.23851025
-5.95797899,13.62028847,3.56012201,7.86068789,0.06359790,0.70583175,1.43434111,0.90275818,0.10114087,3.26803103
-5.95197599,13.74107947,3.62658702,7.92522531,0.06271175,0.71602067,1.46387094,0.90140569,0.10380154,3.29198795
-5.94597299,13.83340322,3.68887206,7.97190812,0.06167802,0.72485591,1.49067989,0.89769208,0.10611239,3.31013534
-5.93996998,13.89539532,3.74602418,7.99950687,0.06052196,0.73210040,1.51465419,0.89168406,0.10803531,3.32238871
-5.93396698,13.92595587,3.79725650,8.00722997,0.05927314,0.73756470,1.53577278,0.88350959,0.10954085,3.32883743
-5.92796398,13.92481842,3.84197687,7.99476935,0.05796464,0.74111267,1.55410888,0.87335874,0.11060911,3.32975168
-5.92196098,13.89259111,3.87980909,7.96233071,0.05663203,0.74266532,1.56982815,0.86148240,0.11123044,3.32558287
-5.91595798,13.83076719,3.91060551,7.91064660,0.05531243,0.74220258,1.58318364,0.84818882,0.11140577,3.31695734
-5.90995498,13.74170302,3.93445015,7.84097105,0.05404339,0.73976311,1.59450750,0.83383788,0.11114663,3.30466294
-5.90395198,13.62856336,3.95165176,7.75505532,0.05286189,0.73544177,1.60419956,0.81883340,0.11047487,3.28962872
-5.89794897,13.49523512,3.96272706,7.65510531,0.05180336,0.72938516,1.61271329,0.80361349,0.10942203,3.27289821
-5.89194597,13.34621220,3.96837458,7.54372174,0.05090074,0.72178513,1.62053938,0.78863943,0.10802841,3.25559712
-5.88594297,13.18645541,3.96944016,7.42382529,0.05018366,0.71287072,1.62818770,0.77438325,0.10634188,3.23889642
-5.87993997,13.02123276,3.96687573,7.29856940,0.04967777,0.70289861,1.63616821,0.76131455,0.10441647,3.22397228
-5.87393697,12.85594629,3.96169318,7.17124397,0.04940416,0.69214282,1.64497156,0.74988701,0.10231075,3.21196431
-5.86793397,12.69595234,3.95491567,7.04517380,0.04937898,0.68088371,1.65505020,0.74052491,0.10008610,3.20393391
-5.86193097,12.54638260,3.94752874,6.92361577,0.04961316,0.66939713,1.66680075,0.73361034,0.09780496,3.20082433
-5.85592796,12.41197327,3.94043359,6.80965874,0.05011235,0.65794394,1.68054835,0.72947140,0.09552897,3.20342424
-5.84992496,12.29690919,3.93440505,6.70613008,0.05087690,0.64676040,1.69653366,0.72837180,0.09331727,3.21233641
-5.84392196,12.20468931,3.93005614,6.61551262,0.05190209,0.63604996,1.71490300,0.73050243,0.09122485,3.22795280
-5.83791896,12.13801889,3.92781108,6.53987500,0.05317841,0.62597662,1.73570201,0.73597493,0.08930110,3.25043722
-5.83191596,12.09873230,3.92788784,6.48081800,0.05469194,0.61666021,1.75887307,0.74481771,0.08758857,3.27971635
-5.82591296,12.08774926,3.93029104,6.43943877,0.05642482,0.60817375,1.78425636,0.75697450,0.08612193,3.31547946
-5.81990995,12.10506553,3.93481509,6.41631385,0.05835579,0.60054280,1.81159459,0.77230546,0.08492728,3.35718676
-5.81390695,12.14977775,3.94105723,6.41150138,0.06046073,0.59374696,1.84054076,0.79059093,0.08402168,3.40408620
-5.80790395,12.22014032,3.94843932,6.42456168,0.06271324,0.58772321,1.87066880,0.81153764,0.08341305,3.45523758
-5.80190095,12.31365141,3.95623683,6.45459512,0.06508516,0.58237082,1.90148625,0.83478715,0.08310031,3.50954328
-5.79589795,12.42716344,3.96361338,6.50029508,0.06754718,0.57755767,1.93244836,0.85992642,0.08307377,3.56578399
-5.78989495,12.55701296,3.96965851,6.56001345,0.07006927,0.57312749,1.96297315,0.88649994,0.08331586,3.62265804
-5.78389195,12.69916413,3.97342686,6.63183584,0.07262114,0.56890765,1.99245646,0.91402324,0.08380200,3.67882272
-5.77788894,12.84935966,3.97397648,6.71366295,0.07517271,0.56471715,2.02028681,0.94199720,0.08450164,3.73293600
-5.77188594,13.00327313,3.97040469,6.80329502,0.07769437,0.56037438,2.04585925,0.96992273,0.08537947,3.78369711
-5.76588294,13.15665699,3.96187981,6.89851575,0.08015736,0.55570441,2.06858821,0.99731539,0.08639669,3.82988455
-5.75987994,13.30548084,3.94766768,6.99717251,0.08253404,0.55054541,2.08791883,1.02371931,0.08751232,3.87039041
-5.75387694,13.44605547,3.92715238,7.09725003,0.08479807,0.54475406,2.10333698,1.04872016,0.08868444,3.90424993
-5.74787394,13.57513888,3.89985064,7.19693487,0.08692469,0.53820977,2.11437776,1.07195655,0.08987146,3.93066564
-5.74187094,13.69002135,3.86542032,7.29466849,0.08889087,0.53081774,2.12063279,1.09312950,0.09103321,3.94902548
-5.73586793,13.78858759,3.82366319,7.38918751,0.09067550,0.52251071,2.12175624,1.11200973,0.09213196,3.95891478
-5.72986493,13.86935493,3.77452274,7.47954985,0.09225957,0.51324953,2.11746996,1.12844247,0.09313319,3.96012192
-5.72386193,13.93148725,3.71807801,7.56514630,0.09362635,0.50302271,2.10756774,1.14234953,0.09400629,3.95263785
-5.71785893,13.97478538,3.65453419,7.64569762,0.09476149,0.49184504,2.09191873,1.15372867,0.09472500,3.93664971
-5.71185593,13.99965508,3.58421104,7.72123745,0.09565322,0.47975540,2.07047027,1.16265031,0.09526771,3.91252907
-5.70585293,14.00705460,3.50752983,7.79208234,0.09629241,0.46681409,2.04324976,1.16925151,0.09561753,3.88081517
-5.69984992,13.99842440,3.42499970,7.85879025,0.09667269,0.45309967,2.01036578,1.17372768,0.09576223,3.84219388
-5.69384692,13.97560184,3.33720378,7.92210936,0.09679048,0.43870564,1.97200802,1.17632217,0.09569408,3.79747301
-5.68784392,13.94072442,3.24478555,7.98291961,0.09664500,0.42373700,1.92844594,1.17731428,0.09540946,3.74755475
-5.68184092,13.89612500,3.14843559,8.04216940,0.09623819,0.40830686,1.88002591,1.17700604,0.09490851,3.69340615
-5.67583792,13.84422328,3.04887888,8.10081018,0.09557467,0.39253314,1.82716671,1.17570841,0.09419462,3.63602835
-5.66983492,13.78741741,2.94686258,8.15973182,0.09466151,0.37653562,1.77035314,1.17372741,0.09327395,3.57642572
-5.66383192,13.72797987,2.84314416,8.21970156,0.09350807,0.36043306,1.71012785,1.17135078,0.09215495,3.51557576
-5.65782891,13.66796174,2.73848003,8.28130936,0.09212575,0.34434079,1.64708132,1.16883576,0.09084787,3.45440077
-5.65182591,13.60910898,2.63361436,8.34492199,0.09052770,0.32836857,1.58184039,1.16639847,0.08936434,3.39374230
-5.64582291,13.55279423,2.52926837,8.41064827,0.08872853,0.31261874,1.51505534,1.16420536,0.08771701,3.33433920
-5.63981991,13.49996659,2.42612997,8.47831686,0.08674399,0.29718480,1.44738621,1.16236716,0.08591925,3.27681017
-5.63381691,13.45112175,2.32484405,8.54746803,0.08459071,0.28215024,1.37948863,1.16093542,0.08398492,3.22164137
-5.62781391,13.40629326,2.22600354,8.61735963,0.08228587,0.26758777,1.31199982,1.15990189,0.08192819,3.16917956
