energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,0.06701209,0.00120413,0.00000000,0.00096636,0.03418024,0.02632863,0.01874169
-5.99399700,0.05582960,0.00100527,0.00000000,0.00080474,0.02850626,0.02191967,0.01563944
-5.98799400,0.04628331,0.00083593,0.00000000,0.00066673,0.02367514,0.01814671,0.01300070
-5.98199100,0.03822964,0.00069375,0.00000000,0.00055020,0.01961603,0.01495226,0.01078741
-5.97598799,0.03153068,0.00057651,0.00000000,0.00045313,0.01626185,0.01228028,0.00896370
-5.96998499,0.02605837,0.00048219,0.00000000,0.00037359,0.01355161,0.01007780,0.00749722
-5.96398199,0.02169830,0.00040907,0.00000000,0.00030987,0.01143249,0.00829627,0.00636036
-5.95797899,0.01835294,0.00035582,0.00000000,0.00026047,0.00986176,0.00689269,0.00553132
-5.95197599,0.01594450,0.00032155,0.00000000,0.00022417,0.00880846,0.00583053,0.00499515
-5.94597299,0.01441740,0.00030589,0.00000000,0.00020002,0.00825501,0.00508053,0.00474462
-5.93996998,0.01374044,0.00030906,0.00000000,0.00018740,0.00819861,0.00462123,0.00478114
-5.93396698,0.01390864,0.00033189,0.00000000,0.00018602,0.00865260,0.00443950,0.00511556
-5.92796398,0.01494503,0.00037593,0.00000000,0.00019595,0.00964773,0.00453085,0.00576894
-5.92196098,0.01690211,0.00044349,0.00000000,0.00021763,0.01123335,0.00489977,0.00677330
-5.91595798,0.01986329,0.00053769,0.00000000,0.00025186,0.01347851,0.00555989,0.00817236
-5.90995498,0.02394410,0.00066249,0.00000000,0.00029985,0.01647305,0.00653421,0.01002219
-5.90395198,0.02929320,0.00082280,0.00000000,0.00036318,0.02032840,0.00785516,0.01239179
-5.89794897,0.03609309,0.00102445,0.00000000,0.00044385,0.02517834,0.00956462,0.01536356
-5.89194597,0.04456048,0.00127425,0.00000000,0.00054422,0.03117934,0.01171391,0.01903364
-5.88594297,0.05494606,0.00157999,0.00000000,0.00066707,0.03851064,0.01436359,0.02351197
-5.87993997,0.06753373,0.00195042,0.00000000,0.00081555,0.04737378,0.01758311,0.02892218
-5.87393697,0.08263889,0.00239523,0.00000000,0.00099316,0.05799162,0.02145038,0.03540106
-5.86793397,0.10060589,0.00292495,0.00000000,0.00120373,0.07060661,0.02605099,0.04309767
-5.86193097,0.12180432,0.00355087,0.00000000,0.00145136,0.08547835,0.03147730,0.05217202
-5.85592796,0.14662411,0.00428486,0.00000000,0.00174043,0.10288026,0.03782715,0.06279320
-5.84992496,0.17546930,0.00513920,0.00000000,0.00207543,0.12309534,0.04520239,0.07513706
-5.84392196,0.20875058,0.00612633,0.00000000,0.00246100,0.14641105,0.05370694,0.08938322
-5.83791896,0.24687636,0.00725859,0.00000000,0.00290174,0.17311315,0.06344470,0.10571166
-5.83191596,0.29024281,0.00854786,0.00000000,0.00340216,0.20347890,0.07451708,0.12429867
-5.82591296,0.33922267,0.01000523,0.00000000,0.00396655,0.23776928,0.08702024,0.14531244
-5.81990995,0.39415332,0.01164063,0.00000000,0.00459886,0.27622084,0.10104219,0.16890818
-5.81390695,0.45532434,0.01346240,0.00000000,0.00530254,0.31903703,0.11665967,0.19522298
-5.80790395,0.52296480,0.01547691,0.00000000,0.00608041,0.36637949,0.13393501,0.22437062
-5.80190095,0.59723092,0.01768814,0.00000000,0.00693452,0.41835951,0.15291290,0.25643622
-5.79589795,0.67819436,0.02009736,0.00000000,0.00786602,0.47502993,0.17361744,0.29147129
-5.78989495,0.76583181,0.02270275,0.00000000,0.00887496,0.53637790,0.19604927,0.32948895
-5.78389195,0.86001611,0.02549921,0.00000000,0.00996024,0.60231878,0.22018311,0.37045987
-5.77788894,0.96050963,0.02847809,0.00000000,0.01111945,0.67269146,0.24596577,0.41430887
-5.77188594,1.06696007,0.03162717,0.00000000,0.01234880,0.74725543,0.27331467,0.46091244
-5.76588294,1.17889912,0.03493061,0.00000000,0.01364302,0.82568979,0.30211705,0.51009735
-5.75987994,1.29574425,0.03836908,0.00000000,0.01499537,0.90759430,0.33222984,0.56164036
-5.75387694,1.41680355,0.04191995,0.00000000,0.01639761,0.99249270,0.36348041,0.61526925
-5.74787394,1.54128389,0.04555765,0.00000000,0.01784006,1.07983815,0.39566804,0.67066505
-5.74187094,1.66830203,0.04925405,0.00000000,0.01931167,1.16902074,0.42856627,0.72746564
-5.73586793,1.79689862,0.05297900,0.00000000,0.02080014,1.25937696,0.46192596,0.78527049
-5.72986493,1.92605454,0.05670089,0.00000000,0.02229212,1.35020087,0.49547918,0.84364658
-5.72386193,2.05470943,0.06038732,0.00000000,0.02377342,1.44075660,0.52894375,0.90213533
-5.71785893,2.18178157,0.06400576,0.00000000,0.02522927,1.53029197,0.56202831,0.96026040
-5.71185593,2.30618889,0.06752424,0.00000000,0.02664461,1.61805277,0.59443791,1.01753612
-5.70585293,2.42687033,0.07091209,0.00000000,0.02800447,1.70329735,0.62587989,1.07347652
-5.69984992,2.54280719,0.07414056,0.00000000,0.02929432,1.78531123,0.65607005,1.12760461
-5.69384692,2.65304384,0.07718352,0.00000000,0.03050048,1.86342129,0.68473877,1.17946180
-5.68784392,2.75670754,0.08001797,0.00000000,0.03161050,1.93700939,0.71163713,1.22861724
-5.68184092,2.85302684,0.08262465,0.00000000,0.03261362,2.00552507,0.73654283,1.27467705
-5.67583792,2.94134847,0.08498842,0.00000000,0.03350113,2.06849723,0.75926575,1.31729306
-5.66983492,3.02115228,0.08709869,0.00000000,0.03426677,2.12554460,0.77965303,1.35617111
-5.66383192,3.09206432,0.08894970,0.00000000,0.03490713,2.17638485,0.79759363,1.39107872
-5.65782891,3.15386773,0.09054078,0.00000000,0.03542189,2.22084243,0.81302223,1.42185192
-5.65182591,3.20651144,0.09187647,0.00000000,0.03581415,2.25885484,0.82592230,1.44840129
-5.64582291,3.25011648,0.09296662,0.00000000,0.03609057,2.29047734,0.83632835,1.47071683
