energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.07402951,0.00000000,0.00768564,0.00005646,0.02968966,0.00198546,0.00881088
-5.99399700,0.06479039,0.00000000,0.00677218,0.00004783,0.02587834,0.00177896,0.00770524
-5.98799400,0.05636128,0.00000000,0.00593062,0.00004024,0.02242012,0.00158319,0.00669763
-5.98199100,0.04873203,0.00000000,0.00516166,0.00003363,0.01930692,0.00139943,0.00578664
-5.97598799,0.04188046,0.00000000,0.00446467,0.00002792,0.01652593,0.00122861,0.00496940
-5.96998499,0.03577454,0.00000000,0.00383794,0.00002303,0.01406059,0.00107132,0.00424191
-5.96398199,0.03037456,0.00000000,0.00327882,0.00001888,0.01189156,0.00092784,0.00359927
-5.95797899,0.02563518,0.00000000,0.00278394,0.00001540,0.00999759,0.00079816,0.00303594
-5.95197599,0.02150737,0.00000000,0.00234937,0.00001250,0.00835632,0.00068200,0.00254597
-5.94597299,0.01794014,0.00000000,0.00197083,0.00001013,0.00694500,0.00057890,0.00212320
-5.93996998,0.01488216,0.00000000,0.00164381,0.00000822,0.00574115,0.00048825,0.00176151
-5.93396698,0.01228305,0.00000000,0.00136377,0.00000672,0.00472305,0.00040929,0.00145490
-5.92796398,0.01009459,0.00000000,0.00112623,0.00000558,0.00387018,0.00034122,0.00119770
-5.92196098,0.00827167,0.00000000,0.00092691,0.00000476,0.00316360,0.00028317,0.00098465
-5.91595798,0.00677306,0.00000000,0.00076181,0.00000426,0.00258622,0.00023430,0.00081102
-5.90995498,0.00556204,0.00000000,0.00062731,0.00000406,0.00212299,0.00019378,0.00067272
-5.90395198,0.00460689,0.00000000,0.00052023,0.00000416,0.00176110,0.00016087,0.00056630
-5.89794897,0.00388127,0.00000000,0.00043789,0.00000459,0.00149007,0.00013488,0.00048907
-5.89194597,0.00336450,0.00000000,0.00037813,0.00000536,0.00130185,0.00011527,0.00043911
-5.88594297,0.00304179,0.00000000,0.00033941,0.00000655,0.00119089,0.00010158,0.00041537
