energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,7.07410507,0.12253209,1.42292385,0.01513352,0.00000000,0.13738306,2.28446885,3.52358083,2.67351038
-5.99399700,6.94597531,0.12058101,1.38951046,0.01500082,0.00000000,0.13550686,2.25035383,3.44155914,2.63111143
-5.98799400,6.79848135,0.11820790,1.35244933,0.01482540,0.00000000,0.13315947,2.20987025,3.35627393,2.58120185
-5.98199100,6.63461893,0.11547949,1.31235387,0.01461084,0.00000000,0.13038232,2.16391100,3.26944656,2.52486217
-5.97598799,6.45762873,0.11246723,1.26987808,0.01436139,0.00000000,0.12722257,2.11345553,3.18281555,2.46327216
-5.96998499,6.27092409,0.10924541,1.22570252,0.01408182,0.00000000,0.12373237,2.05954798,3.09810372,2.39768239
-5.96398199,6.07801658,0.10588915,1.18052032,0.01377730,0.00000000,0.11996796,2.00327408,3.01698648,2.32938466
-5.95797899,5.88244120,0.10247255,1.13502358,0.01345334,0.00000000,0.11598888,1.94573739,2.94106200,2.25968201
-5.95197599,5.68768290,0.09906686,1.08989038,0.01311557,0.00000000,0.11185697,1.88803549,2.87182362,2.18985932
-5.94597299,5.49710633,0.09573890,1.04577273,0.01276968,0.00000000,0.10763552,1.83123680,2.81063504,2.12115492
-5.93996998,5.31388983,0.09254961,1.00328550,0.01242123,0.00000000,0.10338823,1.77635846,2.75870854,2.05473413
-5.93396698,5.14096509,0.08955287,0.96299645,0.01207553,0.00000000,0.09917828,1.72434586,2.71708611,1.99166509
-5.92796398,4.98096313,0.08679457,0.92541740,0.01173753,0.00000000,0.09506728,1.67605416,2.68662353,1.93289731
-5.92196098,4.83616736,0.08431194,0.89099661,0.01141170,0.00000000,0.09111429,1.63223206,2.66797711,1.87924341
-5.91595798,4.70847406,0.08213319,0.86011217,0.01110196,0.00000000,0.08737479,1.59350823,2.66159282,1.83136410
-5.90995498,4.59936055,0.08027732,0.83306648,0.01081155,0.00000000,0.08389968,1.56038035,2.66769750,1.78975670
-5.90395198,4.50986121,0.07875426,0.81008178,0.01054306,0.00000000,0.08073434,1.53320694,2.68629192,1.75474717
-5.89794897,4.44055136,0.07756513,0.79129658,0.01029832,0.00000000,0.07791773,1.51220204,2.71714550,1.72648575
-5.89194597,4.39153905,0.07670277,0.77676323,0.01007842,0.00000000,0.07548155,1.49743267,2.75979289,1.70494612
-5.88594297,4.36246499,0.07615237,0.76644645,0.00988373,0.00000000,0.07344955,1.48881896,2.81353232,1.68992817
-5.87993997,4.35251041,0.07589219,0.76022311,0.00971389,0.00000000,0.07183697,1.48613706,2.87742648,1.68106420
-5.87393697,4.36041331,0.07589444,0.75788329,0.00956785,0.00000000,0.07065009,1.48902461,2.95030617,1.67782858
-5.86793397,4.38449308,0.07612619,0.75913285,0.00944398,0.00000000,0.06988601,1.49698874,3.03077779,1.67955072
-5.86193097,4.42268361,0.07655024,0.76359763,0.00934004,0.00000000,0.06953263,1.50941654,3.11723522,1.68543130
-5.85592796,4.47257502,0.07712616,0.77082948,0.00925333,0.00000000,0.06956875,1.52558796,3.20787703,1.69456156
-5.84992496,4.53146380,0.07781118,0.78031432,0.00918077,0.00000000,0.06996453,1.54469090,3.30072973,1.70594540
-5.84392196,4.59641111,0.07856118,0.79148202,0.00911894,0.00000000,0.07068202,1.56583846,3.39367753,1.71852403
-5.83791896,4.66430842,0.07933159,0.80371845,0.00906425,0.00000000,0.07167600,1.58808819,3.48449885,1.73120274
-5.83191596,4.73194976,0.08007829,0.81637925,0.00901298,0.00000000,0.07289501,1.61046293,3.57090945,1.74287916
-5.82591296,4.79610886,0.08075852,0.82880518,0.00896145,0.00000000,0.07428249,1.63197300,3.65061144,1.75247257
-5.81990995,4.85361975,0.08133169,0.84033873,0.00890606,0.00000000,0.07577814,1.65163937,3.72134736,1.75895329
-5.81390695,4.90145835,0.08176018,0.85034145,0.00884344,0.00000000,0.07731942,1.66851714,3.78095757,1.76137147
-5.80790395,4.93682288,0.08201009,0.85821137,0.00877054,0.00000000,0.07884306,1.68171889,3.82743920,1.75888428
-5.80190095,4.95721029,0.08205191,0.86340000,0.00868468,0.00000000,0.08028672,1.69043710,3.85900435,1.75078060
-5.79589795,4.96048599,0.08186110,0.86542813,0.00858370,0.00000000,0.08159055,1.69396502,3.87413512,1.73650234
-5.78989495,4.94494433,0.08141864,0.86389977,0.00846595,0.00000000,0.08269878,1.69171535,3.87163306,1.71566151
-5.78389195,4.90935715,0.08071133,0.85851370,0.00833039,0.00000000,0.08356122,1.68323579,3.85066048,1.68805238
-5.77788894,4.85300859,0.07973214,0.84907198,0.00817658,0.00000000,0.08413456,1.66822114,3.81077169,1.65365811
-5.77188594,4.77571424,0.07848023,0.83548509,0.00800472,0.00000000,0.08438354,1.64652120,3.75193226,1.61265162
-5.76588294,4.67782393,0.07696093,0.81777342,0.00781559,0.00000000,0.08428192,1.61814422,3.67452515,1.56539048
-5.75987994,4.56020755,0.07518556,0.79606507,0.00761055,0.00000000,0.08381311,1.58325558,3.57934314,1.51240601
-5.75387694,4.42422456,0.07317097,0.77058998,0.00739148,0.00000000,0.08297059,1.54217181,3.46756753,1.45438692
-5.74787394,4.27167812,0.07093909,0.74167070,0.00716066,0.00000000,0.08175801,1.49534993,3.34073399,1.39215819
-5.74187094,4.10475571,0.06851620,0.70971027,0.00692074,0.00000000,0.08018896,1.44337262,3.20068677,1.32665574
-5.73586793,3.92595854,0.06593212,0.67517770,0.00667456,0.00000000,0.07828642,1.38692976,3.04952324,1.25889814
