energy_ev,total_up,P_s_up,P_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,3.36924563,0.00392545,0.79392078,3.01226552,1.77966461,0.83322432,0.00000000
-5.99399700,3.41395996,0.00387648,0.80355486,3.06068640,1.80086339,0.84331762,0.00000000
-5.98799400,3.46395410,0.00382988,0.81487691,3.10803716,1.82659577,0.85307417,0.00000000
-5.98199100,3.51783485,0.00378560,0.82740867,3.15349427,1.85595232,0.86239257,0.00000000
-5.97598799,3.57421357,0.00374369,0.84069069,3.19630460,1.88801539,0.87117590,0.00000000
-5.96998499,3.63172955,0.00370430,0.85429107,3.23579028,1.92187649,0.87933202,0.00000000
-5.96398199,3.68907515,0.00366770,0.86781335,3.27135394,1.95665451,0.88677490,0.00000000
-5.95797899,3.74502211,0.00363427,0.88090320,3.30248452,1.99151415,0.89342686,0.00000000
-5.95197599,3.79844802,0.00360452,0.89325409,3.32876355,2.02568410,0.89922154,0.00000000
-5.94597299,3.84836192,0.00357906,0.90461139,3.34987152,2.05847398,0.90410736,0.00000000
-5.93996998,3.89392758,0.00355866,0.91477521,3.36559383,2.08928956,0.90805117,0.00000000
-5.93396698,3.93448310,0.00354419,0.92360161,3.37582559,2.11764517,0.91104162,0.00000000
-5.92796398,3.96955563,0.00353668,0.93100212,3.38057456,2.14317284,0.91309206,0.00000000
-5.92196098,3.99886978,0.00353724,0.93694174,3.37996145,2.16562733,0.91424256,0.00000000
-5.91595798,4.02234907,0.00354710,0.94143514,3.37421688,2.18488670,0.91456074,0.00000000
-5.90995498,4.04010974,0.00356756,0.94454145,3.36367464,2.20094828,0.91414131,0.00000000
-5.90395198,4.05244682,0.00359997,0.94635756,3.34876080,2.21391994,0.91310419,0.00000000
-5.89794897,4.05981289,0.00364568,0.94701034,3.32997888,2.22400703,0.91159113,0.00000000
-5.89194597,4.06279031,0.00370599,0.94664794,3.30789136,2.23149560,0.90976108,0.00000000
-5.88594297,4.06205814,0.00378214,0.94543060,3.28309820,2.23673257,0.90778446,0.00000000
-5.87993997,4.05835542,0.00387523,0.94352143,3.25621325,2.24010400,0.90583655,0.00000000
-5.87393697,4.05244257,0.00398618,0.94107740,3.22783974,2.24201236,0.90409046,0.00000000
-5.86793397,4.04506300,0.00411567,0.93824113,3.19854611,2.24285416,0.90270998,0.00000000
-5.86193097,4.03690676,0.00426413,0.93513375,3.16884333,2.24299897,0.90184269,0.00000000
-5.85592796,4.02857817,0.00443167,0.93184922,3.13916516,2.24277083,0.90161369,0.00000000
-5.84992496,4.02056885,0.00461803,0.92845031,3.10985222,2.24243305,0.90212031,0.00000000
-5.84392196,4.01323751,0.00482262,0.92496643,3.08114068,2.24217695,0.90342785,0.00000000
-5.83791896,4.00679710,0.00504442,0.92139333,3.05315633,2.24211498,0.90556680,0.00000000
-5.83191596,4.00130973,0.00528202,0.91769460,3.02591387,2.24227832,0.90853128,0.00000000
-5.82591296,3.99668913,0.00553363,0.91380492,2.99932157,2.24261895,0.91227893,0.00000000
-5.81990995,3.99271015,0.00579702,0.90963463,2.97319070,2.24301563,0.91673209,0.00000000
-5.81390695,3.98902434,0.00606962,0.90507547,2.94724904,2.24328338,0.92178008,0.00000000
-5.80790395,3.98518039,0.00634850,0.90000706,2.92115755,2.24318563,0.92728251,0.00000000
-5.80190095,3.98064820,0.00663041,0.89430375,2.89452922,2.24244838,0.93307335,0.00000000
-5.79589795,3.97484502,0.00691181,0.88784148,2.86694890,2.24077531,0.93896561,0.00000000
-5.78989495,3.96716251,0.00718898,0.88050426,2.83799324,2.23786327,0.94475644,0.00000000
-5.78389195,3.95699332,0.00745800,0.87219006,2.80724971,2.23341726,0.95023247,0.00000000
-5.77788894,3.94375624,0.00771488,0.86281580,2.77433385,2.22716435,0.95517529,0.00000000
-5.77188594,3.92691898,0.00795560,0.85232138,2.73890442,2.21886598,0.95936700,0.00000000
-5.76588294,3.90601805,0.00817619,0.84067247,2.70067577,2.20832833,0.96259559,0.00000000
-5.75987994,3.88067529,0.00837284,0.82786229,2.65942739,2.19541046,0.96466029,0.00000000
-5.75387694,3.85061077,0.00854196,0.81391216,2.61501057,2.18003020,0.96537664,0.00000000
-5.74787394,3.81565197,0.00868028,0.79887113,2.56735231,2.16216757,0.96458130,0.00000000
-5.74187094,3.77573928,0.00878492,0.78281455,2.51645653,2.14186596,0.96213641,0.00000000
-5.73586793,3.73092786,0.00885349,0.76584196,2.46240305,2.11923102,0.95793352,0.00000000
-5.72986493,3.68138594,0.00888414,0.74807417,2.40534436,2.09442739,0.95189682,0.00000000
-5.72386193,3.62738971,0.00887564,0.72964991,2.34550072,2.06767354,0.94398564,0.00000000
-5.71785893,3.56931497,0.00882739,0.71072193,2.28315359,2.03923464,0.93419601,0.00000000
-5.71185593,3.50762573,0.00873951,0.69145280,2.21863785,2.00941397,0.92256122,0.00000000
-5.70585293,3.44286006,0.00861278,0.67201057,2.15233288,1.97854278,0.90915128,0.00000000
