energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,6.17980047,-3.05624793,0.05718781,-0.01423782,0.81381057,-0.40899828,1.75130864,-0.74535760,0.37228979,-0.20002567,1.87305134,-1.10869560,1.14852954,-0.22717778,0.10128750,-0.05927858,2.39970976,-1.35319297
-5.99399700,6.20485770,-3.08656573,0.05552196,-0.01528273,0.80651924,-0.42683630,1.80652442,-0.75580796,0.37093350,-0.20172114,1.86547220,-1.13916618,1.14343762,-0.23377316,0.10084647,-0.05836490,2.42909825,-1.34979538
-5.98799400,6.23013250,-3.12666049,0.05370328,-0.01642438,0.79820579,-0.44544101,1.86488394,-0.76879637,0.36935586,-0.20424750,1.85952642,-1.16969361,1.13616384,-0.24165069,0.10030354,-0.05780642,2.46065526,-1.35122275
-5.98199100,6.25440181,-3.17727365,0.05177157,-0.01765531,0.78890370,-0.46477858,1.92539706,-0.78463841,0.36754267,-0.20767400,1.85492176,-1.20037091,1.12674521,-0.25081536,0.09965033,-0.05762911,2.49354316,-1.35798652
-5.97598799,6.27620679,-3.23896782,0.04976726,-0.01896655,0.77863303,-0.48480017,1.98692143,-0.80362643,0.36547079,-0.21205492,1.85124401,-1.23128825,1.11522264,-0.26124793,0.09888074,-0.05785039,2.52679209,-1.37051262
-5.96998499,6.29389797,-3.31209569,0.04773032,-0.02034758,0.76740152,-0.50543851,2.04819442,-0.82602000,0.36310918,-0.21742729,1.84797616,-1.26252365,1.10163988,-0.27290279,0.09799086,-0.05847873,2.55932783,-1.38912663
-5.96398199,6.30569232,-3.39677748,0.04569917,-0.02178637,0.75520703,-0.52660558,2.10787066,-0.85203756,0.36042048,-0.22380918,1.84452221,-1.29413498,1.08604394,-0.28570709,0.09697878,-0.05951357,2.59000496,-1.41404278
-5.95797899,6.30974005,-3.49288762,0.04370972,-0.02326956,0.74204121,-0.54819142,2.16456362,-0.88184939,0.35736298,-0.23119858,1.84023478,-1.32615354,1.06848690,-0.29956093,0.09584447,-0.06094547,2.61764419,-1.44535676
-5.95197599,6.30419853,-3.60005116,0.04179457,-0.02478272,0.72789409,-0.57006444,2.21688973,-0.91557197,0.35389297,-0.23957294,1.83444536,-1.35857986,1.04902907,-0.31433872,0.09458965,-0.06275665,2.64107233,-1.48304261
-5.94597299,6.28731021,-3.71764973,0.03998230,-0.02631073,0.71275954,-0.59207301,2.26351326,-0.95326395,0.34996730,-0.24888935,1.82649588,-1.39138179,1.02774329,-0.32989174,0.09321768,-0.06492172,2.65916338,-1.52695353
-5.93996998,6.25748124,-3.84483671,0.03829707,-0.02783826,0.69664109,-0.61404860,2.30319021,-0.99492350,0.34554610,-0.25908535,1.81577024,-1.42449496,1.00472006,-0.34605169,0.09173344,-0.06740866,2.67087904,-1.57682619
-5.93396698,6.21335714,-3.98056051,0.03675835,-0.02935028,0.67955800,-0.63581021,2.33480947,-1.04048707,0.34059542,-0.27008023,1.80172459,-1.45782547,0.98007309,-0.36263529,0.09014327,-0.07017991,2.67530694,-1.63228844
-5.92796398,6.15389225,-4.12359462,0.03538081,-0.03083267,0.66155104,-0.65716985,2.35742966,-1.08982933,0.33508980,-0.28177692,1.78391515,-1.49125453,0.95394490,-0.37944944,0.08845496,-0.07319366,2.67169517,-1.69286948
-5.92196098,6.07840983,-4.27257280,0.03417455,-0.03227275,0.64268774,-0.67793884,2.37031026,-1.14276421,0.32901456,-0.29406427,1.76202233,-1.52464444,0.92651191,-0.39629711,0.08667766,-0.07640514,2.65948167,-1.75801225
-5.91595798,5.98665012,-4.42602749,0.03314531,-0.03365992,0.62306672,-0.69793458,2.37293602,-1.19904656,0.32236775,-0.30681953,1.73587054,-1.55784543,0.89798856,-0.41298326,0.08482194,-0.07976792,2.63831738,-1.82708707
-5.90995498,5.87880437,-4.58242932,0.03229506,-0.03498616,0.60282095,-0.71698732,2.36503373,-1.25837440,0.31516171,-0.31991120,1.70544276,-1.59070259,0.86863015,-0.42932099,0.08289982,-0.08323516,2.60808239,-1.89940601
-5.90395198,5.75553325,-4.74022603,0.03162246,-0.03624651,0.58211952,-0.73494658,2.34658103,-1.32039157,0.30742416,-0.33320186,1.67088965,-1.62306229,0.83873394,-0.44513722,0.08092475,-0.08676082,2.56889453,-1.97423733
-5.89794897,5.61796915,-4.89787871,0.03112361,-0.03743936,0.56116794,-0.75168683,2.31780715,-1.38469039,0.29919875,-0.34655102,1.63253283,-1.65477747,0.80863826,-0.46027794,0.07891170,-0.09030066,2.52111034,-2.05081940
-5.89194597,5.46770208,-5.05389413,0.03079274,-0.03856677,0.54020681,-0.76711204,2.27918568,-1.45081453,0.29054519,-0.35981795,1.59086251,-1.68571138,0.77871958,-0.47461268,0.07687719,-0.09381314,2.46531845,-2.12837367
-5.88594297,5.30674996,-5.20685193,0.03062288,-0.03963450,0.51950888,-0.78115889,2.23142012,-1.51826193,0.28153877,-0.37286429,1.54652950,-1.71573939,0.74938735,-0.48803802,0.07483933,-0.09726008,2.40232588,-2.20611643
-5.87993997,5.13751446,-5.35542601,0.03060657,-0.04065196,0.49937449,-0.79379849,2.17542272,-1.58648792,0.27226945,-0.38555645,1.50033221,-1.74474891,0.72107681,-0.50048001,0.07281782,-0.10060717,2.33313783,-2.28326915
-5.87393697,4.96272396,-5.49840000,0.03073643,-0.04163199,0.48012564,-0.80503648,2.11228778,-1.65490876,0.26284054,-0.39776783,1.45319879,-1.77263735,0.69423989,-0.51189541,0.07083397,-0.10382432,2.25893192,-2.35906755
-5.86793397,4.78536575,-5.63467711,0.03100561,-0.04259049,0.46209877,-0.81491149,2.04326026,-1.72290580,0.25336684,-0.40938073,1.40616537,-1.79930881,0.66933456,-0.52227181,0.06891056,-0.10688573,2.18102766,-2.43276938
-5.86193097,4.60860971,-5.76328495,0.03140820,-0.04354591,0.44563654,-0.82349238,1.96970106,-1.78983066,0.24397254,-0.42028796,1.36035062,-1.82466958,0.64681289,-0.53162646,0.06707178,-0.10976992,2.10085237,-2.50366128
-5.85592796,4.43572591,-5.88337634,0.03193941,-0.04451861,0.43107879,-0.83087408,1.89304991,-1.85501164,0.23478868,-0.43039427,1.31692764,-1.84862357,0.62710842,-0.54000410,0.06534298,-0.11245954,2.01990438,-2.57106508
-5.84992496,4.26999854,-5.99422727,0.03259559,-0.04553011,0.41875309,-0.83717268,1.81478714,-1.91776174,0.22595043,-0.43961741,1.27709354,-1.87106798,0.61062325,-0.54747387,0.06375038,-0.11494115,1.93971484,-2.63434377
-5.84392196,4.11463876,-6.09523334,0.03337421,-0.04660227,0.40896507,-0.84251985,1.73639538,-1.97738845,0.21759406,-0.44788907,1.24203747,-1.89189029,0.59771526,-0.55412529,0.06232067,-0.11720488,1.86180881,-2.69290758
-5.83791896,3.97269866,-6.18590563,0.03427357,-0.04775643,0.40198882,-0.84705708,1.65932202,-2.03320538,0.20985378,-0.45515547,1.21290776,-1.91096692,0.58868627,-0.56006373,0.06108054,-0.11924406,1.78766687,-2.74622043
-5.83191596,3.84698872,-6.26586713,0.03529249,-0.04901253,0.39805782,-0.85092997,1.58494355,-2.08454580,0.20285848,-0.46137778,1.19077882,-1.92816428,0.58377126,-0.56540536,0.06005606,-0.12105488,1.71868795,-2.79380681
-5.82591296,3.74000088,-6.33485037,0.03642988,-0.05038821,0.39735645,-0.85428287,1.51453236,-2.13077769,0.19672845,-0.46653229,1.17661834,-1.94334240,0.58312941,-0.57027192,0.05927202,-0.12263601,1.65615425,-2.83525910
-5.81990995,3.65383900,-6.39269660,0.03768429,-0.05189802,0.40001255,-0.85725417,1.44922678,-2.17132006,0.19157209,-0.47061035,1.17125575,-1.95636124,0.58683716,-0.57478534,0.05875119,-0.12398828,1.60119908,-2.87024536
-5.81390695,3.59015874,-6.43935645,0.03905338,-0.05355264,0.40609113,-0.85997227,1.39000497,-2.20565993,0.18748280,-0.47361806,1.17535242,-1.96708949,0.59488367,-0.57906252,0.05851353,-0.12511440,1.55477817,-2.89851704
-5.80790395,3.55011815,-6.47489175,0.04053346,-0.05535823,0.41558965,-0.86255244,1.33766316,-2.23336917,0.18453609,-0.47557568,1.18937461,-1.97541542,0.60716885,-0.58321033,0.05857542,-0.12601869,1.51764529,-2.91991638
