energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,12.66123105,0.01287868,2.86569013,0.98486745,0.35539494,10.14584022,6.30345329,0.11488237,2.30847861
-5.99399700,12.34922589,0.01221333,2.79032672,0.96746023,0.34661834,9.99888804,6.11862096,0.11501993,2.26634680
-5.98799400,12.00361713,0.01153932,2.70720276,0.94773641,0.33652269,9.82286683,5.91841823,0.11493299,2.21760688
-5.98199100,11.63131122,0.01086787,2.61778815,0.92622286,0.32534947,9.62322672,5.70609078,0.11469924,2.16364829
-5.97598799,11.23954460,0.01020974,2.52363179,0.90345320,0.31335678,9.40567076,5.48502951,0.11440077,2.10592634
-5.96998499,10.83566748,0.00957496,2.42631462,0.87995101,0.30081198,9.17596220,5.25867451,0.11412123,2.04591731
-5.96398199,10.42693005,0.00897277,2.32740306,0.85621360,0.28798414,8.93973494,5.03042069,0.11394283,1.98507371
-5.95797899,10.02027968,0.00841139,2.22840482,0.83269712,0.27513676,8.70231556,4.80352893,0.11394348,1.92478138
-5.95197599,9.62217714,0.00789804,2.13072874,0.80980362,0.26252105,8.46856436,4.58104605,0.11419406,1.86632024
-5.94597299,9.23843866,0.00743878,2.03565034,0.78787048,0.25036985,8.24274208,4.36573643,0.11475600,1.81083014
-5.93996998,8.87410912,0.00703861,1.94428404,0.76716282,0.23889258,8.02840722,4.16002743,0.11567928,1.75928309
-5.93396698,8.53337023,0.00670140,1.85756301,0.74786904,0.22827123,7.82834738,3.96596994,0.11700087,1.71246281
-5.92796398,8.21948551,0.00642999,1.77622691,0.73009967,0.21865755,7.64454634,3.78521468,0.11874375,1.67095232
-5.92196098,7.93478229,0.00622627,1.70081757,0.71388964,0.21017142,7.47818643,3.61900405,0.12091646,1.63512963
-5.91595798,7.68066913,0.00609125,1.63168227,0.69920359,0.20290050,7.32968433,3.46817869,0.12351320,1.60517147
-5.90995498,7.45768542,0.00602516,1.56898379,0.68594413,0.19690089,7.19875662,3.33319717,0.12651446,1.58106460
-5.90395198,7.26557882,0.00602761,1.51271634,0.67396249,0.19219892,7.08451009,3.21416676,0.12988822,1.56262375
-5.89794897,7.10340492,0.00609766,1.46272606,0.66307105,0.18879370,6.98555098,3.11088306,0.13359141,1.54951517
-5.89194597,6.96964313,0.00623392,1.41873487,0.65305711,0.18666037,6.90010648,3.02287572,0.13757182,1.54128445
-5.88594297,6.86232224,0.00643470,1.38036620,0.64369725,0.18575394,6.82615176,2.94945775,0.14177020,1.53738715
-5.87993997,6.77914939,0.00669802,1.34717134,0.63477158,0.18601328,6.76153598,2.88977591,0.14612242,1.53722078
-5.87393697,6.71763647,0.00702173,1.31865512,0.62607730,0.18736528,6.70410113,2.84285976,0.15056170,1.54015652
-5.86793397,6.67521858,0.00740350,1.29429981,0.61744078,0.18972898,6.65178855,2.80766766,0.15502073,1.54556951
-5.86193097,6.64936027,0.00784088,1.27358650,0.60872793,0.19301931,6.60272902,2.78312792,0.15943367,1.55286618
-5.85592796,6.63764611,0.00833127,1.25601317,0.59985213,0.19715058,6.55531344,2.76817421,0.16373779,1.56150786
-5.84992496,6.63785336,0.00887191,1.24110922,0.59077966,0.20203941,6.50824267,2.76177450,0.16787495,1.57102961
-5.84392196,6.64800567,0.00945981,1.22844620,0.58153233,0.20760705,6.46055602,2.76295331,0.17179265,1.58105397
-5.83791896,6.66640756,0.01009174,1.21764478,0.57218733,0.21378111,6.41163947,2.77080751,0.17544484,1.59129919
-5.83191596,6.69166070,0.01076415,1.20837842,0.56287439,0.22049657,6.36121538,2.78451608,0.17879229,1.60158203
-5.82591296,6.72266329,0.01147308,1.20037389,0.55377034,0.22769623,6.30931629,2.80334448,0.18180278,1.61181535
-5.81990995,6.75859497,0.01221412,1.19340929,0.54509155,0.23533035,6.25624624,2.82664453,0.18445089,1.62200095
-5.81390695,6.79888942,0.01298235,1.18731007,0.53708449,0.24335593,6.20253275,2.85385061,0.18671770,1.63221830
-5.80790395,6.84319768,0.01377231,1.18194363,0.53001487,0.25173529,6.14887325,2.88447303,0.18859018,1.64260996
-5.80190095,6.89134455,0.01457793,1.17721293,0.52415597,0.26043439,6.09607907,2.91808928,0.19006058,1.65336455
-5.79589795,6.94328098,0.01539259,1.17304974,0.51977648,0.26942074,6.04502001,2.95433402,0.19112569,1.66469816
-5.78989495,6.99903468,0.01620908,1.16940776,0.51712848,0.27866117,5.99657178,2.99288804,0.19178608,1.67683526
-5.78389195,7.05866115,0.01701968,1.16625594,0.51643608,0.28811958,5.95156842,3.03346698,0.19204534,1.68998990
-5.77788894,7.12219710,0.01781627,1.16357234,0.51788503,0.29775466,5.91076072,3.07580985,0.19190941,1.70434811
-5.77188594,7.18961793,0.01859038,1.16133846,0.52161392,0.30751794,5.87478164,3.11966799,0.19138592,1.72005232
-5.76588294,7.26080061,0.01933334,1.15953433,0.52770712,0.31735209,5.84411884,3.16479443,0.19048366,1.73718848
-5.75987994,7.33549334,0.02003648,1.15813425,0.53618994,0.32718969,5.81909455,3.21093433,0.18921210,1.75577629
-5.75387694,7.41329292,0.02069125,1.15710331,0.54702603,0.33695259,5.79985228,3.25781655,0.18758105,1.77576324
-5.74787394,7.49363097,0.02128946,1.15639462,0.56011733,0.34655183,5.78635013,3.30514711,0.18560038,1.79702240
-5.74187094,7.57576945,0.02182344,1.15594737,0.57530640,0.35588835,5.77836037,3.35260475,0.18327985,1.81935436
-5.73586793,7.65880642,0.02228629,1.15568568,0.59238128,0.36485433,5.77547488,3.39983924,0.18062908,1.84249310
-5.72986493,7.74169200,0.02267201,1.15551839,0.61108257,0.37333529,5.77711620,3.44647303,0.17765751,1.86611564
-5.72386193,7.82325488,0.02297578,1.15533974,0.63111254,0.38121281,5.78255419,3.49210636,0.17437456,1.88985509
-5.71785893,7.90223879,0.02319402,1.15503117,0.65214592,0.38836786,5.79092808,3.53632647,0.17078978,1.91331662
-5.71185593,7.97734823,0.02332461,1.15446413,0.67384201,0.39468459,5.80127384,3.57872066,0.16691315,1.93609560
-5.70585293,8.04730227,0.02336693,1.15350398,0.69585756,0.40005444,5.81255681,3.61889337,0.16275534,1.95779731
-5.69984992,8.11089440,0.02332198,1.15201497,0.71785996,0.40438034,5.82370907,3.65648647,0.15832812,1.97805713
-5.69384692,8.16705636,0.02319238,1.14986614,0.73954017,0.40758101,5.83367109,3.69120233,0.15364474,1.99656056
-5.68784392,8.21492309,0.02298231,1.14693789,0.76062478,0.40959485,5.84143674,3.72282835,0.14872028,2.01306193
-5.68184092,8.25389568,0.02269751,1.14312913,0.78088683,0.41038352,5.84610028,3.75126183,0.14357205,2.02740098
-5.67583792,8.28369905,0.02234510,1.13836447,0.80015466,0.40993494,5.84690385,3.77653354,0.13821988,2.03951652
-5.66983492,8.30443100,0.02193344,1.13260113,0.81831863,0.40826543,5.84328347,3.79882838,0.13268639,2.04945640
-5.66383192,8.31659928,0.02147193,1.12583516,0.83533514,0.40542112,5.83491143,3.81850152,0.12699711,2.05738314
-5.65782891,8.32114393,0.02097075,1.11810653,0.85122788,0.40147827,5.82173274,3.83608843,0.12118049,2.06357499
-5.65182591,8.31944241,0.02044062,1.10950247,0.86608616,0.39654271,5.80399349,3.85230737,0.11526782,2.06842205
-5.64582291,8.31329592,0.01989248,1.10015905,0.88006030,0.39074825,5.78225898,3.86805342,0.10929294,2.07241759
-5.63981991,8.30489605,0.01933722,1.09026026,0.89335437,0.38425417,5.75741994,3.88438335,0.10329187,2.07614472
-5.63381691,8.29677195,0.01878536,1.08003486,0.90621627,0.37724181,5.73068557,3.90249110,0.09730228,2.08025893
