energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.93418307,0.01776925,0.05270996,0.63930339,0.77185258,1.14455450,0.00000000,0.58960015,0.12726152
-5.99399700,1.93963659,0.01750769,0.05172738,0.64416551,0.77287267,1.15042256,0.00000000,0.59192597,0.12768965
-5.98799400,1.94233183,0.01721041,0.05065859,0.64774585,0.77280764,1.15472411,0.00000000,0.59421623,0.12798364
-5.98199100,1.94281888,0.01688058,0.04951753,0.65021808,0.77190884,1.15778149,0.00000000,0.59667936,0.12817742
-5.97598799,1.94178186,0.01652220,0.04832202,0.65180632,0.77047619,1.15999592,0.00000000,0.59954353,0.12831415
-5.96998499,1.94000370,0.01614000,0.04709315,0.65277317,0.76884285,1.16182631,0.00000000,0.60304495,0.12844416
-5.96398199,1.93832530,0.01573922,0.04585450,0.65340584,0.76735779,1.16376475,0.00000000,0.60741513,0.12862239
-5.95797899,1.93760100,0.01532544,0.04463120,0.65400090,0.76636718,1.16630988,0.00000000,0.61286782,0.12890554
-5.95197599,1.93865253,0.01490431,0.04344898,0.65484860,0.76619546,1.16993936,0.00000000,0.61958608,0.12934903
-5.94597299,1.94222376,0.01448138,0.04233309,0.65621727,0.76712688,1.17508290,0.00000000,0.62771037,0.13000394
-5.93996998,1.94893855,0.01406191,0.04130726,0.65833892,0.76938866,1.18209724,0.00000000,0.63732811,0.13091410
-5.93396698,1.95926395,0.01365061,0.04039273,0.66139656,0.77313650,1.19124443,0.00000000,0.64846533,0.13211346
-5.92796398,1.97348056,0.01325157,0.03960735,0.66551396,0.77844326,1.20267444,0.00000000,0.66108096,0.13362395
-5.92196098,1.99166173,0.01286810,0.03896483,0.67074844,0.78529144,1.21641315,0.00000000,0.67506400,0.13545376
-5.91595798,2.01366265,0.01250266,0.03847417,0.67708688,0.79356988,1.23235635,0.00000000,0.69023385,0.13759646
-5.90995498,2.03911990,0.01215683,0.03813924,0.68444537,0.80307498,1.25027003,0.00000000,0.70634385,0.14003063
-5.90395198,2.06746165,0.01183133,0.03795862,0.69267224,0.81351638,1.26979695,0.00000000,0.72308782,0.14272037
-5.89794897,2.09792780,0.01152604,0.03792563,0.70155445,0.82452681,1.29046932,0.00000000,0.74010946,0.14561638
-5.89194597,2.12959914,0.01124015,0.03802853,0.71082688,0.83567585,1.31172669,0.00000000,0.75701410,0.14865777
-5.88594297,2.16143407,0.01097219,0.03825098,0.72018405,0.84648672,1.33293832,0.00000000,0.77338223,0.15177435
-5.87993997,2.19231098,0.01072022,0.03857266,0.72929356,0.85645546,1.35342883,0.00000000,0.78878431,0.15488949
-5.87393697,2.22107411,0.01048197,0.03896994,0.73781057,0.86507149,1.37250578,0.00000000,0.80279603,0.15792310
-5.86793397,2.24658075,0.01025493,0.03941683,0.74539268,0.87183853,1.38948791,0.00000000,0.81501344,0.16079488
-5.86193097,2.26774735,0.01003653,0.03988586,0.75171418,0.87629503,1.40373260,0.00000000,0.82506711,0.16342756
-5.85592796,2.28359247,0.00982423,0.04034907,0.75647940,0.87803286,1.41466120,0.00000000,0.83263495,0.16574989
-5.84992496,2.29327454,0.00961563,0.04077900,0.75943411,0.87671373,1.42178117,0.00000000,0.83745285,0.16769941
-5.84392196,2.29612278,0.00940852,0.04114959,0.76037488,0.87208237,1.42470404,0.00000000,0.83932305,0.16922470
-5.83791896,2.29166008,0.00920099,0.04143708,0.75915574,0.86397595,1.42315835,0.00000000,0.83811965,0.17028717
-5.83191596,2.27961697,0.00899137,0.04162071,0.75569222,0.85232959,1.41699734,0.00000000,0.83379137,0.17086218
-5.82591296,2.25993642,0.00877830,0.04168339,0.74996254,0.83717750,1.40620103,0.00000000,0.82636139,0.17093954
-5.81990995,2.23276957,0.00856071,0.04161211,0.74200606,0.81865015,1.39087299,0.00000000,0.81592453,0.17052330
-5.81390695,2.19846299,0.00833778,0.04139826,0.73191945,0.79696755,1.37123202,0.00000000,0.80264192,0.16963099
-5.80790395,2.15753845,0.00810891,0.04103775,0.71985057,0.77242916,1.34759954,0.00000000,0.78673368,0.16829224
-5.80190095,2.11066649,0.00787371,0.04053093,0.70599082,0.74540106,1.32038340,0.00000000,0.76846974,0.16654688
-5.79589795,2.05863542,0.00763194,0.03988235,0.69056623,0.71630107,1.29005898,0.00000000,0.74815969,0.16444274
-5.78989495,2.00231719,0.00738352,0.03910044,0.67382781,0.68558262,1.25714882,0.00000000,0.72614172,0.16203312
-5.78389195,1.94263221,0.00712847,0.03819695,0.65604174,0.65371808,1.22220152,0.00000000,0.70277143,0.15937421
-5.77788894,1.88051443,0.00686692,0.03718639,0.63747972,0.62118243,1.18577114,0.00000000,0.67841085,0.15652247
-5.77188594,1.81687845,0.00659912,0.03608532,0.61840993,0.58843790,1.14839787,0.00000000,0.65341801,0.15353215
-5.76588294,1.75258994,0.00632541,0.03491166,0.59908895,0.55592016,1.11059077,0.00000000,0.62813747,0.15045312
-5.75987994,1.68844044,0.00604626,0.03368396,0.57975484,0.52402664,1.07281320,0.00000000,0.60289201,0.14732904
-5.75387694,1.62512731,0.00576225,0.03242072,0.56062145,0.49310717,1.03547144,0.00000000,0.57797568,0.14419590
-5.74787394,1.56323939,0.00547413,0.03113976,0.54187430,0.46345736,0.99890654,0.00000000,0.55364830,0.14108114
-5.74187094,1.50324838,0.00518277,0.02985764,0.52366770,0.43531455,0.96338983,0.00000000,0.53013150,0.13800317
-5.73586793,1.44550611,0.00488920,0.02858926,0.50612336,0.40885640,0.92912158,0.00000000,0.50760611,0.13497149
-5.72986493,1.39024698,0.00459460,0.02734748,0.48933020,0.38420196,0.89623294,0.00000000,0.48621109,0.13198722
-5.72386193,1.33759529,0.00430029,0.02614292,0.47334531,0.36141485,0.86479053,0.00000000,0.46604369,0.12904397
-5.71785893,1.28757655,0.00400771,0.02498384,0.45819594,0.34050830,0.83480345,0.00000000,0.44716082,0.12612924
-5.71185593,1.24013205,0.00371838,0.02387624,0.44388230,0.32145165,0.80623202,0.00000000,0.42958142,0.12322586
-5.70585293,1.19513563,0.00343390,0.02282389,0.43038101,0.30417784,0.77899791,0.00000000,0.41328983,0.12031371
-5.69984992,1.15241196,0.00315586,0.02182862,0.41764917,0.28859163,0.75299499,0.00000000,0.39823979,0.11737151
-5.69384692,1.11175530,0.00288586,0.02089059,0.40562876,0.27457806,0.72810050,0.00000000,0.38435917,0.11437854
-5.68784392,1.07294805,0.00262540,0.02000865,0.39425131,0.26201082,0.70418607,0.00000000,0.37155511,0.11131623
-5.68184092,1.03577829,0.00237592,0.01918070,0.38344273,0.25076029,0.68112818,0.00000000,0.35971950,0.10816970
-5.67583792,1.00005588,0.00213868,0.01840412,0.37312816,0.24070091,0.65881769,0.00000000,0.34873470,0.10492887
-5.66983492,0.96562645,0.00191479,0.01767611,0.36323671,0.23171777,0.63716833,0.00000000,0.33847920,0.10158951
