energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,5.05911051,0.04329569,0.35713589,1.44746467,0.79354680,1.14010365,0.50326501,0.06899100,2.36675275
-5.99399700,5.13421576,0.04287778,0.36388293,1.48393781,0.79351447,1.17981882,0.51449708,0.06622249,2.40431294
-5.98799400,5.20571291,0.04244601,0.37018101,1.51781785,0.79359585,1.22088422,0.52486565,0.06344103,2.44021354
-5.98199100,5.27422334,0.04203285,0.37601018,1.54896701,0.79415046,1.26339103,0.53435468,0.06068243,2.47477893
-5.97598799,5.34042947,0.04167035,0.38136229,1.57728304,0.79553038,1.30740922,0.54296723,0.05798325,2.50835334
-5.96998499,5.40500520,0.04138856,0.38623784,1.60269199,0.79806120,1.35296837,0.55072038,0.05537929,2.54126803
-5.96398199,5.46854279,0.04121407,0.39064215,1.62513964,0.80202315,1.40003787,0.55763937,0.05290410,2.57380720
-5.95797899,5.53148064,0.04116865,0.39458137,1.64458234,0.80763314,1.44850773,0.56375145,0.05058764,2.60617449
-5.95197599,5.59403622,0.04126807,0.39805841,1.66097770,0.81502891,1.49817141,0.56907964,0.04845503,2.63846228
-5.94597299,5.65614886,0.04152130,0.40106929,1.67427597,0.82425623,1.54871183,0.57363702,0.04652552,2.67062564
-5.93996998,5.71743605,0.04192985,0.40359999,1.68441267,0.83525979,1.59969207,0.57742189,0.04481186,2.70246286
-5.93396698,5.77716685,0.04248757,0.40562412,1.69130307,0.84787861,1.65055150,0.58041407,0.04331976,2.73360399
-5.92796398,5.83425481,0.04318073,0.40710171,1.69483900,0.86184635,1.70060844,0.58257276,0.04204792,2.76350857
-5.92196098,5.88727174,0.04398841,0.40797897,1.69488830,0.87679665,1.74906955,0.58383600,0.04098820,2.79147308
-5.91595798,5.93448285,0.04488332,0.40818942,1.69129716,0.89227355,1.79504613,0.58412200,0.04012620,2.81664842
-5.90995498,5.97390207,0.04583274,0.40765602,1.68389529,0.90774650,1.83757709,0.58333207,0.03944208,2.83806681
