energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.40261862,0.03147419,0.08725902,0.01626377,0.32501142,0.79129317,0.41618193
-5.99399700,1.48574890,0.03376064,0.09332817,0.01661489,0.34372790,0.84112537,0.43945914
-5.98799400,1.56714195,0.03596233,0.09914334,0.01707635,0.36198013,0.88893055,0.46257849
-5.98199100,1.64512421,0.03803962,0.10460661,0.01762610,0.37939409,0.93380825,0.48501095
-5.97598799,1.71808810,0.03995352,0.10962358,0.01824346,0.39561334,0.97489817,0.50624524
-5.96998499,1.78454004,0.04166677,0.11410654,0.01890956,0.41030994,1.01140716,0.52580227
-5.96398199,1.84314599,0.04314497,0.11797743,0.01960772,0.42319468,1.04263481,0.54324896
-5.95797899,1.89277250,0.04435771,0.12117062,0.02032376,0.43402601,1.06799662,0.55821075
-5.95197599,1.93252141,0.04527949,0.12363533,0.02104615,0.44261753,1.08704355,0.57038230
-5.94597299,1.96175652,0.04589062,0.12533759,0.02176610,0.44884335,1.09947693,0.57953592
-5.93996998,1.98012090,0.04617787,0.12626156,0.02247742,0.45264133,1.10515818,0.58552729
-5.93396698,1.98754385,0.04613495,0.12641025,0.02317641,0.45401389,1.10411254,0.58829816
-5.92796398,1.98423722,0.04576267,0.12580549,0.02386151,0.45302635,1.09652676,0.58787590
-5.92196098,1.97068108,0.04506894,0.12448719,0.02453294,0.44980288,1.08274073,0.58436997
-5.91595798,1.94759934,0.04406846,0.12251192,0.02519222,0.44452026,1.06323349,0.57796532
-5.90995498,1.91592672,0.04278224,0.11995083,0.02584162,0.43739978,1.03860412,0.56891318
-5.90395198,1.87676834,0.04123681,0.11688703,0.02648368,0.42869761,1.00954864,0.55751963
-5.89794897,1.83135421,0.03946333,0.11341260,0.02712063,0.41869418,0.97683384,0.54413243
-5.89194597,1.78099069,0.03749658,0.10962522,0.02775394,0.40768314,0.94126938,0.52912696
-5.88594297,1.72701126,0.03537381,0.10562474,0.02838387,0.39596026,0.90367938,0.51289171
-5.87993997,1.67072900,0.03313359,0.10150972,0.02900919,0.38381309,0.86487488,0.49581411
-5.87393697,1.61339292,0.03081470,0.09737422,0.02962700,0.37151152,0.82562837,0.47826746
-5.86793397,1.55614998,0.02845503,0.09330478,0.03023267,0.35929998,0.78665131,0.46059930
-5.86193097,1.50001443,0.02609063,0.08937793,0.03081997,0.34739128,0.74857570,0.44312185
-5.85592796,1.44584547,0.02375492,0.08565818,0.03138132,0.33596251,0.71194013,0.42610482
-5.84992496,1.39433380,0.02147795,0.08219659,0.03190816,0.32515303,0.67718086,0.40977078
-5.84392196,1.34599710,0.01928601,0.07903001,0.03239151,0.31506440,0.64462777,0.39429309
