energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,11.72866352,0.03397418,1.33007847,6.20173108,4.76948486,0.07753260,3.78195677,1.71423270,0.39575056
-5.99399700,11.31867214,0.03349656,1.29408767,5.93660173,4.59589266,0.07598566,3.65972366,1.65661631,0.38580525
-5.98799400,10.91693435,0.03307790,1.25899904,5.66855343,4.42977798,0.07446485,3.53732675,1.59852507,0.37618078
-5.98199100,10.52762757,0.03273381,1.22516453,5.40061477,4.27236231,0.07298896,3.41642870,1.54061599,0.36705396
-5.97598799,10.15465642,0.03248019,1.19289532,5.13573271,4.12468607,0.07157482,3.29867023,1.48355627,0.35859536
-5.96998499,9.80155779,0.03233264,1.16245135,4.87671005,3.98758511,0.07023644,3.18562792,1.42800601,0.35096458
-5.96398199,9.47141191,0.03230590,1.13403188,4.62614466,3.86167037,0.06898430,3.07877296,1.37460062,0.34430577
-5.95797899,9.16676366,0.03241326,1.10776755,4.38637318,3.74731239,0.06782489,2.97943267,1.32393352,0.33874336
-5.95197599,8.88955806,0.03266599,1.08371467,4.15942126,3.64463164,0.06676027,2.88875618,1.27654015,0.33437828
-5.94597299,8.64109304,0.03307282,1.06185202,3.94696254,3.55349577,0.06578802,2.80768558,1.23288384,0.33128478
-5.93996998,8.42199202,0.03363951,1.04208056,3.75028795,3.47352439,0.06490127,2.73693358,1.19334418,0.32950795
-5.93396698,8.23219753,0.03436850,1.02422628,3.57028665,3.40410161,0.06408905,2.67696829,1.15820839,0.32906205
-5.92796398,8.07098618,0.03525859,1.00804608,3.40743923,3.34439609,0.06333675,2.62800542,1.12766569,0.32992969
-5.92196098,7.93700422,0.03630487,0.99323656,3.26182335,3.29338812,0.06262679,2.59000783,1.10180511,0.33206181
-5.91595798,7.82832180,0.03749856,0.97944543,3.13313135,3.24990252,0.06193943,2.56269218,1.08061624,0.33537861
-5.90995498,7.74250355,0.03882713,0.96628494,3.02069882,3.21264632,0.06125361,2.54554199,1.06399305,0.33977115
