energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.73808314,0.14961810,0.10764990,0.01286981,0.03289552,0.03437258,0.26602215,0.30441877,0.04526051
-5.99399700,0.79261599,0.16550407,0.11387622,0.01379084,0.03672659,0.03622682,0.28768181,0.33138051,0.04770591
-5.98799400,0.85259130,0.18314215,0.12113828,0.01470463,0.04108700,0.03818908,0.31106426,0.36098218,0.05036734
-5.98199100,0.91736785,0.20242186,0.12934350,0.01559386,0.04595604,0.04021826,0.33594929,0.39292678,0.05320082
-5.97598799,0.98622532,0.22319921,0.13839141,0.01644180,0.05130324,0.04227357,0.36208461,0.42687276,0.05616001
-5.96998499,1.05836612,0.24529478,0.14817317,0.01723273,0.05708753,0.04431538,0.38918665,0.46243407,0.05919682
-5.96398199,1.13291965,0.26849290,0.15857150,0.01795232,0.06325672,0.04630614,0.41694227,0.49918158,0.06226198
-5.95797899,1.20894952,0.29254204,0.16946102,0.01858808,0.06974731,0.04821127,0.44501170,0.53664612,0.06530581
-5.95197599,1.28546409,0.31715651,0.18070909,0.01912970,0.07648470,0.04999993,0.47303264,0.57432332,0.06827894
-5.94597299,1.36143019,0.34201986,0.19217716,0.01956944,0.08338387,0.05164579,0.50062566,0.61168029,0.07113309
-5.93996998,1.43579018,0.36678962,0.20372278,0.01990237,0.09035062,0.05312760,0.52740077,0.64816417,0.07382196
-5.93396698,1.50748187,0.39110375,0.21520205,0.02012666,0.09728316,0.05442968,0.55296503,0.68321248,0.07630202
-5.92796398,1.57546090,0.41458838,0.22647249,0.02024365,0.10407432,0.05554221,0.57693107,0.71626488,0.07853341
-5.92196098,1.63872474,0.43686677,0.23739633,0.02025787,0.11061406,0.05646129,0.59892621,0.74677620,0.08048069
-5.91595798,1.69633757,0.45756914,0.24784392,0.02017704,0.11679233,0.05718892,0.61860188,0.77423014,0.08211361
-5.90995498,1.74745486,0.47634298,0.25769712,0.02001183,0.12250214,0.05773263,0.63564299,0.79815324,0.08340776
-5.90395198,1.79134669,0.49286354,0.26685254,0.01977561,0.12764273,0.05810502,0.64977682,0.81812845,0.08434505
-5.89794897,1.82741860,0.50684384,0.27522446,0.01948409,0.13212269,0.05832305,0.66078106,0.83380776,0.08491416
-5.89194597,1.85522891,0.51804389,0.28274703,0.01915488,0.13586285,0.05840721,0.66849061,0.84492325,0.08511066
-5.88594297,1.87450161,0.52627872,0.28937593,0.01880696,0.13879882,0.05838055,0.67280283,0.85129611,0.08493710
-5.87993997,1.88513404,0.53142459,0.29508904,0.01846017,0.14088319,0.05826753,0.67368094,0.85284295,0.08440276
-5.87393697,1.88719879,0.53342338,0.29988628,0.01813458,0.14208700,0.05809297,0.67115530,0.84957924,0.08352338
-5.86793397,1.88093968,0.53228470,0.30378849,0.01784995,0.14240067,0.05788081,0.66532265,0.84161950,0.08232051
-5.86193097,1.86676183,0.52808568,0.30683530,0.01762514,0.14183423,0.05765308,0.65634313,0.82917423,0.08082089
-5.85592796,1.84521625,0.52096848,0.30908235,0.01747761,0.14041682,0.05742884,0.64443527,0.81254363,0.07905551
-5.84992496,1.81697961,0.51113563,0.31059768,0.01742291,0.13819557,0.05722329,0.62986926,0.79210834,0.07705874
-5.84392196,1.78283030,0.49884333,0.31145775,0.01747432,0.13523382,0.05704708,0.61295856,0.76831761,0.07486726
-5.83791896,1.74362175,0.48439324,0.31174319,0.01764254,0.13160889,0.05690583,0.59405058,0.74167537,0.07251904
-5.83191596,1.70025446,0.46812291,0.31153449,0.01793548,0.12740939,0.05679985,0.57351653,0.71272491,0.07005231
-5.82591296,1.65364805,0.45039553,0.31090808,0.01835821,0.12273226,0.05672417,0.55174111,0.68203273,0.06750466
-5.81990995,1.60471465,0.43158924,0.30993277,0.01891298,0.11767975,0.05666878,0.52911245,0.65017227,0.06491215
-5.81390695,1.55433484,0.41208669,0.30866698,0.01959933,0.11235634,0.05661919,0.50601259,0.61770835,0.06230864
-5.80790395,1.50333709,0.39226498,0.30715677,0.02041443,0.10686576,0.05655714,0.48280905,0.58518266,0.05972520
-5.80190095,1.45248144,0.37248664,0.30543486,0.02135334,0.10130837,0.05646159,0.45984762,0.55310111,0.05718979
-5.79589795,1.40244788,0.35309163,0.30352064,0.02240951,0.09577873,0.05630985,0.43744658,0.52192318,0.05472703
-5.78989495,1.35382950,0.33439075,0.30142108,0.02357525,0.09036366,0.05607874,0.41589249,0.49205375,0.05235814
