energy_ev,total_up,P_s_up,P_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,4.77948835,0.00772524,0.21941365,1.44361269,2.94186816,0.07324709,1.33082590
-5.99399700,4.99136730,0.00787729,0.22881497,1.50057323,3.07248527,0.07671979,1.39325117
-5.98799400,5.20449978,0.00805500,0.23797470,1.56002756,3.20213621,0.08028179,1.45670808
-5.98199100,5.41752265,0.00825479,0.24679291,1.62168932,3.33001521,0.08391043,1.52073472
-5.97598799,5.62898294,0.00847282,0.25516832,1.68517556,3.45532449,0.08758133,1.58481213
-5.96998499,5.83735797,0.00870517,0.26300005,1.75001070,3.57728457,0.09126899,1.64837302
-5.96398199,6.04107901,0.00894798,0.27018960,1.81563381,3.69514449,0.09494748,1.71081286
-5.95797899,6.23855840,0.00919751,0.27664283,1.88140936,3.80819186,0.09859107,1.77150305
-5.95197599,6.42821910,0.00945025,0.28227189,1.94664072,3.91576261,0.10217492,1.82980581
-5.94597299,6.60852627,0.00970301,0.28699724,2.01058644,4.01725032,0.10567566,1.88509040
-5.93996998,6.77802011,0.00995291,0.29074940,2.07247856,4.11211509,0.10907193,1.93675000
-5.93396698,6.93534904,0.01019743,0.29347069,2.13154244,4.19989198,0.11234484,1.98421886
-5.92796398,7.07930250,0.01043436,0.29511669,2.18701765,4.28019877,0.11547832,2.02698902
-5.92196098,7.20884242,0.01066181,0.29565748,2.23817908,4.35274319,0.11845941,2.06462615
-5.91595798,7.32313244,0.01087811,0.29507859,2.28435768,4.41732940,0.12127842,2.09678384
-5.90995498,7.42156390,0.01108181,0.29338172,2.32496018,4.47386354,0.12392902,2.12321584
-5.90395198,7.50377771,0.01127158,0.29058500,2.35948703,4.52235823,0.12640822,2.14378588
-5.89794897,7.56968118,0.01144616,0.28672304,2.38754803,4.56293580,0.12871635,2.15847444
-5.89194597,7.61945907,0.01160430,0.28184649,2.40887505,4.59582989,0.13085685,2.16738251
-5.88594297,7.65357807,0.01174471,0.27602136,2.42333143,4.62138528,0.13283614,2.17073179
-5.87993997,7.67278431,0.01186604,0.26932787,2.43091762,4.64005552,0.13466336,2.16886149
-5.87393697,7.67809341,0.01196687,0.26185903,2.43177298,4.65239823,0.13635008,2.16222168
-5.86793397,7.67077315,0.01204569,0.25371888,2.42617349,4.65906786,0.13790999,2.15136331
-5.86193097,7.65231865,0.01210093,0.24502046,2.41452558,4.66080553,0.13935855,2.13692519
-5.85592796,7.62442055,0.01213103,0.23588355,2.39735611,4.65842622,0.14071264,2.11961840
-5.84992496,7.58892679,0.01213443,0.22643226,2.37529903,4.65280304,0.14199015,2.10020837
-5.84392196,7.54779875,0.01210972,0.21679251,2.34907884,4.64484877,0.14320956,2.07949532
-5.83791896,7.50306286,0.01205564,0.20708946,2.31949176,4.63549511,0.14438956,2.05829371
-5.83191596,7.45675891,0.01197118,0.19744509,2.28738487,4.62566972,0.14554859,2.03741101
-5.82591296,7.41088650,0.01185569,0.18797574,2.25363406,4.61627182,0.14670441,2.01762685
-5.81990995,7.36735121,0.01170888,0.17878996,2.21912143,4.60814694,0.14787374,1.99967274
-5.81390695,7.32791203,0.01153096,0.16998656,2.18471280,4.60206147,0.14907183,1.98421328
-5.80790395,7.29413195,0.01132259,0.16165297,2.15123603,4.59867813,0.15031214,1.97182932
-5.80190095,7.26733320,0.01108500,0.15386387,2.11946070,4.59853310,0.15160602,1.96300344
-5.79589795,7.24855895,0.01081991,0.14668029,2.09007984,4.60201596,0.15296252,1.95810844
-5.78989495,7.23854293,0.01052958,0.14014893,2.06369419,4.60935340,0.15438817,1.95739893
-5.78389195,7.23768836,0.01021670,0.13430200,2.04079936,4.62059771,0.15588697,1.96100657
-5.77788894,7.24605738,0.00988444,0.12915725,2.02177641,4.63562083,0.15746037,1.96893879
-5.77188594,7.26337161,0.00953626,0.12471848,2.00688592,4.65411481,0.15910739,1.98108144
-5.76588294,7.28902462,0.00917593,0.12097625,1.99626590,4.67559891,0.16082485,1.99720501
-5.75987994,7.32210597,0.00880737,0.11790892,1.98993355,4.69943393,0.16260771,2.01697443
-5.75387694,7.36143672,0.00843459,0.11548388,1.98779075,4.72484318,0.16444942,2.03996214
-5.74787394,7.40561524,0.00806159,0.11365902,1.98963320,4.75094009,0.16634248,2.06566401
-5.74187094,7.45307205,0.00769224,0.11238429,1.99516285,4.77676129,0.16827897,2.09351765
-5.73586793,7.50213168,0.00733024,0.11160347,2.00400327,4.80130424,0.17025112,2.12292244
-5.72986493,7.55107928,0.00697904,0.11125587,2.01571728,4.82356777,0.17225199,2.15326068
-5.72386193,7.59822925,0.00664175,0.11127820,2.02982627,4.84259394,0.17427603,2.18391890
-5.71785893,7.64199306,0.00632113,0.11160630,2.04583040,4.85750921,0.17631964,2.21430879
-5.71185593,7.68094303,0.00601955,0.11217688,2.06322881,4.86756313,0.17838165,2.24388662
-5.70585293,7.71386940,0.00573896,0.11292910,2.08153888,4.87216243,0.18046366,2.27217055
-5.69984992,7.73982760,0.00548092,0.11380605,2.10031375,4.87089896,0.18257021,2.29875494
-5.69384692,7.75817360,0.00524657,0.11475593,2.11915706,4.86356997,0.18470878,2.32332109
-5.68784392,7.76858543,0.00503669,0.11573306,2.13773428,4.85018956,0.18688954,2.34564386
