energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Li_s_up,Te_p_up,Te_d_up
-6.00000000,3.24697272,0.02106563,0.29383877,0.85444527,1.50742916,0.55313410,1.16388312,0.00000000
-5.99399700,3.28275429,0.02170245,0.29246934,0.85880159,1.52343148,0.56656093,1.18035258,0.00000000
-5.98799400,3.30696383,0.02227176,0.28977546,0.86037133,1.53317281,0.57773218,1.19378248,0.00000000
-5.98199100,3.31991271,0.02277246,0.28588523,0.85925941,1.53686019,0.58663511,1.20415828,0.00000000
-5.97598799,3.32209341,0.02320493,0.28095032,0.85561054,1.53482037,0.59330765,1.21148800,0.00000000
-5.96998499,3.31416181,0.02357108,0.27514131,0.84960176,1.52749050,0.59783650,1.21579949,0.00000000
-5.96398199,3.29691721,0.02387414,0.26864272,0.84143490,1.51540618,0.60035347,1.21713872,0.00000000
-5.95797899,3.27128072,0.02411855,0.26164778,0.83132917,1.49918713,0.60103043,1.21556920,0.00000000
-5.95197599,3.23827278,0.02430969,0.25435340,0.81951448,1.47952105,0.60007286,1.21117256,0.00000000
-5.94597299,3.19899035,0.02445362,0.24695521,0.80622538,1.45714598,0.59771240,1.20405004,0.00000000
-5.93996998,3.15458418,0.02455677,0.23964310,0.79169620,1.43283180,0.59419860,1.19432474,0.00000000
-5.93396698,3.10623645,0.02462563,0.23259720,0.77615710,1.40736119,0.58979031,1.18214421,0.00000000
-5.92796398,3.05513919,0.02466645,0.22598443,0.75983131,1.38151066,0.58474688,1.16768308,0.00000000
-5.92196098,3.00247346,0.02468487,0.21995570,0.74293334,1.35603201,0.57931977,1.15114530,0.00000000
-5.91595798,2.94938962,0.02468571,0.21464371,0.72566810,1.33163475,0.57374470,1.13276574,0.00000000
-5.90995498,2.89698882,0.02467269,0.21016139,0.70823082,1.30896983,0.56823471,1.11281071,0.00000000
-5.90395198,2.84630588,0.02464829,0.20660086,0.69080749,1.28861522,0.56297455,1.09157741,0.00000000
-5.89794897,2.79829395,0.02461363,0.20403300,0.67357569,1.27106357,0.55811633,1.06939202,0.00000000
-5.89194597,2.75381113,0.02456845,0.20250742,0.65670573,1.25671249,0.55377695,1.04660655,0.00000000
-5.88594297,2.71360950,0.02451116,0.20205282,0.64036182,1.24585758,0.55003708,1.02359451,0.00000000
-5.87993997,2.67832691,0.02443900,0.20267777,0.62470312,1.23868857,0.54694191,1.00074566,0.00000000
-5.87393697,2.64848173,0.02434819,0.20437169,0.60988479,1.23528867,0.54450356,0.97845997,0.00000000
-5.86793397,2.62447111,0.02423426,0.20710611,0.59605867,1.23563716,0.54270495,0.95714122,0.00000000
-5.86193097,2.60657252,0.02409235,0.21083618,0.58337382,1.23961529,0.54150506,0.93719043,0.00000000
-5.85592796,2.59494894,0.02391756,0.21550229,0.57197661,1.24701512,0.54084513,0.91899944,0.00000000
-5.84992496,2.58965720,0.02370532,0.22103185,0.56201057,1.25755118,0.54065564,0.90294496,0.00000000
-5.84392196,2.59065928,0.02345174,0.22734121,0.55361590,1.27087429,0.54086360,0.88938301,0.00000000
-5.83791896,2.59783594,0.02315396,0.23433766,0.54692850,1.28658727,0.54139977,0.87864418,0.00000000
-5.83191596,2.61100185,0.02281044,0.24192149,0.54207869,1.30426159,0.54220544,0.87102939,0.00000000
-5.82591296,2.62992142,0.02242115,0.24998803,0.53918954,1.32345440,0.54323839,0.86680631,0.00000000
-5.81990995,2.65432432,0.02198776,0.25842972,0.53837468,1.34372525,0.54447761,0.86620628,0.00000000
-5.81390695,2.68391965,0.02151367,0.26713814,0.53973583,1.36465145,0.54592658,0.86942147,0.00000000
-5.80790395,2.71840791,0.02100400,0.27600580,0.54335981,1.38584177,0.54761475,0.87660225,0.00000000
-5.80190095,2.75748987,0.02046547,0.28492793,0.54931532,1.40694744,0.54959727,0.88785457,0.00000000
-5.79589795,2.80087182,0.01990619,0.29380394,0.55764935,1.42767034,0.55195270,0.90323720,0.00000000
-5.78989495,2.84826670,0.01933541,0.30253871,0.56838345,1.44776772,0.55477893,0.92275881,0.00000000
-5.78389195,2.89939122,0.01876319,0.31104364,0.58151006,1.46705351,0.55818740,0.94637492,0.00000000
