energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.05120648,-2.05120683,0.01154647,-0.01154646,0.50625610,-0.50625619,0.70922061,-0.70922067,1.20329130,-1.20329157,0.17024925,-0.17024927,0.05425887,-0.05425888,0.56387180,-0.56387187,0.00000000,-0.00000000
-5.99399700,1.99533015,-1.99533057,0.01163566,-0.01163566,0.49344145,-0.49344157,0.70171414,-0.70171422,1.16227097,-1.16227128,0.16723060,-0.16723062,0.05338045,-0.05338046,0.54912225,-0.54912234,0.00000000,-0.00000000
-5.98799400,1.93115982,-1.93116031,0.01167320,-0.01167320,0.47793137,-0.47793151,0.69019270,-0.69019282,1.11643158,-1.11643194,0.16380934,-0.16380936,0.05244337,-0.05244337,0.53286216,-0.53286226,0.00000000,-0.00000000
-5.98199100,1.85981958,-1.85982012,0.01165222,-0.01165222,0.46003381,-0.46003397,0.67493006,-0.67493020,1.06664551,-1.06664589,0.16003359,-0.16003361,0.05146082,-0.05146083,0.51531228,-0.51531238,0.00000000,-0.00000000
-5.97598799,1.78259936,-1.78259994,0.01156791,-0.01156791,0.44010362,-0.44010379,0.65629452,-0.65629468,1.01385198,-1.01385239,0.15597259,-0.15597260,0.05045178,-0.05045179,0.49673963,-0.49673973,0.00000000,-0.00000000
-5.96998499,1.70091943,-1.70092004,0.01141759,-0.01141759,0.41853310,-0.41853329,0.63473754,-0.63473772,0.95903350,-0.95903393,0.15171430,-0.15171432,0.04944007,-0.04944008,0.47744907,-0.47744918,0.00000000,-0.00000000
-5.96398199,1.61629206,-1.61629269,0.01120066,-0.01120066,0.39574180,-0.39574200,0.61077977,-0.61077996,0.90319193,-0.90319237,0.14736255,-0.14736257,0.04845327,-0.04845327,0.45777391,-0.45777401,0.00000000,-0.00000000
-5.95797899,1.53028183,-1.53028246,0.01091856,-0.01091856,0.37216589,-0.37216609,0.58499513,-0.58499532,0.84732521,-0.84732565,0.14303367,-0.14303369,0.04752151,-0.04752152,0.43806584,-0.43806594,0.00000000,-0.00000000
-5.95197599,1.44446614,-1.44446677,0.01057458,-0.01057458,0.34824757,-0.34824777,0.55799373,-0.55799393,0.79240538,-0.79240582,0.13885288,-0.13885290,0.04667620,-0.04667620,0.41868473,-0.41868483,0.00000000,-0.00000000
-5.94597299,1.36039735,-1.36039797,0.01017367,-0.01017367,0.32442484,-0.32442504,0.53040422,-0.53040442,0.73935880,-0.73935922,0.13495058,-0.13495060,0.04594871,-0.04594872,0.39998857,-0.39998867,0.00000000,-0.00000000
-5.93996998,1.27956775,-1.27956834,0.00972217,-0.00972218,0.30112207,-0.30112226,0.50285632,-0.50285652,0.68904885,-0.68904925,0.13145865,-0.13145867,0.04536915,-0.04536915,0.38232404,-0.38232413,0.00000000,-0.00000000
-5.93396698,1.20337846,-1.20337901,0.00922756,-0.00922757,0.27874145,-0.27874163,0.47596412,-0.47596431,0.64226174,-0.64226211,0.12850694,-0.12850695,0.04496518,-0.04496518,0.36601786,-0.36601794,0.00000000,-0.00000000
-5.92796398,1.13311294,-1.13311345,0.00869810,-0.00869810,0.25765569,-0.25765586,0.45031077,-0.45031094,0.59969544,-0.59969578,0.12622001,-0.12622002,0.04476106,-0.04476106,0.35136945,-0.35136952,0.00000000,-0.00000000
-5.92196098,1.06991576,-1.06991621,0.00814253,-0.00814254,0.23820201,-0.23820217,0.42643491,-0.42643507,0.56195187,-0.56195217,0.12471434,-0.12471434,0.04477680,-0.04477680,0.33864489,-0.33864496,0.00000000,-0.00000000
-5.91595798,1.01477658,-1.01477698,0.00756980,-0.00756980,0.22067744,-0.22067757,0.40481933,-0.40481947,0.52953217,-0.52953243,0.12409591,-0.12409591,0.04502760,-0.04502760,0.32807243,-0.32807248,0.00000000,-0.00000000
-5.90995498,0.96851966,-0.96851999,0.00698873,-0.00698873,0.20533536,-0.20533547,0.38588181,-0.38588193,0.50283489,-0.50283511,0.12445836,-0.12445835,0.04552348,-0.04552347,0.31983954,-0.31983958,0.00000000,-0.00000000
-5.90395198,0.93179822,-0.93179848,0.00640776,-0.00640776,0.19238336,-0.19238346,0.36996851,-0.36996861,0.48215662,-0.48215679,0.12588162,-0.12588161,0.04626921,-0.04626921,0.31409158,-0.31409161,0.00000000,-0.00000000
-5.89794897,0.90509344,-0.90509362,0.00583475,-0.00583475,0.18198207,-0.18198214,0.35734969,-0.35734975,0.46769470,-0.46769482,0.12843108,-0.12843106,0.04726448,-0.04726447,0.31093194,-0.31093195,0.00000000,-0.00000000
-5.89194597,0.88871736,-0.88871747,0.00527677,-0.00527677,0.17424493,-0.17424498,0.34821765,-0.34821770,0.45955150,-0.45955157,0.13215723,-0.13215720,0.04850422,-0.04850421,0.31042344,-0.31042344,0.00000000,-0.00000000
-5.88594297,0.88281895,-0.88281898,0.00473997,-0.00473997,0.16923870,-0.16923872,0.34268687,-0.34268689,0.45773985,-0.45773987,0.13709567,-0.13709564,0.04997925,-0.04997924,0.31259092,-0.31259091,0.00000000,-0.00000000
-5.87993997,0.88739260,-0.88739255,0.00422950,-0.00422950,0.16698454,-0.16698455,0.34079582,-0.34079581,0.46218909,-0.46218906,0.14326751,-0.14326747,0.05167699,-0.05167698,0.31742466,-0.31742463,0.00000000,-0.00000000
-5.87393697,0.90228830,-0.90228818,0.00374945,-0.00374945,0.16745958,-0.16745956,0.34251037,-0.34251034,0.47275142,-0.47275135,0.15067994,-0.15067989,0.05358230,-0.05358229,0.32488434,-0.32488430,0.00000000,-0.00000000
-5.86793397,0.92722281,-0.92722262,0.00330286,-0.00330286,0.17059872,-0.17059867,0.34772850,-0.34772844,0.48920821,-0.48920809,0.15932702,-0.15932696,0.05567844,-0.05567842,0.33490339,-0.33490334,0.00000000,-0.00000000
-5.86193097,0.96179119,-0.96179093,0.00289176,-0.00289177,0.17629675,-0.17629668,0.35628586,-0.35628578,0.51127605,-0.51127589,0.16919044,-0.16919038,0.05794795,-0.05794794,0.34739321,-0.34739315,0.00000000,-0.00000000
-5.85592796,1.00547834,-1.00547801,0.00251724,-0.00251724,0.18441071,-0.18441062,0.36796212,-0.36796202,0.53861241,-0.53861221,0.18024034,-0.18024027,0.06037356,-0.06037355,0.36224728,-0.36224720,0.00000000,-0.00000000
-5.84992496,1.05767008,-1.05766970,0.00217952,-0.00217952,0.19476239,-0.19476229,0.38248772,-0.38248760,0.57082086,-0.57082062,0.19243592,-0.19243585,0.06293895,-0.06293893,0.37934464,-0.37934455,0.00000000,-0.00000000
-5.84392196,1.11766375,-1.11766331,0.00187809,-0.00187809,0.20714114,-0.20714102,0.39955096,-0.39955083,0.60745600,-0.60745572,0.20572596,-0.20572589,0.06562939,-0.06562937,0.39855285,-0.39855275,0.00000000,-0.00000000
-5.83791896,1.18467811,-1.18467763,0.00161185,-0.00161185,0.22130694,-0.22130681,0.41880515,-0.41880501,0.64802803,-0.64802772,0.22004914,-0.22004906,0.06843221,-0.06843219,0.41973003,-0.41972992,0.00000000,-0.00000000
-5.83191596,1.25786278,-1.25786225,0.00137919,-0.00137919,0.23699381,-0.23699368,0.43987579,-0.43987565,0.69200735,-0.69200702,0.23533410,-0.23533401,0.07133704,-0.07133702,0.44272616,-0.44272603,0.00000000,-0.00000000
-5.82591296,1.33630722,-1.33630666,0.00117817,-0.00117817,0.25391366,-0.25391352,0.46236764,-0.46236749,0.73882920,-0.73882885,0.25149932,-0.25149922,0.07433587,-0.07433585,0.46738347,-0.46738333,0.00000000,-0.00000000
-5.81990995,1.41904965,-1.41904907,0.00100663,-0.00100663,0.27176051,-0.27176037,0.48587161,-0.48587146,0.78789865,-0.78789829,0.26845291,-0.26845281,0.07742289,-0.07742287,0.49353613,-0.49353599,0.00000000,-0.00000000
-5.81390695,1.50508598,-1.50508538,0.00086231,-0.00086231,0.29021524,-0.29021509,0.50997155,-0.50997140,0.83859606,-0.83859569,0.28609218,-0.28609207,0.08059410,-0.08059408,0.52100929,-0.52100913,0.00000000,-0.00000000
-5.80790395,1.59337913,-1.59337853,0.00074298,-0.00074298,0.30895067,-0.30895052,0.53425064,-0.53425050,0.89028314,-0.89028276,0.30430327,-0.30430316,0.08384679,-0.08384677,0.54961761,-0.54961745,0.00000000,-0.00000000
