energy_ev,total_up,Os_p_up,Os_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,0.76082177,0.17590381,0.47401135,0.26725111,0.00220358,0.00040970,0.04554362
-5.99399700,0.73000018,0.16888928,0.45857530,0.25479829,0.00214588,0.00045527,0.04178962
-5.98799400,0.70572834,0.16340703,0.44740511,0.24459274,0.00210427,0.00050501,0.03836750
-5.98199100,0.68859276,0.15956966,0.44086663,0.23683311,0.00208035,0.00055874,0.03532156
-5.97598799,0.67906356,0.15746169,0.43925468,0.23167618,0.00207534,0.00061619,0.03268912
-5.96998499,0.67749743,0.15714071,0.44279471,0.22923817,0.00209008,0.00067700,0.03050077
-5.96398199,0.68414291,0.15863916,0.45164575,0.22959681,0.00212509,0.00074078,0.02878057
-5.95797899,0.69914708,0.16196655,0.46590419,0.23279398,0.00218055,0.00080707,0.02754642
-5.95197599,0.72256298,0.16711185,0.48560801,0.23883858,0.00225633,0.00087536,0.02681039
-5.94597299,0.75435687,0.17404593,0.51074081,0.24770939,0.00235204,0.00094516,0.02657905
-5.93996998,0.79441468,0.18272387,0.54123529,0.25935754,0.00246708,0.00101596,0.02685370
-5.93396698,0.84254707,0.19308707,0.57697591,0.27370859,0.00260061,0.00108729,0.02763054
-5.92796398,0.89849265,0.20506490,0.61780032,0.29066383,0.00275165,0.00115873,0.02890067
-5.92196098,0.96191923,0.21857596,0.66349968,0.31010097,0.00291906,0.00122995,0.03065003
-5.91595798,1.03242316,0.23352889,0.71381769,0.33187398,0.00310160,0.00130068,0.03285925
-5.90995498,1.10952693,0.24982272,0.76844877,0.35581233,0.00329790,0.00137076,0.03550335
-5.90395198,1.19267573,0.26734690,0.82703564,0.38171968,0.00350650,0.00144017,0.03855154
-5.89794897,1.28123358,0.28598116,0.88916676,0.40937242,0.00372586,0.00150898,0.04196695
-5.89194597,1.37447997,0.30559526,0.95437442,0.43851808,0.00395433,0.00157736,0.04570650
-5.88594297,1.47160801,0.32604891,1.02213389,0.46887424,0.00419019,0.00164562,0.04972084
-5.87993997,1.57172523,0.34719214,1.09186462,0.50012808,0.00443161,0.00171413,0.05395459
-5.87393697,1.67385774,0.36886607,1.16293383,0.53193703,0.00467671,0.00178334,0.05834672
-5.86793397,1.77695901,0.39090456,1.23466331,0.56393074,0.00492351,0.00185376,0.06283129
-5.86193097,1.87992342,0.41313671,1.30633953,0.59571467,0.00517000,0.00192591,0.06733840
-5.85592796,1.98160530,0.43539022,1.37722750,0.62687540,0.00541414,0.00200032,0.07179550
-5.84992496,2.08084316,0.45749586,1.44658802,0.65698777,0.00565391,0.00207749,0.07612898
-5.84392196,2.17648867,0.47929264,1.51369816,0.68562361,0.00588735,0.00215788,0.08026592
-5.83791896,2.26743968,0.50063383,1.57787421,0.71236203,0.00611264,0.00224187,0.08413613
-5.83191596,2.35267588,0.52139339,1.63849619,0.73680079,0.00632811,0.00232978,0.08767416
-5.82591296,2.43129552,0.54147245,1.69503281,0.75856834,0.00653238,0.00242186,0.09082139
-5.81990995,2.50255147,0.56080569,1.74706559,0.77733595,0.00672436,0.00251825,0.09352803
-5.81390695,2.56588447,0.57936691,1.79431068,0.79282942,0.00690336,0.00261901,0.09575489
-5.80790395,2.62095174,0.59717364,1.83663706,0.80483958,0.00706911,0.00272416,0.09747484
-5.80190095,2.66764891,0.61429020,1.87407980,0.81323116,0.00722181,0.00283363,0.09867392
-5.79589795,2.70612376,0.63082900,1.90684740,0.81794931,0.00736215,0.00294730,0.09935200
-5.78989495,2.73678046,0.64694972,1.93532219,0.81902348,0.00749132,0.00306504,0.09952287
-5.78389195,2.76027355,0.66285634,1.96005353,0.81656811,0.00761099,0.00318669,0.09921385
-5.77788894,2.77749151,0.67879194,1.98174375,0.81078034,0.00772323,0.00331206,0.09846486
-5.77188594,2.78953013,0.69503138,2.00122708,0.80193424,0.00783049,0.00344097,0.09732695
-5.76588294,2.79765687,0.71187213,2.01944246,0.79037229,0.00793549,0.00357323,0.09586042
-5.75987994,2.80326748,0.72962364,2.03740130,0.77649395,0.00804113,0.00370864,0.09413255
-5.75387694,2.80783693,0.74859576,2.05615181,0.76074219,0.00815033,0.00384695,0.09221505
-5.74787394,2.81286699,0.76908663,2.07674136,0.74358839,0.00826598,0.00398788,0.09018139
-5.74187094,2.81983275,0.79137089,2.10017882,0.72551630,0.00839074,0.00413112,0.08810404
-5.73586793,2.83013081,0.81568852,2.12739868,0.70700597,0.00852698,0.00427622,0.08605187
-5.72986493,2.84503135,0.84223510,2.15922847,0.68851806,0.00867665,0.00442268,0.08408770
-5.72386193,2.86563634,0.87115388,2.19636115,0.67047960,0.00884117,0.00456984,0.08226619
-5.71785893,2.89284565,0.90253002,2.23933345,0.65327145,0.00902140,0.00471694,0.08063209
-5.71185593,2.92733216,0.93638733,2.28851101,0.63721824,0.00921759,0.00486306,0.07921904
-5.70585293,2.96952683,0.97268753,2.34408066,0.62258088,0.00942934,0.00500715,0.07804878
-5.69984992,3.01961370,1.01133196,2.40604983,0.60955212,0.00965562,0.00514802,0.07713099
-5.69384692,3.07753446,1.05216563,2.47425256,0.59825501,0.00989482,0.00528437,0.07646354
-5.68784392,3.14300176,1.09498320,2.54836132,0.58874421,0.01014480,0.00541480,0.07603335
-5.68184092,3.21551987,1.13953644,2.62790364,0.58101002,0.01040295,0.00553788,0.07581755
-5.67583792,3.29441112,1.18554268,2.71228222,0.57498462,0.01066631,0.00565213,0.07578513
-5.66983492,3.37884629,1.23269374,2.80079708,0.57055024,0.01093168,0.00575611,0.07589870
-5.66383192,3.46787717,1.28066474,2.89266863,0.56754863,0.01119567,0.00584843,0.07611662
-5.65782891,3.56046941,1.32912233,2.98706021,0.56579134,0.01145488,0.00592781,0.07639500
-5.65182591,3.65553417,1.37773193,3.08309913,0.56507035,0.01170592,0.00599312,0.07668982
-5.64582291,3.75195719,1.42616364,3.17989542,0.56516837,0.01194559,0.00604341,0.07695882
-5.63981991,3.84862435,1.47409669,3.27655771,0.56586853,0.01217087,0.00607792,0.07716331
-5.63381691,3.94444297,1.52122233,3.37220604,0.56696292,0.01237906,0.00609613,0.07726953
-5.62781391,4.03835878,1.56724523,3.46598168,0.56825974,0.01256776,0.00609775,0.07724987
-5.62181091,4.12936854,1.61188367,3.55705416,0.56958887,0.01273494,0.00608275,0.07708358
-5.61580790,4.21652876,1.65486868,3.64462614,0.57080570,0.01287895,0.00605132,0.07675719
-5.60980490,4.29896116,1.69594262,3.72793666,0.57179322,0.01299855,0.00600392,0.07626456
-5.60380190,4.37585561,1.73485744,3.80626353,0.57246242,0.01309283,0.00594121,0.07560652
-5.59779890,4.44647158,1.77137318,3.87892548,0.57275133,0.01316128,0.00586406,0.07479032
-5.59179590,4.51013872,1.80525697,3.94528481,0.57262265,0.01320370,0.00577356,0.07382873
-5.58579290,4.56625760,1.83628284,4.00475085,0.57206058,0.01322024,0.00567096,0.07273904
-5.57978989,4.61430114,1.86423256,4.05678475,0.57106696,0.01321131,0.00555769,0.07154192
-5.57378689,4.65381713,1.88889768,4.10090555,0.56965716,0.01317759,0.00543531,0.07026024
-5.56778389,4.68443221,1.91008272,4.13669759,0.56785605,0.01312002,0.00530557,0.06891794
-5.56178089,4.70585733,1.92760944,4.16381891,0.56569436,0.01303975,0.00517031,0.06753901
-5.55577789,4.71789436,1.94132204,4.18201034,0.56320569,0.01293813,0.00503153,0.06614660
