energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sn_p_up,Sn_p_down,Sn_d_up,Sn_d_down
-6.00000000,3.98843092,-3.98843092,2.11921939,-2.11921939,1.06882176,-1.06882176,0.02651886,-0.02651886,2.35632101,-2.35632101,0.12802995,-0.12802995,0.00014633,-0.00014633
-5.99399700,3.92744158,-3.92744159,2.10413701,-2.10413702,1.04737670,-1.04737670,0.02642598,-0.02642598,2.32643528,-2.32643528,0.12383300,-0.12383300,0.00014437,-0.00014437
-5.98799400,3.84977971,-3.84977972,2.08059433,-2.08059434,1.02091842,-1.02091843,0.02615741,-0.02615741,2.28555155,-2.28555155,0.11899802,-0.11899802,0.00014200,-0.00014200
-5.98199100,3.75731664,-3.75731665,2.04948314,-2.04948314,0.98999352,-0.98999353,0.02571925,-0.02571925,2.23482016,-2.23482017,0.11362416,-0.11362416,0.00013931,-0.00013931
-5.97598799,3.65214601,-3.65214602,2.01178971,-2.01178972,0.95522238,-0.95522238,0.02512100,-0.02512100,2.17554149,-2.17554150,0.10781883,-0.10781883,0.00013639,-0.00013639
-5.96998499,3.53651681,-3.53651682,1.96855834,-1.96855834,0.91728081,-0.91728082,0.02437522,-0.02437522,2.10912370,-2.10912371,0.10169475,-0.10169475,0.00013332,-0.00013332
-5.96398199,3.41276547,-3.41276548,1.92085552,-1.92085552,0.87688090,-0.87688090,0.02349707,-0.02349707,2.03703960,-2.03703961,0.09536706,-0.09536706,0.00013023,-0.00013023
-5.95797899,3.28325032,-3.28325033,1.86973661,-1.86973661,0.83475185,-0.83475186,0.02250388,-0.02250388,1.96078477,-1.96078478,0.08895057,-0.08895057,0.00012722,-0.00012722
-5.95197599,3.15029124,-3.15029125,1.81621656,-1.81621656,0.79162175,-0.79162175,0.02141453,-0.02141453,1.88183863,-1.88183863,0.08255719,-0.08255720,0.00012439,-0.00012439
-5.94597299,3.01611684,-3.01611685,1.76124584,-1.76124585,0.74820078,-0.74820079,0.02024890,-0.02024890,1.80163004,-1.80163004,0.07629372,-0.07629372,0.00012187,-0.00012187
-5.93996998,2.88282101,-2.88282102,1.70569251,-1.70569251,0.70516668,-0.70516669,0.01902730,-0.01902730,1.72150856,-1.72150857,0.07025993,-0.07025993,0.00011975,-0.00011975
-5.93396698,2.75232972,-2.75232973,1.65033064,-1.65033065,0.66315260,-0.66315260,0.01776988,-0.01776988,1.64272206,-1.64272207,0.06454709,-0.06454709,0.00011814,-0.00011814
-5.92796398,2.62637856,-2.62637857,1.59583525,-1.59583526,0.62273772,-0.62273773,0.01649616,-0.01649616,1.56640090,-1.56640091,0.05923685,-0.05923685,0.00011715,-0.00011715
-5.92196098,2.50650046,-2.50650047,1.54278298,-1.54278299,0.58444074,-0.58444075,0.01522454,-0.01522454,1.49354862,-1.49354862,0.05440048,-0.05440048,0.00011687,-0.00011687
-5.91595798,2.39402255,-2.39402256,1.49165783,-1.49165783,0.54871585,-0.54871585,0.01397193,-0.01397193,1.42503833,-1.42503833,0.05009846,-0.05009846,0.00011742,-0.00011742
-5.90995498,2.29007074,-2.29007075,1.44286071,-1.44286072,0.51595119,-0.51595120,0.01275351,-0.01275351,1.36161416,-1.36161417,0.04638036,-0.04638036,0.00011886,-0.00011886
-5.90395198,2.19557979,-2.19557980,1.39672155,-1.39672155,0.48646926,-0.48646926,0.01158246,-0.01158246,1.30389644,-1.30389644,0.04328495,-0.04328495,0.00012130,-0.00012130
-5.89794897,2.11130716,-2.11130717,1.35351237,-1.35351237,0.46052882,-0.46052882,0.01046992,-0.01046992,1.25238932,-1.25238933,0.04084050,-0.04084050,0.00012481,-0.00012481
-5.89194597,2.03784815,-2.03784815,1.31346024,-1.31346025,0.43832788,-0.43832788,0.00942489,-0.00942489,1.20748984,-1.20748984,0.03906511,-0.03906511,0.00012946,-0.00012946
-5.88594297,1.97565064,-1.97565064,1.27675862,-1.27675862,0.42000718,-0.42000718,0.00845434,-0.00845434,1.16949683,-1.16949684,0.03796725,-0.03796725,0.00013530,-0.00013530
-5.87993997,1.92502777,-1.92502778,1.24357624,-1.24357625,0.40565387,-0.40565387,0.00756330,-0.00756330,1.13861907,-1.13861907,0.03754619,-0.03754619,0.00014238,-0.00014238
-5.87393697,1.88616736,-1.88616736,1.21406291,-1.21406291,0.39530487,-0.39530487,0.00675498,-0.00675498,1.11498161,-1.11498162,0.03779244,-0.03779244,0.00015074,-0.00015074
-5.86793397,1.85913742,-1.85913742,1.18835170,-1.18835171,0.38894985,-0.38894985,0.00603101,-0.00603101,1.09863016,-1.09863016,0.03868827,-0.03868827,0.00016038,-0.00016038
-5.86193097,1.84388779,-1.84388779,1.16655782,-1.16655782,0.38653358,-0.38653358,0.00539163,-0.00539163,1.08953306,-1.08953306,0.04020804,-0.04020804,0.00017129,-0.00017129
-5.85592796,1.84024822,-1.84024822,1.14877425,-1.14877425,0.38795772,-0.38795772,0.00483590,-0.00483590,1.08758144,-1.08758144,0.04231866,-0.04231866,0.00018344,-0.00018344
-5.84992496,1.84792389,-1.84792389,1.13506500,-1.13506500,0.39308207,-0.39308207,0.00436194,-0.00436194,1.09258774,-1.09258774,0.04497993,-0.04497993,0.00019677,-0.00019677
-5.84392196,1.86648971,-1.86648971,1.12545682,-1.12545682,0.40172568,-0.40172568,0.00396709,-0.00396709,1.10428355,-1.10428355,0.04814504,-0.04814504,0.00021121,-0.00021121
-5.83791896,1.89538483,-1.89538483,1.11993029,-1.11993029,0.41366783,-0.41366783,0.00364811,-0.00364811,1.12231746,-1.12231746,0.05176100,-0.05176100,0.00022663,-0.00022663
-5.83191596,1.93390918,-1.93390918,1.11841148,-1.11841148,0.42864949,-0.42864949,0.00340133,-0.00340133,1.14625407,-1.14625407,0.05576928,-0.05576928,0.00024291,-0.00024291
-5.82591296,1.98122348,-1.98122348,1.12076523,-1.12076522,0.44637538,-0.44637538,0.00322277,-0.00322277,1.17557484,-1.17557484,0.06010651,-0.06010651,0.00025988,-0.00025988
-5.81990995,2.03635415,-2.03635414,1.12679082,-1.12679082,0.46651699,-0.46651698,0.00310823,-0.00310823,1.20968180,-1.20968180,0.06470533,-0.06470533,0.00027735,-0.00027735
-5.81390695,2.09820422,-2.09820421,1.13622093,-1.13622093,0.48871688,-0.48871688,0.00305333,-0.00305333,1.24790457,-1.24790457,0.06949546,-0.06949546,0.00029513,-0.00029513
-5.80790395,2.16557084,-2.16557083,1.14872423,-1.14872423,0.51259431,-0.51259431,0.00305362,-0.00305362,1.28951113,-1.28951113,0.07440482,-0.07440482,0.00031299,-0.00031299
-5.80190095,2.23716947,-2.23716946,1.16391177,-1.16391177,0.53775229,-0.53775229,0.00310453,-0.00310453,1.33372240,-1.33372240,0.07936088,-0.07936088,0.00033071,-0.00033071
-5.79589795,2.31166434,-2.31166434,1.18134719,-1.18134719,0.56378598,-0.56378598,0.00320144,-0.00320144,1.37973036,-1.37973036,0.08429207,-0.08429207,0.00034806,-0.00034806
