energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,1.04952272,0.01060619,0.07932833,0.32555120,0.24490216,0.41236105,0.10639479,0.54574506,0.00000000
-5.99399700,1.10023791,0.01158383,0.08331052,0.34079973,0.25556977,0.43448733,0.11155732,0.57087477,0.00000000
-5.98799400,1.14767241,0.01257576,0.08695198,0.35510983,0.26525152,0.45505047,0.11677317,0.59389878,0.00000000
-5.98199100,1.19101669,0.01357038,0.09019842,0.36823108,0.27376251,0.47376513,0.12195103,0.61441124,0.00000000
-5.97598799,1.22952807,0.01455497,0.09300322,0.37993500,0.28093803,0.49038088,0.12699842,0.63205054,0.00000000
-5.96998499,1.26255235,0.01551591,0.09532898,0.39002166,0.28663858,0.50469037,0.13182415,0.64651046,0.00000000
-5.96398199,1.28954290,0.01643894,0.09714884,0.39832558,0.29075410,0.51653626,0.13634066,0.65754963,0.00000000
-5.95797899,1.31007630,0.01730955,0.09844740,0.40472047,0.29320724,0.52581646,0.14046637,0.66499883,0.00000000
-5.95197599,1.32386406,0.01811325,0.09922124,0.40912260,0.29395550,0.53248752,0.14412781,0.66876584,0.00000000
-5.94597299,1.33075974,0.01883603,0.09947902,0.41149286,0.29299222,0.53656593,0.14726154,0.66883765,0.00000000
-5.93996998,1.33076147,0.01946473,0.09924119,0.41183725,0.29034630,0.53812731,0.14981577,0.66527994,0.00000000
-5.93396698,1.32400953,0.01998741,0.09853915,0.41020575,0.28608078,0.53730332,0.15175159,0.65823381,0.00000000
-5.92796398,1.31077935,0.02039377,0.09741414,0.40668990,0.28029025,0.53427665,0.15304379,0.64791013,0.00000000
-5.92196098,1.29147018,0.02067545,0.09591568,0.40141881,0.27309736,0.52927405,0.15368127,0.63458148,0.00000000
-5.91595798,1.26658999,0.02082635,0.09409981,0.39455413,0.26464843,0.52255778,0.15366694,0.61857232,0.00000000
-5.90995498,1.23673718,0.02084283,0.09202701,0.38628399,0.25510859,0.51441580,0.15301720,0.60024765,0.00000000
-5.90395198,1.20258002,0.02072384,0.08976007,0.37681619,0.24465638,0.50515118,0.15176093,0.58000078,0.00000000
-5.89794897,1.16483455,0.02047104,0.08736189,0.36637107,0.23347830,0.49507108,0.14993813,0.55824064,0.00000000
-5.89194597,1.12424194,0.02008871,0.08489339,0.35517413,0.22176336,0.48447572,0.14759820,0.53537916,0.00000000
-5.88594297,1.08154615,0.01958370,0.08241146,0.34344891,0.20969795,0.47364806,0.14479791,0.51181924,0.00000000
-5.87993997,1.03747277,0.01896518,0.07996721,0.33141027,0.19746107,0.46284425,0.14159930,0.48794377,0.00000000
-5.87393697,0.99270982,0.01824443,0.07760454,0.31925847,0.18522029,0.45228561,0.13806735,0.46410605,0.00000000
-5.86793397,0.94789125,0.01743446,0.07535896,0.30717411,0.17312826,0.44215223,0.13426778,0.44062193,0.00000000
-5.86193097,0.90358366,0.01654968,0.07325693,0.29531430,0.16132023,0.43257861,0.13026496,0.41776400,0.00000000
-5.85592796,0.86027660,0.01560547,0.07131551,0.28381007,0.14991220,0.42365143,0.12611997,0.39575774,0.00000000
-5.84992496,0.81837687,0.01461778,0.06954253,0.27276514,0.13900011,0.41540959,0.12188907,0.37477997,0.00000000
-5.84392196,0.77820673,0.01360271,0.06793709,0.26225609,0.12865972,0.40784649,0.11762248,0.35495935,0.00000000
-5.83791896,0.74000605,0.01257615,0.06649050,0.25233387,0.11894736,0.40091442,0.11336358,0.33637881,0.00000000
-5.83191596,0.70393810,0.01155341,0.06518754,0.24302659,0.10990129,0.39453093,0.10914861,0.31907990,0.00000000
-5.82591296,0.67009867,0.01054898,0.06400802,0.23434332,0.10154376,0.38858676,0.10500684,0.30306854,0.00000000
-5.81990995,0.63852793,0.00957625,0.06292850,0.22627894,0.09388340,0.38295501,0.10096109,0.28832200,0.00000000
-5.81390695,0.60922441,0.00864740,0.06192413,0.21881953,0.08691814,0.37750123,0.09702872,0.27479681,0.00000000
-5.80790395,0.58216044,0.00777328,0.06097065,0.21194821,0.08063820,0.37209378,0.09322292,0.26243700,0.00000000
-5.80190095,0.55729824,0.00696343,0.06004614,0.20565107,0.07502930,0.36661405,0.08955422,0.25118257,0.00000000
-5.79589795,0.53460597,0.00622612,0.05913283,0.19992294,0.07007584,0.36096610,0.08603214,0.24097759,0.00000000
-5.78989495,0.51407284,0.00556843,0.05821857,0.19477266,0.06576388,0.35508519,0.08266689,0.23177769,0.00000000
-5.78389195,0.49572270,0.00499643,0.05729808,0.19022758,0.06208403,0.34894485,0.07947097,0.22355658,0.00000000
-5.77788894,0.47962538,0.00451536,0.05637380,0.18633703,0.05903390,0.34256202,0.07646062,0.21631135,0.00000000
-5.77188594,0.46590520,0.00412978,0.05545647,0.18317467,0.05662028,0.33600018,0.07365694,0.21006632,0.00000000
-5.76588294,0.45474628,0.00384383,0.05456512,0.18083928,0.05486081,0.32937013,0.07108675,0.20487522,0.00000000
-5.75987994,0.44639430,0.00366134,0.05372684,0.17945420,0.05378519,0.32282841,0.06878300,0.20082174,0.00000000
-5.75387694,0.44115447,0.00358605,0.05297593,0.17916510,0.05343590,0.31657337,0.06678466,0.19801828,0.00000000
-5.74787394,0.43938573,0.00362164,0.05235281,0.18013621,0.05386833,0.31083902,0.06513628,0.19660292,0.00000000
-5.74187094,0.44149135,0.00377184,0.05190248,0.18254508,0.05515047,0.30588685,0.06388698,0.19673494,0.00000000
-5.73586793,0.44790602,0.00404041,0.05167276,0.18657593,0.05736194,0.30199593,0.06308904,0.19858868,0.00000000
-5.72986493,0.45907995,0.00443102,0.05171215,0.19241184,0.06059259,0.29945168,0.06279611,0.20234628,0.00000000
