energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,3.00801195,0.00420556,0.27026140,0.83746622,0.54830492,0.95878918,0.85560276,0.00798001,1.38199428
-5.99399700,3.06127449,0.00447098,0.26309031,0.85622517,0.57340381,0.96579833,0.85613126,0.00820976,1.42607448
-5.98799400,3.12253189,0.00475066,0.25669163,0.87775323,0.59986271,0.97473615,0.86023749,0.00842284,1.47286399
-5.98199100,3.19144704,0.00503981,0.25112531,0.90212300,0.62748255,0.98568202,0.86785906,0.00861623,1.52215037
-5.97598799,3.26754511,0.00533357,0.24643802,0.92935357,0.65603353,0.99868716,0.87888659,0.00878717,1.57366184
-5.96998499,3.35019966,0.00562707,0.24266066,0.95940014,0.68525630,1.01376023,0.89316083,0.00893318,1.62706062
-5.96398199,3.43862384,0.00591554,0.23980619,0.99214561,0.71486428,1.03085450,0.91047108,0.00905217,1.68193861
-5.95797899,3.53186765,0.00619440,0.23786815,1.02739478,0.74454702,1.04985737,0.93055534,0.00914247,1.73781599
-5.95197599,3.62882207,0.00645940,0.23681984,1.06487145,0.77397453,1.07058300,0.95310209,0.00920283,1.79414296
-5.94597299,3.72823027,0.00670668,0.23661423,1.10421881,0.80280274,1.09276856,0.97775409,0.00923250,1.85030496
-5.93996998,3.82870617,0.00693291,0.23718471,1.14500310,0.83067971,1.11607441,1.00411395,0.00923122,1.90563125
-5.93396698,3.92875973,0.00713537,0.23844662,1.18672072,0.85725269,1.14008842,1.03175147,0.00919919,1.95940666
-5.92796398,4.02682847,0.00731199,0.24029957,1.22880834,0.88217564,1.16433426,1.06021258,0.00913709,2.01088634
-5.92196098,4.12131404,0.00746148,0.24263046,1.27065596,0.90511707,1.18828341,1.08902949,0.00904599,2.05931287
-5.91595798,4.21062257,0.00758331,0.24531701,1.31162215,0.92576795,1.21137038,1.11773175,0.00892737,2.10393511
-5.90995498,4.29320727,0.00767773,0.24823193,1.35105121,0.94384940,1.23301049,1.14585792,0.00878300,2.14402828
-5.90395198,4.36761170,0.00774575,0.25124719,1.38829128,0.95911987,1.25261931,1.17296719,0.00861491,2.17891422
-5.89794897,4.43251187,0.00778911,0.25423868,1.42271294,0.97138161,1.26963308,1.19865077,0.00842530,2.20798123
-5.89194597,4.48675568,0.00781019,0.25709066,1.45372731,0.98048614,1.28352893,1.22254245,0.00821650,2.23070257
-5.88594297,4.52939796,0.00781190,0.25970017,1.48080325,0.98633847,1.29384422,1.24432808,0.00799088,2.24665294
-5.87993997,4.55972984,0.00779758,0.26198107,1.50348260,0.98890006,1.30019389,1.26375359,0.00775079,2.25552218
-5.87393697,4.57730138,0.00777087,0.26386759,1.52139328,0.98819017,1.30228537,1.28063121,0.00749856,2.25712572
-5.86793397,4.58193642,0.00773552,0.26531726,1.53425946,0.98428568,1.29993012,1.29484398,0.00723638,2.25141123
-5.86193097,4.57373934,0.00769526,0.26631325,1.54190858,0.97731931,1.29305152,1.30634810,0.00696636,2.23846131
-5.85592796,4.55309343,0.00765365,0.26686575,1.54427506,0.96747624,1.28168885,1.31517339,0.00669046,2.21849202
-5.84992496,4.52065106,0.00761393,0.26701271,1.54140054,0.95498930,1.26599715,1.32142177,0.00641049,2.19184732
-5.84392196,4.47731608,0.00757888,0.26681962,1.53343080,0.94013278,1.24624314,1.32526396,0.00612815,2.15898978
-5.83791896,4.42421921,0.00755071,0.26637844,1.52060957,0.92321510,1.22279754,1.32693441,0.00584499,2.12048765
-5.83191596,4.36268747,0.00753097,0.26580580,1.50326960,0.90457066,1.19612399,1.32672491,0.00556248,2.07699919
-5.82591296,4.29420864,0.00752051,0.26524035,1.48182132,0.88455093,1.16676533,1.32497689,0.00528201,2.02925451
-5.81990995,4.22039215,0.00751940,0.26483944,1.45673986,0.86351534,1.13532776,1.32207269,0.00500489,1.97803593
-5.81390695,4.14292772,0.00752701,0.26477519,1.42855060,0.84182205,1.10246340,1.31842611,0.00473243,1.92415741
-5.80790395,4.06354296,0.00754198,0.26523005,1.39781422,0.81981909,1.06885224,1.31447230,0.00446591,1.86844393
-5.80190095,3.98396137,0.00756229,0.26639191,1.36511157,0.79783604,1.03518377,1.31065733,0.00420664,1.81171148
-5.79589795,3.90586171,0.00758540,0.26844889,1.33102887,0.77617663,1.00213915,1.30742744,0.00395593,1.75474836
-5.78989495,3.83083994,0.00760830,0.27158400,1.29614386,0.75511238,0.97037426,1.30521835,0.00371516,1.69829846
-5.78389195,3.76037450,0.00762769,0.27596967,1.26101311,0.73487769,0.94050426,1.30444447,0.00348575,1.64304677
-5.77788894,3.69579567,0.00764009,0.28176232,1.22616092,0.71566617,0.91308976,1.30548851,0.00326917,1.58960779
-5.77188594,3.63825941,0.00764201,0.28909712,1.19206986,0.69762869,0.88862510,1.30869126,0.00306693,1.53851675
