energy_ev,total_up,Ag_p_up,Ag_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,7.57562381,0.87309564,2.61546324,2.63930703,1.37355486,0.01920046,1.02204968,0.09488934,2.17703912
-5.99399700,7.61370167,0.88310931,2.64946294,2.65131445,1.36127189,0.01940182,1.01867990,0.09399050,2.18557065
-5.98799400,7.66727429,0.89486310,2.69081432,2.67097173,1.35105665,0.01968586,1.01796364,0.09312148,2.19676186
-5.98199100,7.73798857,0.90843614,2.74032890,2.69862821,1.34329983,0.02005115,1.02013075,0.09229951,2.21093139
-5.97598799,7.82708747,0.92384912,2.79865180,2.73445161,1.33833339,0.02049504,1.02535538,0.09154051,2.22829502
-5.96998499,7.93534879,0.94106083,2.86623418,2.77841439,1.33641685,0.02101352,1.03374666,0.09085828,2.24895249
-5.96398199,8.06303581,0.95996668,2.94331013,2.83028493,1.33772564,0.02160114,1.04534072,0.09026384,2.27287794
-5.95797899,8.20986210,0.98039916,3.02987880,2.88962390,1.34234173,0.02225097,1.06009456,0.08976479,2.29991470
-5.95197599,8.37497178,1.00213048,3.12569255,2.95578608,1.35024728,0.02295461,1.07788198,0.08936482,2.32977423
-5.94597299,8.55693652,1.02487703,3.23025145,3.02792771,1.36132134,0.02370219,1.09849194,0.08906336,2.36203985
-5.93996998,8.75376955,1.04830575,3.34280445,3.10501921,1.37534001,0.02448253,1.12162950,0.08885546,2.39617466
-5.93396698,8.96295682,1.07204212,3.46235735,3.18586323,1.39198011,0.02528325,1.14691943,0.08873179,2.43153389
-5.92796398,9.18150449,1.09567939,3.58768734,3.26911762,1.41082621,0.02609096,1.17391263,0.08867884,2.46738093
-5.92196098,9.40600175,1.11878896,3.71736407,3.35332271,1.43138100,0.02689158,1.20209506,0.08867934,2.50290675
-5.91595798,9.63269719,1.14093139,3.84977647,3.43693250,1.45307862,0.02767054,1.23089927,0.08871282,2.53725188
-5.90995498,9.85758659,1.16166778,3.98316504,3.51834883,1.47530050,0.02841319,1.25971792,0.08875629,2.56953038
-5.90395198,10.07650963,1.18057109,4.11565860,3.59595774,1.49739327,0.02910508,1.28791919,0.08878509,2.59885488
-5.89794897,10.28525278,1.19723717,4.24531477,3.66816706,1.51868801,0.02973232,1.31486336,0.08877372,2.62436194
-5.89194597,10.47965518,1.21129506,4.37016312,3.73344424,1.53852024,0.03028196,1.33992016,0.08869679,2.64523677
-5.88594297,10.65571455,1.22241634,4.48825000,3.79035338,1.55624990,0.03074228,1.36248626,0.08852993,2.66073667
-5.87993997,10.80968989,1.23032320,4.59768387,3.83759024,1.57128056,0.03110311,1.38200219,0.08825060,2.67021234
-5.87393697,10.93819785,1.23479519,4.69667994,3.87401446,1.58307726,0.03135606,1.39796828,0.08783891,2.67312643
-5.86793397,11.03830008,1.23567429,4.78360305,3.89867777,1.59118216,0.03149477,1.40995874,0.08727830,2.66906871
-5.86193097,11.10757879,1.23286836,4.85700758,3.91084750,1.59522765,0.03151500,1.41763368,0.08655599,2.65776748
-5.85592796,11.14419837,1.22635280,4.91567333,3.91002449,1.59494627,0.03141477,1.42074838,0.08566343,2.63909699
-5.84992496,11.14695138,1.21617055,4.95863626,3.89595504,1.59017725,0.03119433,1.41915959,0.08459649,2.61308048
-5.84392196,11.11528749,1.20243036,4.98521341,3.86863635,1.58086943,0.03085616,1.41282872,0.08335552,2.57988905
-5.83791896,11.04932488,1.18530348,4.99502104,3.82831543,1.56708056,0.03040484,1.40182162,0.08194524,2.53983638
-5.83191596,10.94984381,1.16501892,4.98798558,3.77548152,1.54897306,0.02984687,1.38630534,0.08037453,2.49336958
-5.82591296,10.81826292,1.14185747,4.96434699,3.71085234,1.52680655,0.02919052,1.36654173,0.07865605,2.44105651
-5.81990995,10.65659939,1.11614454,4.92465445,3.63535470,1.50092752,0.02844549,1.34287847,0.07680582,2.38357022
-5.81390695,10.46741433,1.08824231,4.86975441,3.55010028,1.47175665,0.02762272,1.31573777,0.07484270,2.32167087
-5.80790395,10.25374572,1.05854119,4.80077146,3.45635732,1.43977432,0.02673404,1.28560336,0.07278780,2.25618599
-5.80190095,10.01903102,1.02745099,4.71908257,3.35551942,1.40550499,0.02579190,1.25300625,0.07066391,2.18798963
-5.79589795,9.76702236,0.99539205,4.62628538,3.24907245,1.36950104,0.02480901,1.21850988,0.06849495,2.11798120
-5.78989495,9.50169708,0.96278651,4.52416171,3.13856065,1.33232671,0.02379815,1.18269521,0.06630540,2.04706462
-5.78389195,9.22716633,0.93005006,4.41463719,3.02555311,1.29454281,0.02277182,1.14614624,0.06411982,1.97612841
-5.77788894,8.94758478,0.89758434,4.29973838,2.91161153,1.25669253,0.02174207,1.10943658,0.06196235,1.90602743
-5.77188594,8.66706375,0.86577016,4.18154843,2.79826027,1.21928895,0.02072025,1.07311721,0.05985640,1.83756655
-5.76588294,8.38959010,0.83496168,4.06216263,2.68695920,1.18280452,0.01971692,1.03770598,0.05782427,1.77148681
-5.75987994,8.11895275,0.80548177,3.94364507,2.57908012,1.14766262,0.01874167,1.00367882,0.05588694,1.70845423
-5.75387694,7.85867828,0.77761842,3.82798721,2.47588689,1.11423143,0.01780309,0.97146286,0.05406384,1.64905141
-5.74787394,7.61197640,0.75162232,3.71706970,2.37851951,1.08282001,0.01690872,0.94143144,0.05237276,1.59377198
-5.74187094,7.38169603,0.72770556,3.61262778,2.28798203,1.05367646,0.01606505,0.91390074,0.05082967,1.54301772
-5.73586793,7.17029175,0.70604136,3.51622134,2.20513418,1.02698805,0.01527751,0.88912814,0.04944871,1.49709816
-5.72986493,6.97980053,0.68676456,3.42920960,2.13068617,1.00288297,0.01455059,0.86731177,0.04824213,1.45623244
-5.72386193,6.81182792,0.66997302,3.35273106,2.06519650,0.98143342,0.01388785,0.84859126,0.04722017,1.42055292
-5.71785893,6.66754295,0.65572938,3.28768870,2.00907208,0.96265974,0.01329201,0.83304926,0.04639111,1.39011024
-5.71185593,6.54768064,0.64406332,3.23474029,1.96257026,0.94653528,0.01276504,0.82071353,0.04576112,1.36487944
-5.70585293,6.45255119,0.63497396,3.19429397,1.92580230,0.93299160,0.01230824,0.81155957,0.04533423,1.34476663
-5.69984992,6.38205472,0.62843221,3.16650864,1.89873797,0.92192391,0.01192228,0.80551328,0.04511222,1.32961601
-5.69384692,6.33570076,0.62438317,3.15129907,1.88121086,0.91319634,0.01160730,0.80245396,0.04509454,1.31921677
