energy_ev,total_up,B_p_up,B_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,2.01047485,0.20449925,0.00000000,0.54530652,1.42831449,0.44200426,0.00000000
-5.99399700,2.03432380,0.21211206,0.00000000,0.56998916,1.43423106,0.45396810,0.00000000
-5.98799400,2.08240233,0.22043719,0.00000000,0.60099776,1.45847820,0.47136449,0.00000000
-5.98199100,2.15455849,0.22928935,0.00000000,0.63815684,1.50111238,0.49413836,0.00000000
-5.97598799,2.25069101,0.23849790,0.00000000,0.68130109,1.56222910,0.52223405,0.00000000
-5.96998499,2.37075781,0.24790965,0.00000000,0.73027049,1.64196976,0.55559604,0.00000000
-5.96398199,2.51477529,0.25739099,0.00000000,0.78490388,1.74052136,0.59416825,0.00000000
-5.95797899,2.68280763,0.26682926,0.00000000,0.84503114,1.85810804,0.63789169,0.00000000
-5.95197599,2.87494542,0.27613340,0.00000000,0.91046412,1.99497381,0.68670052,0.00000000
-5.94597299,3.09127365,0.28523371,0.00000000,0.98098665,2.15135663,0.74051665,0.00000000
-5.93996998,3.33182972,0.29408092,0.00000000,1.05634408,2.32745388,0.79924303,0.00000000
-5.93396698,3.59655266,0.30264443,0.00000000,1.13623270,2.52338040,0.86275598,0.00000000
-5.92796398,3.88522559,0.31091002,0.00000000,1.22028977,2.73912047,0.93089682,0.00000000
-5.92196098,4.19741391,0.31887705,0.00000000,1.30808460,2.97447563,1.00346349,0.00000000
-5.91595798,4.53240233,0.32655535,0.00000000,1.39911135,3.22901107,1.08020234,0.00000000
-5.90995498,4.88913430,0.33396199,0.00000000,1.49278427,3.50200316,1.16080098,0.00000000
-5.90395198,5.26615752,0.34111813,0.00000000,1.58843564,3.79239147,1.24488253,0.00000000
-5.89794897,5.66157945,0.34804619,0.00000000,1.68531728,4.09873840,1.33200185,0.00000000
-5.89194597,6.07303652,0.35476728,0.00000000,1.78260551,4.41919957,1.42164430,0.00000000
-5.88594297,6.49768019,0.36129938,0.00000000,1.87941011,4.75150801,1.51322734,0.00000000
-5.87993997,6.93218268,0.36765599,0.00000000,1.97478700,5.09297439,1.60610523,0.00000000
-5.87393697,7.37276400,0.37384555,0.00000000,2.06775463,5.44050522,1.69957699,0.00000000
-5.86793397,7.81524124,0.37987143,0.00000000,2.15731346,5.79064002,1.79289744,0.00000000
-5.86193097,8.25509958,0.38573260,0.00000000,2.24246807,6.13960724,1.88529111,0.00000000
-5.85592796,8.68758344,0.39142467,0.00000000,2.32225110,6.48339828,1.97596860,0.00000000
-5.84992496,9.10780484,0.39694128,0.00000000,2.39574791,6.81785714,2.06414463,0.00000000
-5.84392196,9.51086498,0.40227569,0.00000000,2.46212122,7.13878293,2.14905705,0.00000000
-5.83791896,9.89198395,0.40742220,0.00000000,2.52063425,7.44204106,2.22998588,0.00000000
