energy_ev,total_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.91092403,0.28291553,0.21855355,0.05634092,0.17425802,0.04970645,0.00019786
-5.99399700,0.97460750,0.30282992,0.22739891,0.06044253,0.18401830,0.05530867,0.00022177
-5.98799400,1.04629641,0.32513118,0.23806836,0.06490081,0.19523257,0.06158786,0.00024786
-5.98199100,1.12611934,0.34986993,0.25068118,0.06971705,0.20790709,0.06855026,0.00027609
-5.97598799,1.21407527,0.37705700,0.26533574,0.07488429,0.22202776,0.07619206,0.00030638
-5.96998499,1.31001632,0.40665686,0.28210355,0.08038647,0.23755856,0.08449788,0.00033860
-5.96398199,1.41363404,0.43858215,0.30102353,0.08619784,0.25444059,0.09343953,0.00037257
-5.95797899,1.52445008,0.47268953,0.32209691,0.09228271,0.27259194,0.10297494,0.00040807
-5.95197599,1.64181203,0.50877721,0.34528290,0.09859554,0.29190855,0.11304758,0.00044484
-5.94597299,1.76489482,0.54658418,0.37049537,0.10508139,0.31226581,0.12358622,0.00048255
-5.93996998,1.89270803,0.58579148,0.39760083,0.11167684,0.33352118,0.13450509,0.00052087
-5.93396698,2.02410906,0.62602533,0.42641773,0.11831115,0.35551757,0.14570459,0.00055941
-5.92796398,2.15782198,0.66686240,0.45671730,0.12490781,0.37808733,0.15707244,0.00059777
-5.92196098,2.29246148,0.70783679,0.48822593,0.13138635,0.40105687,0.16848528,0.00063553
-5.91595798,2.42656130,0.74844882,0.52062914,0.13766431,0.42425147,0.17981074,0.00067225
-5.90995498,2.55860609,0.78817531,0.55357692,0.14365942,0.44750013,0.19090993,0.00070752
-5.90395198,2.68706574,0.82648096,0.58669056,0.14929175,0.47064030,0.20164030,0.00074093
-5.89794897,2.81043083,0.86283066,0.61957048,0.15448590,0.49352206,0.21185870,0.00077209
-5.89194597,2.92724811,0.89670223,0.65180511,0.15917299,0.51601167,0.22142476,0.00080065
-5.88594297,3.03615468,0.92759930,0.68298030,0.16329263,0.53799414,0.23020430,0.00082629
